Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,Sustainability Databook 2023,
,,,,
,,,,
,CA100+ NET ZERO COMPANY BENCHMARK,,,
,,,,
,"The below provides our approach to the sub-indicators and metrics detailed in version 2.0 of the Net Zero Company Benchmark, as published by Climate Action 100+ on 30 March 2023. Assessments using Benchmark 2.0 are expected to be released in September / October 2023. Our approach to the sub-indicators and metrics detailed in version 1.0 of the Net Zero Company Benchmark can be found in our 2022 Sustainability Databook.",,,
,,,,
,CA100+ Indicator,,Our approach,
,Indicator 1: Net zero GHG emissions by 2050 (or sooner) ambition   ,,,
,1.1 The company has set an ambition to achieve net-zero GHG emissions by 2050 or sooner.,,"We have set a medium-term target to halve our operational GHG emissions (Scope 1 and 2) by 2035 from our FY21 baseline, and a long-term goal to achieve net zero GHG emissions (Scope 1, 2 and 3) by 2050. In FY23, we broadened our long-term goal to include Scope 3 emissions, alongside Scope 1 and 2 emissions.",
,Indicator 2: Long-term (2036-2050) GHG reduction target(s)  ,,,
,2.1 The company has set a long-term target for reducing its GHG emissions in the period between 2036 and 2050.,,We have set a long-term goal to achieve net zero GHG emissions by 2050. ,
,2.2 The company's long-term (2036 to 2050) GHG reduction target covers at least 95% of its Scope 1 and 2 emissions and the most relevant Scope 3 emissions (where applicable).,,Our long-term goal to achieve net zero GHG emissions by 2050 covers more than 95 per cent of our Scope 1 and 2 GHG emissions and all categories of Scope 3 relevant to our business.,
,2.3 The company’s last disclosed carbon intensity OR its short-term or medium-term targeted carbon intensity OR the company’s expected carbon intensity derived from its long-term GHG reduction target is aligned with or below the relevant sector trajectory needed to achieve the Paris Agreement goal of limiting global temperature increase to 1.5°C with low or no overshoot in 2050.,,We consider that our long-term goal to achieve net zero GHG emissions by 2050 is aligned with the pathway in the IPCC Special Report on 1.5°C. ,
,Indicator 3: Medium-term (2026-2035) GHG reduction target(s)   ,,,
,3.1 The company has set a medium-term target for reducing its GHG emissions in the period between 2027 and 2035.,,We have set a medium-term target to halve our operational GHG emissions by 2035 from our FY21 baseline.,
