Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,,,,,Sustainability Databook 2023,,,,,,,,
2,,,,\n,,,,,,,,,,,
3,,CLOSURE,,,,,,,,,,,,,
5,,"From exploration through to closure and beyond, we seek to minimise our impacts and maximise opportunities for the surrounding environments. We undertake progressive rehabilitation where possible and aim to leave a positive legacy in our host communities.",,,,,,,,,,,,,
7,,Closure plans,,,,,,,,,,,,,
8,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,
9,,Total number of South32 operations(1),9,Not disclosed in prior financial years,,,,,,,,,,,
10,,Total number of South32 operations with closure plans in place,9,Not disclosed in prior financial years,,,,,,,,,,,
11,,Operations with closure plans in place (percentage),100,100,100,100,100,,,,,,,,
13,,"(1) Includes South32-operated operations: Cannington, Cerro Matoso, Groote Eylandt Mining Company (GEMCO), Hillside Aluminum, Hotazel Manganese Mines (HMM), Illawarra Metallurgical Coal (IMC), Metalloys, Mozal Aluminium and Worsley Alumina.",,,,,,,,,,,,,
