Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,Sustainability Databook 2023,,,
,,,,,
,,,,,
,,,,,
,CONTENTS,,,,
,,,,,
,"Reporting boundaries, and subsidiaries incorporation and tax residency",Spreadsheet tab,,,
,Reporting boundaries,Reporting boundaries,,,
,Subsidiaries and equity accounted investments incorporation and tax residency by country,Subsidiaries EAI tax residency,,,
,,,,,
,Protecting and respecting our people,Spreadsheet tab,,,
,Health and safety,Health and safety,,,
,People and culture,People and culture,,,
,,,,,
,Delivering value to society,Spreadsheet tab,,,
,Partnering with communities,Partnering with communities,,,
,Our societal contribution,Our societal contribution,,,
,,,,,
,Operating ethically and responsibly,Spreadsheet tab,,,
,Ethics and business integrity,Ethics and business integrity,,,
,Human rights,Human rights,,,
,Responsible value chain,Responsible value chain,,,
,,,,,
,Addressing climate change,Spreadsheet tab,,,
,Energy,Energy,,,
,GHG emissions,GHG emissions,,,
,GHG emissions methodology,Emissions methodology,,,
,Portfolio resilience,Portfolio resilience,,,
,Industry associations ,Industry associations ,,,
,,,,,
,Managing our environmental impact,Spreadsheet tab,,,
,Water ,Water,,,
,Biodiversity,Biodiversity,,,
,Tailings,Tailings,,,
,Tailings storage facilities,Tailings storage facilities,,,
,ICMM Conformance Protocols for the Global Industry Standard on Tailings Management (GISTM),ICMM Conformance Protocols,,,
,"Waste, contamination and other emissions","Waste, contamination, emissions",,,
,Closure,Closure,,,
,,,,,
,Other sustainability topics,Spreadsheet tab,,,
,Privacy and cyber security,Privacy and cyber security,,,
,Stakeholder engagement,Stakeholder engagement,,,
,Transformation,Transformation,,,
,,,,,
,Sustainability frameworks and reporting standards,Spreadsheet tab,,,
,ICMM Mining Principles,ICMM Mining Principles,,,
,ICMM Performance Expectations,ICMM Performance Expectations,,,
,UNGC Principles,UNGC Principles,,,
,United Nations Sustainable Development Goals (UN SDGs),UN SDGs,,,
,Global Reporting Initiative (GRI) Index,GRI Index,,,
,International Financial Reporting Standards (IFRS) Foundations' Sustainability Accounting Standards Board (SASB) Index,SASB Index,,,
,ICMM Social and Economic Reporting Framework Index,ICMM Social and Economic Index,,,
,Task Force on Climate-Related Financial Disclosures (TCFD) Index ,TCFD Index,,,
,CA100+ Net Zero Company Benchmark ,CA100+ ,,,
,Modern Slavery Statement metrics,Modern slavery metrics,,,
,,,,,
,Assurance,Spreadsheet tab,,,
,Independent Assurance Report to the Directors of South32 Limited ,Assurance,,,
