Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,Sustainability Databook 2023,
,,,
,,,
,DELIVERING VALUE TO SOCIETY,,
,,,
,"We believe that, when done sustainably, the development of natural resources can change people’s lives for the better. In delivering our strategy, we seek to create enduring social, environmental and economic value, in a way that aligns with our purpose and values. We believe trust and transparency are essential to the way we operate, we listen to our stakeholders to understand what’s important to them and work together with the aim of creating shared value.",,
,,,
,Material topic and disclosure,Spreadsheet tab,
,Partnering with communities,Partnering with communities,
,Our societal contribution,Our societal contribution,
