Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,Sustainability Databook 2023
,,,,,,
,,,,,,
,ETHICS AND BUSINESS INTEGRITY,,,,,
,,,,,,
,"We are committed to the highest standards of integrity and accountability. Our values and Code of Business Conduct (Code) guide how we act, work and communicate. Supported by our Speak Up Policy (our global whistleblower policy), we encourage our people to speak up when our values and standards of conduct are not being followed.

Read more about our Speak Up Policy and our EthicsPoint reporting hotline at www.south32.net 
Read more about our corporate governance in our 2023 Corporate Governance Statement available at www.south32.net

The metrics we use to measure our performance are shown below. 

",,,,,
,,,,,,
,Compliance with applicable laws and regulations,,,,,
,,,,,,
,"Legal action commenced, continuing or completed against South32(1)",FY23,FY22,FY21,,
,Legal action regarding breaches of anti-corruption laws and regulations,-,-,-,,
,Legal action regarding breaches of anti-competition laws and regulations,-,-,-,,
,Legal action regarding breaches of economic sanctions or anti-money laundering laws and regulations,-,-,-,,
,,,,,,
,"(1) South32 is not aware of any legal action regarding breaches of anti-corruption, anti-competition, economic sanctions or anti-money laundering laws or regulations.",,,,,
,,,,,,
,Significant non-compliances with applicable laws and regulations(1)(2),FY23,,,,
,Number of significant non-compliances related to health and safety laws and regulations,-,,,,
,Number of significant non-compliances related to environment laws and regulations,1(3),,,,
,Number of significant non-compliances related to other laws and regulations,-,,,,
,,,,,,
,"(1) Release of the Global Reporting Initiative (GRI) Universal Standards in 2021 resulted in a change to the reporting guidance for significant non-compliances. In FY23, South32 have applied the new GRI guidance under indicator 2-27. 
(2) South32 define significant non-compliances with laws and regulations based on internal materiality thresholds. This may include non-compliances with laws and regulations that result in significant health, safety, community, reputational, legal, or financial impacts. 
(3) In June 2023, Illawarra Metallurgical Coal (IMC) entered into an enforceable undertaking with the New South Wales Natural Resources Access Regulator (NRAR) for an alleged breach of the Water Management Act 2000. More information can be found in our 2023 Sustainable Development Report available at www.south32.net",,,,,
,,,,,,
,Fines and prosecutions (US$)(1),FY23,FY22,FY21,FY20,FY19
,Value of fines and prosecutions – health and safety,-,-,769,-,45730
,Value of fines and prosecutions – environment,-,260000,11205,-,23719
,Value of fines and prosecutions – other,-,-,-,-,-
,,,,,,
,"(1) Release of the GRI Universal Standards in 2021 resulted in a change to the reporting guidance for significant fines and non-compliances. In FY23, South32 have applied the new GRI guidance under indicator 2-27. Fines reported from FY23 relate to any significant non-compliances with applicable laws and regulations reported in the respective table. Fines incurred in prior financial years were disclosed based on materiality at that point in time as per the superseded GRI guidance. ",,,,,
,,,,,,
,Non-monetary sanctions(1),FY23,,,,
,Number of non-monetary sanctions – health and safety,-,,,,
,Number of non-monetary sanctions – environment,1(2),,,,
,Number of non-monetary sanctions – other,-,,,,
,,,,,,
,"(1) Release of the Global Reporting Initiative (GRI) Universal Standards in 2021 resulted in a change to the reporting guidance for significant non-compliances. In FY23, South32 have applied the new GRI guidance under indicator 2-27. Non-monetary sanctions reported in this table relate to any significant non-compliances with applicable laws and regulations reported in the respective table. 
(2) In June 2023, Illawarra Metallurgical Coal (IMC) entered into an enforceable undertaking with the New South Wales Natural Resources Access Regulator (NRAR) for an alleged breach of the Water Management Act 2000. More information can be found in our 2023 Sustainable Development Report available at www.south32.net",,,,,
,,,,,,
,Transparency International’s Corruption Perception Index,,,,,
,,,,,,
,Transparency International's Corruption Perception Index,FY23,FY22,FY21,,
,Production in countries in the 20 lowest rankings in Transparency International’s Corruption Perception Index(1),Nil,Nil,Nil,,
,,,,,,
,(1) South32 does not operate in any of the 20 lowest countries ranked in the Transparency International's Corruption Perception Index.,,,,,
