Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,Sustainability Databook 2023,
,,,,,,,,,
,,,,,,,,,
,GLOBAL REPORTING INITIATIVE (GRI) INDEX,,,,,,,,
,,,,,,,,,
,This tab is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,,
,,,,,,,,,
,This table demonstrates South32's reporting in accordance with the GRI Sustainability Reporting Standards for period 1 July 2022 to 30 June 2023.,,,,,,,,
,,,,,,,,,
,GRI 2: General Disclosures 2021,,,,,,,,
,,,,,,OMISSION,,,
,Standard,Disclosure title,,Disclosure requirements,Reference location or explanation,Requirements omitted,Reason,Explanation,
,The organisation and its reporting practices,,,,,,,,
,GRI 2: General Disclosures 2021,2-1,Organisational details,"a. report its legal name;

b. report its nature of ownership and legal form;

c. report the location of its headquarters;

d. report its countries of operation.","a. 2023 Sustainable Development Report - About this report (inside front cover)

b. 2023 Annual Report - Shareholder Information (page 178-180)

c. and d. 2023 Sustainable Development Report - Where we operate (page 6-7)
",,,,
,GRI 2: General Disclosures 2021,2-2,Entities included in the organisation's sustainability reporting,"a. list all its entities included in its sustainability reporting;

b. if the organisation has audited consolidated financial statements or financial information filed on public record, specify the differences between the list of entities included in its financial reporting and the list included in its sustainability reporting;

c. if the organisation consists of multiple entities, explain the approach used for consolidating the information, including:
i. whether the approach involves adjustments to information for minority interests;
ii. how the approach takes into account mergers, acquisitions, and disposal of entities or parts of entities;
iii. whether and how the approach differs across the disclosures in this Standard and across material topics.","a. and c. 2023 Sustainability Databook - reporting boundaries tab

b. Financial information is presented on the basis described in note 2 to the financial statements (Basis of
preparation) on page 110 of our 2023 Annual Report available at www.south32.net",,,,
