Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
25,,GRI 2: General Disclosures 2021,2-12,Role of the highest governance body in overseeing the management of impacts,"a. describe the role of the highest governance body and of senior executives in developing, approving, and updating the organisationÃ¢ÂÂs purpose, value or mission statements, strategies, policies, and goals related to sustainable development;\n\nb. describe the role of the highest governance body in overseeing the organisationÃ¢ÂÂs due diligence and other processes to identify and manage the organisationÃ¢ÂÂs impacts on the economy, environment, and people, including:\ni. whether and how the highest governance body engages with stakeholders to support these processes;\nii. how the highest governance body considers the outcomes of these processes;\n\nc. describe the role of the highest governance body in reviewing the effectiveness of the organisationÃ¢ÂÂs processes as described in 2-12-b, and report the frequency of this review.",a. Board Charter available at www.south32.net; and 2023 Corporate Governance Statement - Our Board (page 5)\n\nb. Board Charter available at www.south32.net; 2023 Corporate Governance Statement - Board Committees (page 8-11); 2023 Corporate Governance Statement - Engaging with our shareholders (page 21); 2023 Corporate Governance Statement - Communicating with our shareholders and other stakeholders (page 21); and 2023 Sustainable Development Report - Corporate Governance (page 17)\n\nc. 2023 Corporate Governance Statement - Our Board's focus areas and activities in FY23 (page 6-7); 2023 Corporate Governance Statement - Board Committees (page 8-11); and 2023 Sustainable Development Report - Corporate Governance (page 17),,,,
26,,GRI 2: General Disclosures 2021,2-13,Delegation of responsibility for managing impacts,"a. describe how the highest governance body delegates responsibility for managing the organisation's impacts on the economy, environment, and people, including:\ni. whether it has appointed any senior executives with responsibility for the management of impacts;\nii. whether it has delegated responsibility for the management of impacts to other employees;\n\nb. describe the process and frequency for senior executives or other employees to report back to the highest governance body on the management of the organisationÃ¢ÂÂs impacts on the economy, environment, and people.",a. and b. 2023 Corporate Governance Statement - Our Board (page 5); 2023 Corporate Governance Statement - Our Lead Team (page 6); 2023 Corporate Governance Statement - Board Committees (page 8-11); and 2023 Sustainable Development Report - Corporate Governance (page 17); Board Charter available at www.south32.net; and Sustainability Committee Terms of Reference available at www.south32.net,,,,
27,,GRI 2: General Disclosures 2021,2-14,Role of the highest governance body in sustainability reporting,"a. report whether the highest governance body is responsible for reviewing and approving the reported information, including the organisationÃ¢ÂÂs material topics, and if so, describe the process for reviewing and approving the information;\n\nb. if the highest governance body is not responsible for reviewing and approving the reported information, including the organisationÃ¢ÂÂs material topics, explain the reason for this.",a. and b. 2023 Sustainable Development Report - Corporate Governance (page 17); 2023 Corporate Governance Statement - Board Committees (page 8-11); Sustainability Committee Terms of Reference available at www.south32.net,,,,
28,,GRI 2: General Disclosures 2021,2-15,Conflicts of interest,"a. describe the processes for the highest governance body to ensure that conflicts of interest are prevented and mitigated;\n\nb. report whether conflicts of interest are disclosed to stakeholders, including, at a minimum, conflicts of interest relating to:\ni. cross-board membership;\nii. cross-shareholding with suppliers and other stakeholders;\niii. existence of controlling shareholders;\niv. related parties, their relationships, transactions, and outstanding balances.",a. 2023 Corporate Governance Statement - Conflicts of interest (page 19); \nBoard Charter available at www.south32.net; and Code of Business Conduct (and Speak Up Policy) available at www.south32.net\n\nb. 2023 Annual Report - Board of Directors (page 66-70); and 2023 Annual Report - Financial Report - Note 29. Related party transactions (page 161),,,,
29,,GRI 2: General Disclosures 2021,2-16,Communication of critical concerns,a. describe whether and how critical concerns are communicated to the highest governance body;\n\nb. report the total number and the nature of critical concerns that were communicated to the highest governance body during the reporting period.,"a. 2023 Corporate Governance Statement - Our commitment to act ethically, responsibly and lawfully (page 18-19); and 2023 Sustainable Development Report - Ethics and business integrity (page 49-51).",b. total number and the nature of critical concerns that were communicated to the highest governance body during the reporting period,Confidentiality constraints,"A Business Integrity and Workplace Behaviour Report is provided to the RAC on a bi-annual basis, which includes a summary of all material business conduct cases active during the relevant period.\n\nThe total number and nature of material business conduct cases reported to our highest governance body is currently limited by confidentiality constraints. We are working to improve our transparency and aim to improve our disclosures in future years.",
30,,GRI 2: General Disclosures 2021,2-17,Collective knowledge of the highest governance body,"a. report measures taken to advance the collective knowledge, skills, and experience of the highest governance body on sustainable development.","a. 2023 Corporate Governance Statement - Climate change governance (page 11); and 2023 Corporate Governance Statement - Board structure, composition, appointments, and education (page 12-16)",,,,
31,,GRI 2: General Disclosures 2021,2-18,Evaluation of the performance of the\nhighest governance body,"a. describe the processes for evaluating the performance of the highest governance body in overseeing the management of the organisationÃ¢ÂÂs impacts on the economy, environment, and people;\n\nb. report whether the evaluations are independent or not, and the frequency of the evaluations;\n\nc. describe actions taken in response to the evaluations, including changes to the composition of the highest governance body and organisational practices.","a., b. and c. 2023 Corporate Governance Statement - Evaluating Board performance (page 16-17);",,,,
32,,GRI 2: General Disclosures 2021,2-19,Remuneration policies,"a. describe the remuneration policies for members of the highest governance body and senior executives, including:\ni. fixed pay and variable pay;\nii. sign-on bonuses or recruitment incentive payments;\niii. termination payments;\niv. clawbacks;\nv. retirement benefits;\n\nb. describe how the remuneration policies for members of the highest governance body and senior executives relate to their objectives and performance in relation to the management of the organisationÃ¢ÂÂs impacts on the economy, environment, and people",a. and b. 2023 Annual Report - Remuneration report (page 78-103),,,,
33,,GRI 2: General Disclosures 2021,2-20,Process to determine remuneration,"a. describe the process for designing its remuneration policies and for determining remuneration, including:\ni. whether independent highest governance body members or an independent remuneration committee oversees the process for determining remuneration;\nii. how the views of stakeholders (including shareholders) regarding remuneration are sought and taken into consideration;\niii. whether remuneration consultants are involved in determining remuneration and, if so, whether they are independent of the organisation, its highest governance body and senior executives;\n\nb. report the results of votes of stakeholders (including shareholders) on remuneration policies and proposals, if applicable.","a. 2023 Annual Report - Remuneration report (page 78-103)\n\nb. 2023 Annual General Meeting 27 October 2022 results of meeting, available at www.south32.net\n\n",,,,
34,,GRI 2: General Disclosures 2021,2-21,Annual total compensation ratio,a. report the ratio of the annual total compensation for the organisationÃ¢ÂÂs highest-paid individual to the median annual total compensation for all employees (excluding the highest-paid individual);\n\nb. report the ratio of the percentage increase in annual total compensation for the organisationÃ¢ÂÂs highest-paid individual to the median percentage increase in annual total compensation for all employees (excluding the highest-paid individual);\n\nc. report contextual information necessary to understand the data and how the data has been compiled.,"a., and c. 2023 Annual Report - Remuneration report (page 82); and 2023 Sustainability Databook - People and Culture tab",b. ratio of the percentage increase in annual total compensation for the organisationÃ¢ÂÂs highest-paid individual to the median percentage increase in annual total compensation for all employees (excluding the highest-paid individual);,Information unavailable / incomplete,"Ratio of the percentage increase in annual total compensation for the organisationÃ¢ÂÂs highest-paid individual to the median percentage increase in annual total compensation for all employees, is currently unavailable. We are working to improve our data collection processes and aim to improve our disclosures in future years.",
35,,"Strategy, policies and practices",,,,,,,,
36,,GRI 2: General Disclosures 2021,2-22,Statement on sustainable development strategy,a. report a statement from the highest governance body or most senior executive of the organisation about the relevance of sustainable development to the organisation and its strategy for contributing to sustainable development.,2023 Sustainable Development Report - From the CEO (page 10-11),,,,
37,,GRI 2: General Disclosures 2021,2-23,Policy commitments,"a. describe its policy commitments for responsible business conduct, including:\ni. the authoritative intergovernmental instruments that the commitments reference;\nii. whether the commitments stipulate conducting due diligence;\niii. whether the commitments stipulate applying the precautionary principle;\niv. whether the commitments stipulate respecting human rights;\n\nb. describe its specific policy commitment to respect human rights, including:\ni. the internationally recognized human rights that the commitment covers;\nii. the categories of stakeholders, including at-risk or vulnerable groups, that the organisation gives particular attention to in the commitment;\n\nc. provide links to the policy commitments if publicly available, or, if the policy commitments are not publicly available, explain the reason for this;\n\nd. report the level at which each of the policy commitments was approved within the organisation, including whether this is the most senior level;\n\ne. report the extent to which the policy commitments apply to the organisationÃ¢ÂÂs activities and to its business relationships;\n\nf. describe how the policy commitments are communicated to workers, business partners, and other relevant parties.","a. 2023 Sustainable Development Report - Ethics and business integrity (page 49-51); 2023 Annual Report - Risk Management (page 28-37); 2023 Corporate Governance Statement - Our commitment to act ethically, responsibly, and lawfully (page 18-19); Our Code of Business Conduct, Our Approach to Human Rights and our Risk Management Framework available at www.south32.net\n\nb. 2023 Sustainable Development Report - Human rights (page 52-56); our Sustainability Policy, Inclusion and Diversity Policy, Anti-Bribery and Corruption Policy, Our Code of Business Conduct, Our Approach to Human Rights, Our Approach to Tailings Management, Our Approach to Water Stewardship, Our Approach to Cultural Heritage, and Our Approach to Indigenous, Traditional and Tribal Peoples Engagement available at www.south32.net\n\nc. Our Code of Business Conduct, Sustainability Policy, Inclusion and Diversity Policy, Anti-Bribery and Corruption Policy and 'Our Approach' documents are available at www.south32.net\n\nd. Our Code of Business Conduct, Sustainability Policy and Our Approach to Tailings Management is approved by the Board. Our other 'Approach' documents are approved by our Chief Executive Officer (CEO). 2023 Corporate Governance Statement - Our commitment to act ethically, responsibly, and lawfully (page 18-19); 2023 Sustainable Development Report - Our sustainability approach (page 18); 'Our Approach' documents are available at www.south32.net\n\ne. Our Code of Business Conduct and Sustainability Policy applies to our employees, Directors and executive management, contractors, suppliers and joint venture partners acting on our behalf in a South32 controlled or operated joint venture. 'Our Approach' documents apply to all Directors, management, employees, contractors and third parties who act on behalf of South32. We endeavour to influence our non-operated joint ventures to support the adoption of standards of conduct consistent with ours, as\nrelevant within the limits of the joint venture arrangements.\n\nf. 2023 Sustainable Development Report - Ethics and Business Integrity (page 49-51); and 2023 Sustainable Development Report - Human rights (page 52-56). 'Our Approach' documents are made available internally on our intranet and externally at www.south32.net\n",,,,
38,,GRI 2: General Disclosures 2021,2-24,Embedding policy commitments,"a. describe how it embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships, including:\ni. how it allocates responsibility to implement the commitments across different levels within the organisation;\nii. how it integrates the commitments into organisational strategies, operational policies, and operational procedures;\niii. how it implements its commitments with and through its business relationships;\niv. training that the organisation provides on implementing the commitments.","a. Our Sustainability Policy is supported by a series of topic specific 'Our ApproachÃ¢ÂÂ documents which outline topic commitments, principles to manage the commitments and our management approach related to each topic. This year we have developed Our Approach to Indigenous, Traditional and Tribal Peoples Engagement, updated Our Approach to Human Rights (published in 2021) and updated Our Approach to\nTailings Management (published in 2019) in alignment with the Global Industry Standard on Tailings Management (GISTM) requirements. We also updated Our Approach to Water Stewardship (published\nin 2019) and developed an updated global Our Approach to Cultural Heritage. These documents are supported by internal standards and procedures, and we are working on developing other approach\ndocuments to cover additional material sustainability topics.\n\nOur 'Approach' documents include a section on Governance, which describes our Board and Sustainability Committee's role and overall management accountability for each topic.\n\n2023 Sustainable Development Report - Ethics and business integrity (page 49-51); 2023 Corporate Governance Statement - Our commitment to act ethically, responsibly, and lawfully (page 18-19); and 2023 Sustainable Development Report - Our sustainability approach (page 12-18). Refer to www.south32.net for 'Our Approach' documents.",,,,
