Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,Sustainability Databook 2023,,
,,,,
,,,,
,MANAGING OUR ENVIRONMENTAL IMPACT,,,
,,,,
,"We are committed to protecting natural resources including water, biodiversity, air and surrounding ecosystems. We work hard to be responsible stewards of the environment and aim to safely manage tailings, reduce waste, rehabilitate land disturbed by our activities and leave a positive legacy in host communities.",,,
,,,,
,Managing our environmental impact,Spreadsheet tab,,
,Water ,Water,,
,Biodiversity,Biodiversity,,
,Tailings,Tailings,,
,Tailings storage facilities,Tailings storage facilities,,
,ICMM Conformance Protocols for the Global Industry Standard on Tailings Management (GISTM),ICMM Conformance Protocols,,
,"Waste, contamination and other emissions","Waste, contamination, emissions",,
,Closure,Closure,,
