Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,Sustainability Databook 2023,,
3,,MANAGING OUR ENVIRONMENTAL IMPACT,,,
5,,"We are committed to protecting natural resources including water, biodiversity, air and surrounding ecosystems. We work hard to be responsible stewards of the environment and aim to safely manage tailings, reduce waste, rehabilitate land disturbed by our activities and leave a positive legacy in host communities.",,,
7,,Managing our environmental impact,Spreadsheet tab,,
8,,Water,Water,,
9,,Biodiversity,Biodiversity,,
10,,Tailings,Tailings,,
11,,Tailings storage facilities,Tailings storage facilities,,
12,,ICMM Conformance Protocols for the Global Industry Standard on Tailings Management (GISTM),ICMM Conformance Protocols,,
13,,"Waste, contamination and other emissions","Waste, contamination, emissions",,
14,,Closure,Closure,,
