Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,Sustainability Databook 2023,
,,,
,,,
,OPERATING ETHICALLY AND RESPONSIBLY,,
,,,
,"Operating ethically and responsibly is essential to fulfilling our purpose, delivering on our strategy and achieving our aspiration of building strong, mutually beneficial and trusting relationships with our stakeholders. We respect human rights and apply responsible business practices across our value chain.",,
,,,
,Material topic and disclosure,Spreadsheet tab,
,Ethics and business integrity,Ethics and business integrity,
,Human rights,Human rights,
,Responsible value chain,Responsible value chain,
