Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,Sustainability Databook 2023,,,
,,,,,,,,
,,,,,,,,
,PARTNERING WITH COMMUNITIES,,,,,,,
,,,,,,,,
,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,
,,,,,,,,
,"We are a global business with a local focus, and committed to building meaningful relationships in the communities where we operate. We actively engage with stakeholders to understand their interests and aspirations and identify opportunities to work together with the aim of creating shared value.

The metrics we use to measure our performance are shown in the tables below. ",,,,,,,
,,,,,,,,
,Social performance data,,,,,,,
,,,,,,,,
,"Operations with local community engagement, impact assessments, and development programs (%)",FY23,FY22,FY21,FY20,,,
,Operations with implemented stakeholder engagement plans ,100,100,100,100,,,
,Operations with implemented impact assessments,100,100,100,100,,,
,Operations with implemented social investment plans,100,100,100,100,,,
,,,,,,,,
,,,,,,,,
,"Operating sites where artisanal and small-scale mining takes place on, or adjacent to, the site",FY23,FY22,FY21,FY20,,,
,Number of operating sites where artisanal and small-scale mining takes place ,-,-,-,-,,,
,Percentage of operating sites where artisanal and small-scale mining takes place ,-,-,-,-,,,
,,,,,,,,
,,,,,,,,
,Resettlements(1),FY23,FY22,FY21,FY20,,,
,Households resettled,-,-,2,1,,,
,,,,,,,,
,(1) Resettlements due to project related land acquisition and/or restrictions on land use which can involve physical displacement and economic displacement through lost access to resources.,,,,,,,
,,,,,,,,
,,FY23,FY23,FY22,FY21,,,
,Community complaints by type of complaint,Number ,Percentage resolved ,Number ,Number ,,,
,Dust,11,100,22,63,,,
,Noise ,71,99,55,144,,,
,Traffic ,20,95,21,34,,,
,Stakeholder engagement  ,-,-,4,43,,,
,Business and employment opportunities  ,2,100,2,9,,,
,Environment,4,75,5,27,,,
,Other(1),16,63,11,23,,,
,Total,124,93,120,343,,,
,,,,,,,,
,"(1) In FY23 'Other' complaints included community protests, property damage and blasting. ",,,,,,,
,,,,,,,,
,Community-related non-technical delays(1),FY23,FY22,FY21,,,,
,Number of delays,6,1,5,,,,
,Total duration of delays (days),2.3(2),0.3,1.3,,,,
,,,,,,,,
,"(1) Community-related non-technical delays includes community action directed towards South32 operations which contributes to a delay in production.
(2) The FY23 increase in community-related non-technical delays was due to increased community protest and unrest frequency at Hotazel Manganese Mines (HMM) related to contractor management and community-related issues.",,,,,,,
,,,,,,,,
,"Engagement with Indigenous, Traditional and Tribal Peoples",,,,,,,
,,,,,,,,
,"Operations on or adjacent to Indigenous, Traditional and Tribal Peoples' territories ",FY23,FY22,FY21,,,,
,"Number of operations on or adjacent to Indigenous, Traditional and Tribal Peoples' territories",4,4,4,,,,
,,,,,,,,
,"(1) Cerro Matoso, Groote Eylandt Mining Company (GEMCO), Worsley Alumina and Illawarra Metallurgical Coal (IMC) operate on or adjacent to Indigenous, Traditional and Tribal Peoples' territories. ",,,,,,,
,,,,,,,,
,"Operations where there are formal agreements with Indigenous, Traditional and Tribal Peoples' communities",FY23,FY22,FY21,,,,
,Number of operations with a formal agreement in place(1),2,2(3),2(3),,,,
,Percentage of operations with formal agreements in place(2),22.2,22(3),22(3),,,,
,,,,,,,,
,"(1) Cerro Matoso and GEMCO operations have a formal agreement in place with Indigenous, Traditional and Tribal Peoples' communities. 
(2) Includes our operated interest / share, or 'operated operations' only. 
(3) In 2021 and 2022 we reported that three operations maintained Indigenous Communities Agreements, subsequent to review it was identified that one operation had reported an agreement which didn’t include any benefits or community development commitments. The data for FY21 and FY22 has been restated to reflect this. ",,,,,,,
,,,,,,,,
,Significant disputes(1),FY23,FY22,FY21,FY20,,,
,"Significant disputes relating to land use, customary rights of local communities and Indigenous peoples and grievance mechanisms",-,-,-,-,,,
,,,,,,,,
,"(1) Significant disputes relating to land or resource use of local communities and Indigenous Peoples associated with current, planned or proposed future operations. Significant disputes are defined as a long-standing grievance and/or active legal proceedings.",,,,,,,
,,,,,,,,
,Cultural awareness training,FY23,FY22,FY21,,,,
,Employees and contractors who have completed cultural awareness training(1) ,913,719,588,,,,
,,,,,,,,
,"(1) In FY23, cultural awareness training was delivered at our Cannington, GEMCO, Worsley Alumina and South Africa Manganese operations and the Hermosa project, to selected employees and contractors. ",,,,,,,
