Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,Sustainability Databook 2023,,,
3,,PARTNERING WITH COMMUNITIES,,,,,,,
5,,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,
7,,"We are a global business with a local focus, and committed to building meaningful relationships in the communities where we operate. We actively engage with stakeholders to understand their interests and aspirations and identify opportunities to work together with the aim of creating shared value.\n\nThe metrics we use to measure our performance are shown in the tables below.",,,,,,,
9,,Social performance data,,,,,,,
11,,"Operations with local community engagement, impact assessments, and development programs (%)",FY23,FY22,FY21,FY20,,,
12,,Operations with implemented stakeholder engagement plans,100,100,100,100,,,
13,,Operations with implemented impact assessments,100,100,100,100,,,
14,,Operations with implemented social investment plans,100,100,100,100,,,
17,,"Operating sites where artisanal and small-scale mining takes place on, or adjacent to, the site",FY23,FY22,FY21,FY20,,,
18,,Number of operating sites where artisanal and small-scale mining takes place,-,-,-,-,,,
19,,Percentage of operating sites where artisanal and small-scale mining takes place,-,-,-,-,,,
22,,Resettlements(1),FY23,FY22,FY21,FY20,,,
23,,Households resettled,-,-,2,1,,,
25,,(1) Resettlements due to project related land acquisition and/or restrictions on land use which can involve physical displacement and economic displacement through lost access to resources.,,,,,,,
27,,,FY23,FY23,FY22,FY21,,,
28,,Community complaints by type of complaint,Number,Percentage resolved,Number,Number,,,
29,,Dust,11,100,22,63,,,
30,,Noise,71,99,55,144,,,
31,,Traffic,20,95,21,34,,,
32,,Stakeholder engagement,-,-,4,43,,,
33,,Business and employment opportunities,2,100,2,9,,,
34,,Environment,4,75,5,27,,,
35,,Other(1),16,63,11,23,,,
36,,Total,124,93,120,343,,,
38,,"(1) In FY23 'Other' complaints included community protests, property damage and blasting.",,,,,,,
40,,Community-related non-technical delays(1),FY23,FY22,FY21,,,,
41,,Number of delays,6,1,5,,,,
42,,Total duration of delays (days),2.3(2),0.3,1.3,,,,
44,,(1) Community-related non-technical delays includes community action directed towards South32 operations which contributes to a delay in production.\n(2) The FY23 increase in community-related non-technical delays was due to increased community protest and unrest frequency at Hotazel Manganese Mines (HMM) related to contractor management and community-related issues.,,,,,,,
46,,"Engagement with Indigenous, Traditional and Tribal Peoples",,,,,,,
48,,"Operations on or adjacent to Indigenous, Traditional and Tribal Peoples' territories",FY23,FY22,FY21,,,,
49,,"Number of operations on or adjacent to Indigenous, Traditional and Tribal Peoples' territories",4,4,4,,,,
51,,"(1) Cerro Matoso, Groote Eylandt Mining Company (GEMCO), Worsley Alumina and Illawarra Metallurgical Coal (IMC) operate on or adjacent to Indigenous, Traditional and Tribal Peoples' territories.",,,,,,,
53,,"Operations where there are formal agreements with Indigenous, Traditional and Tribal Peoples' communities",FY23,FY22,FY21,,,,
54,,Number of operations with a formal agreement in place(1),2,2(3),2(3),,,,
55,,Percentage of operations with formal agreements in place(2),22.2,22(3),22(3),,,,
57,,"(1) Cerro Matoso and GEMCO operations have a formal agreement in place with Indigenous, Traditional and Tribal Peoples' communities. \n(2) Includes our operated interest / share, or 'operated operations' only. \n(3) In 2021 and 2022 we reported that three operations maintained Indigenous Communities Agreements, subsequent to review it was identified that one operation had reported an agreement which didnÃ¢ÂÂt include any benefits or community development commitments. The data for FY21 and FY22 has been restated to reflect this.",,,,,,,
59,,Significant disputes(1),FY23,FY22,FY21,FY20,,,
60,,"Significant disputes relating to land use, customary rights of local communities and Indigenous peoples and grievance mechanisms",-,-,-,-,,,
62,,"(1) Significant disputes relating to land or resource use of local communities and Indigenous Peoples associated with current, planned or proposed future operations. Significant disputes are defined as a long-standing grievance and/or active legal proceedings.",,,,,,,
64,,Cultural awareness training,FY23,FY22,FY21,,,,
65,,Employees and contractors who have completed cultural awareness training(1),913,719,588,,,,
67,,"(1) In FY23, cultural awareness training was delivered at our Cannington, GEMCO, Worsley Alumina and South Africa Manganese operations and the Hermosa project, to selected employees and contractors.",,,,,,,
