Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,Sustainability Databook 2023,,,,
,,,,,,,,,,
,,,,,,,,,,
,REPORTING BOUNDARIES,,,,,,,,,
,,,,,,,,,,
,"This tab provides an overview of the approach used for consolidating sustainability data and information for South32's controlled entities and South32-operated joint arrangements (referred to as our operated operations and development options), South32's non-operated joint arrangements, it also outlines the approach taken to account for mergers, acquisitions, and disposal of entities or parts of entities during the reporting year. This tab also provides guidance on the variances in sustainability data collected and disclosed for each of these entities, with any exceptions to these rules provided in the notable inclusions / exclusions. 

",,,,,,,,,
,,,,,,,,,,
,South32-operated operations,,,,,,,,,
,,,,,,,,,,
,"South32 operated operations include our controlled entities and South32-operated joint arrangements. The operations shown in the table below are South32's 'significant locations of operation', and unless otherwise stated, metrics describing health, safety, environment, people and community related performance in this Databook are inclusive of  these operations. 

Operations that we acquired during the reporting period are shown for the period we had operational control of those operations. ",,,,,,,,,
,,,,,,,,,,
,Operation / Asset,Country,Ownership %,,Production status,Notable inclusions or exclusions for FY23,,,,
,Cannington,Australia,1,,Active,-,,,,
,Cerro Matoso,Colombia,0.999,,Active,-,,,,
,Groote Eylandt Mining Company (GEMCO),Australia,0.6,,Active,-,,,,
,Hillside Aluminum,South Africa,1,,Active,-,,,,
,Hotazel Manganese Mines (HMM)(1),South Africa,0.444,,Active,-,,,,
,Illawarra Metallurgical Coal (IMC),Australia,1,,Active,-,,,,
,Metalloys(1) ,South Africa,0.6,,Care and maintenance,"Due to reduced operations, limited performance data for material sustainability topics is disclosed while Metalloys is in care and maintenance. This includes greenhouse gas emissions, energy, water, land, people, health and safety data. ",,,,
,Mozal Aluminium,Mozambique,0.637,,Active,-,,,,
,Worsley Alumina,Australia,0.86,,Active,-,,,,
,,,,,,,,,,
,"(1) HMM consists of two mines: Mamatwan and Wessels, and is counted as one operation in this Databook. Mamatwan, Wessels and Metalloys are often grouped as an asset, collectively referred to as South Africa Manganese. Greenhouse gas emissions and related metrics are disclosed at an asset level.",,,,,,,,,
,,,,,,,,,,
,South32-controlled development options,,,,,,,,,
,,,,,,,,,,
