Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,Sustainability Databook 2023,,,
,,,,,,,,
,,,,,,,,
,SUBSIDIARIES AND EQUITY ACCOUNTED INVESTMENTS INCORPORTATION AND TAX RESIDENCY BY COUNTRY,,,,,,,
,,,,,,,,
,,,,,,,,
,Subsidiaries incorporation and tax residency by country,,,,,,,
,,,,,,,,
,Company name,Country of incorporation,Country of tax residency,Ownership %,Principal activities,,,
,African Metals (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
,Aluminium Management Company of Mozambique (Pty) Limited,South Africa,South Africa,0.66,"Administrative, Management and Support Services",,,
,Cerro Matoso S.A.,Colombia,Colombia,0.999,Ferronickel Mining and Smelting,,,
,Conicol BVI Limited,"Virgin Islands, British",Australia,1,Holding Company,,,
,Dendrobium Coal Pty Ltd,Australia,Australia,1,Metallurgical Coal Mining,,,
,Eagle Downs Coal Management Pty Ltd,Australia,Australia,1,JV Manager,,,
,Endeavour Coal Pty Limited,Australia,Australia,1,Metallurgical Coal Mining,,,
,Gengro (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
,Hillside Aluminium (Pty) Ltd,South Africa,South Africa,1,Aluminium Smelting,,,
,Illawarra Coal Holdings Pty Ltd,Australia,Australia,1,Holding Company,,,
,Illawarra Services Proprietary Limited,Australia,Australia,1,"Coal Washery, Rail and Road Coal Transportation",,,
,Micawber 501 (Proprietary) Limited,South Africa,South Africa,1,Dormant,,,
,Mozal SA,Mozambique,Mozambique,0.64,Aluminium Smelting,,,
,South32 (BMSA) Pty Ltd,Australia,Australia,1,Holding Company,,,
,South32 (BVI) Limited,"Virgin Islands, British",Australia,1,Holding Company,,,
,South32 Africa (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
,South32 Aluminium (Holdings) Pty Ltd,Australia,Australia,1,Holding Company,,,
,South32 Aluminium (RAA) Pty Ltd,Australia,Australia,1,Bauxite Mining and Alumina Refining,,,
,South32 Aluminium (Worsley) Pty Ltd,Australia,Australia,1,Bauxite Mining and Alumina Refining,,,
,South32 Aluminium SA (Pty) Ltd,South Africa,South Africa,1,Closed Aluminium Smelter,,,
