Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,Sustainability Databook 2023,,,
3,,SUBSIDIARIES AND EQUITY ACCOUNTED INVESTMENTS INCORPORTATION AND TAX RESIDENCY BY COUNTRY,,,,,,,
6,,Subsidiaries incorporation and tax residency by country,,,,,,,
8,,Company name,Country of incorporation,Country of tax residency,Ownership %,Principal activities,,,
9,,African Metals (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
10,,Aluminium Management Company of Mozambique (Pty) Limited,South Africa,South Africa,0.66,"Administrative, Management and Support Services",,,
11,,Cerro Matoso S.A.,Colombia,Colombia,0.999,Ferronickel Mining and Smelting,,,
12,,Conicol BVI Limited,"Virgin Islands, British",Australia,1,Holding Company,,,
13,,Dendrobium Coal Pty Ltd,Australia,Australia,1,Metallurgical Coal Mining,,,
14,,Eagle Downs Coal Management Pty Ltd,Australia,Australia,1,JV Manager,,,
15,,Endeavour Coal Pty Limited,Australia,Australia,1,Metallurgical Coal Mining,,,
16,,Gengro (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
17,,Hillside Aluminium (Pty) Ltd,South Africa,South Africa,1,Aluminium Smelting,,,
18,,Illawarra Coal Holdings Pty Ltd,Australia,Australia,1,Holding Company,,,
19,,Illawarra Services Proprietary Limited,Australia,Australia,1,"Coal Washery, Rail and Road Coal Transportation",,,
20,,Micawber 501 (Proprietary) Limited,South Africa,South Africa,1,Dormant,,,
21,,Mozal SA,Mozambique,Mozambique,0.64,Aluminium Smelting,,,
22,,South32 (BMSA) Pty Ltd,Australia,Australia,1,Holding Company,,,
23,,South32 (BVI) Limited,"Virgin Islands, British",Australia,1,Holding Company,,,
24,,South32 Africa (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
25,,South32 Aluminium (Holdings) Pty Ltd,Australia,Australia,1,Holding Company,,,
26,,South32 Aluminium (RAA) Pty Ltd,Australia,Australia,1,Bauxite Mining and Alumina Refining,,,
27,,South32 Aluminium (Worsley) Pty Ltd,Australia,Australia,1,Bauxite Mining and Alumina Refining,,,
28,,South32 Aluminium SA (Pty) Ltd,South Africa,South Africa,1,Closed Aluminium Smelter,,,
29,,South32 Americas Inc.,United States,United States,1,Dormant,,,
30,,South32 Arizona (Holdings) Pty Ltd,Australia,Australia,1,Holding Company,,,
31,,South32 Australia Investment 3 Pty Ltd,Australia,Australia,1,Holding Company,,,
32,,South32 Base Metals Ireland Limited,Ireland,Ireland,1,Exploration,,,
33,,South32 Canada Inc.,Canada,Canada,1,Exploration and Services,,,
34,,South32 Cannington Proprietary Limited,Australia,Australia,1,"Silver, Lead and Zinc Mining",,,
35,,South32 Chile Copper Holdings Pty Ltd,Australia,Australia,1,Holding Company,,,
36,,South32 Eagle Downs Pty Ltd,Australia,Australia,1,Mine Feasibility,,,
37,,South32 Energy SAS ESP,Colombia,Colombia,1,Energy,,,
38,,South32 Exploracion S.A.S.,Colombia,Colombia,1,Exploration,,,
39,,South32 Finance 1 B.V.,Netherlands,Netherlands,1,Financing,,,
40,,South32 Finance 2 B.V.,Netherlands,Netherlands,1,Financing,,,
41,,South32 Finance South Africa Limited,"Virgin Islands, British",United Kingdom,1,Dormant,,,
42,,South32 Freight Australia Pty Ltd,Australia,Australia,1,Distribution,,,
43,,South32 Gas S.A.S. E.S.P.,Colombia,Colombia,1,Exploration,,,
44,,South32 Group (BVI) Limited,"Virgin Islands, British",Australia,1,Holding Company,,,
45,,South32 Group Operations Pty Ltd,Australia,Australia,1,"Administrative, Management and Support Services",,,
46,,South32 Hermosa Inc.,United States,United States,1,Exploration,,,
47,,South32 Holding 1 SpA,Chile,Chile,1,Holding Company,,,
48,,South32 Holding 2 SpA,Chile,Chile,1,Holding Company,,,
49,,South32 International Investment Holdings Proprietary Limited,Australia,Australia,1,Holding Company,,,
50,,South32 International Investment Proprietary Limited,Australia,Australia,1,Holding Company,,,
51,,South32 Investment 1 B.V.,Netherlands,Netherlands,1,Holding Company,,,
52,,South32 Jersey Limited,Jersey,Australia,1,Holding Company,,,
53,,South32 Limited,Australia,Australia,1,Ultimate Holding Company,,,
54,,South32 Marketing Pte. Ltd.,Singapore,Singapore,1,"Sales, Marketing and Distribution",,,
55,,South32 Minerals SA,Brazil,Brazil,1,Alumina Refining and Aluminium Smelting,,,
56,,South32 North America Projects ULC,Canada,Canada,1,Dormant,,,
57,,South32 Properties (Pty) Ltd,South Africa,South Africa,1,Dormant,,,
58,,South32 Royalty Investments Pty Ltd,Australia,Australia,1,Owns Mining Royalties,,,
59,,South32 SA Finance (Pty) Ltd,South Africa,South Africa,1,Financing,,,
60,,South32 SA Holdings Ltd,South Africa,South Africa,1,Holding Company,,,
61,,South32 SA Investments Limited,United Kingdom,United Kingdom,1,Holding Company and Service Provider,,,
62,,South32 SA Ltd,South Africa,South Africa,1,"Administrative, Management and Support Services",,,
63,,South32 SA Manganese Holdings (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
64,,South32 Sierra Gorda SpA,Chile,Chile,1,Holding Company,,,
65,,South32 Sweden Exploration AB,Sweden,Sweden,1,In Liquidation,,,
66,,South32 Treasury (USA) Limited,Australia,Australia,1,Financing,,,
67,,South32 Treasury Limited,Australia,Australia,1,Financing,,,
68,,South32 USA Exploration Inc.,United States,United States,1,Exploration,,,
69,,South32 Worsley Alumina Pty Ltd,Australia,Australia,0.86,Mining Management Services,,,
70,,Southern Abatis Pte Ltd,Singapore,Australia,1,Insurance,,,
71,,Taragon Valley Pty Ltd,Australia,Australia,1,Exploration,,,
74,,Equity accounted investments incorporation and tax residency by country,,,,,,,
76,,Company name,Country of incorporation,Country of tax residency,Ownership %,Principal activities,,,
77,,Groote Eylandt Mining Company Proprietary Limited,Australia,Australia,0.6,Manganese Ore Mine,,,
78,,Hotazel Manganese Mines (Proprietary) Limited,South Africa,South Africa,0.546,Manganese Ore Mine,,,
79,,Metalloys Manganese Smelter (Pty) Ltd.,South Africa,South Africa,0.6,Dormant,,,
80,,MineraÃÂ§ÃÂ£o Rio do Norte S.A,Brazil,Brazil,0.33,Bauxite mine,,,
81,,Port Kembla Coal Terminal Limited,Australia,Australia,0.167,Export Handling,,,
82,,Samancor Gabon SA,Gabon,Gabon,0.6,In Liquidation,,,
83,,Samancor Holdings (Proprietary) Limited,South Africa,South Africa,0.6,Holding Company,,,
84,,Samancor Manganese (Proprietary) Limited,South Africa,South Africa,0.6,Holding Company,,,
85,,Samancor Marketing Pte. Ltd.,Singapore,Singapore,0.6,"Sales, Marketing and Distribution",,,
86,,Sierra Gorda Sociedad Contractual Minera,Chile,Chile,0.45,Copper Mine,,,
87,,Terra Nominees (Proprietary) Limited,South Africa,South Africa,0.6,Holding Company,,,
