Unnamed: 0,Unnamed: 1,Unnamed: 2
,,Sustainability Databook 2023
,,
,,
,SUSTAINABILITY FRAMEWORKS AND REPORTING STANDARDS,
,,
,,
,Sustainability frameworks and reporting standards,Spreadsheet tab
,ICMM Mining Principles,ICMM Mining Principles
,ICMM Performance Expectations,ICMM Performance Expectations
,UNGC Principles,UNGC Principles
,United Nations Sustainable Development Goals (UN SDGs),UN SDGs
,Global Reporting Initiative (GRI) Index,GRI Index
,International Financial Reporting Standards (IFRS) Foundations' Sustainability Accounting Standards Board (SASB) Index,SASB Index
,ICMM Social and Economic Reporting Framework Index,ICMM Social and Economic Index
,Task Force on Climate-Related Financial Disclosures (TCFD) Index ,TCFD Index
,CA100+ Net Zero Company Benchmark ,CA100+ 
,Modern Slavery Statement metrics,Modern slavery metrics
