Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
0,,,Sustainability Databook 2023
3,,SUSTAINABILITY FRAMEWORKS AND REPORTING STANDARDS,
6,,Sustainability frameworks and reporting standards,Spreadsheet tab
7,,ICMM Mining Principles,ICMM Mining Principles
8,,ICMM Performance Expectations,ICMM Performance Expectations
9,,UNGC Principles,UNGC Principles
10,,United Nations Sustainable Development Goals (UN SDGs),UN SDGs
11,,Global Reporting Initiative (GRI) Index,GRI Index
12,,International Financial Reporting Standards (IFRS) Foundations' Sustainability Accounting Standards Board (SASB) Index,SASB Index
13,,ICMM Social and Economic Reporting Framework Index,ICMM Social and Economic Index
14,,Task Force on Climate-Related Financial Disclosures (TCFD) Index,TCFD Index
15,,CA100+ Net Zero Company Benchmark,CA100+
16,,Modern Slavery Statement metrics,Modern slavery metrics
