Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,Sustainability Databook 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,TAILINGS STORAGE FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,"This tab provides detail on South32Ã¢ÂÂs operated tailings storage facilities (TSFs) including Worsley Alumina, Cannington, Cerro Matoso, South Africa Manganese, Australia Manganese, Illawarra Metallurgical Coal and the Hermosa project. This tab also provides detail on the TSFs at our non-operated facilities, including MineraÃÂ§ÃÂ£o Rio do Norte S.A (MRN) (33 per cent South32 interest) and Alumar (36 per cent South32 interest), and Sierra Gorda (45 per cent South32 interest).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,South32 Operated Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Operation name,Worsley Alumina,Worsley Alumina,Worsley Alumina,Worsley Alumina,Worsley Alumina,Worsley Alumina,Worsley Alumina,Worsley Alumina,Cannington,Cannington,Cannington,Cerro Matoso,Wessels,Mamatwan,Mamatwan,Mamatwan,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Groote Eylandt Mining Company,Metalloys,Metalloys,Illawarra,Hermosa,,,,,,,,,,,
11,,1. Tailings Facility name,BRDA 1,BRDA 2,BRDA 4,BRDA 4X,BRDA 5,SEP 1,SEP 4,SEP 3,Cell 1,Cell 2,Cell 3,Sajana TSF,Slimes Dam,Adams pit,Mamatwan slimes TSF,Middelplaats TSF,TSF5,TSF6,TSF7,TSF8,TSF10,TSF11,TSF13,TSF15,TSF18,TSF20,New North Plant Sludge Dam,New West Plant Sludge Dam,West Cliff Emplacement Area (Stages 1 - 4),Filtered tailings facility,,,,,,,,,,,
12,,2. Location,"-33.222, 116.080","-33.218, 116.073","-33.222, 116.065","-33.211, 116.064","-33.244, 116.056","-33.231, 116.082","-33.229, 116.083","-33.229, 116.080","-21.854, 140.910","-21.850, 140.906","-21.845, 140.901","7.893, -75.525","-27.112, 22.860","-27.381, 22.987","-27.397, 22.991","-27.369, 22.931","-13.975, 136.434","-13.980, 136.433","-13.977, 136.428","-13.993, 136.439","-13.988, 136.432","-13.996, 136.449","-14.013, 136.449","-14.027, 136.435","-13.995, 136.430",".-13.999, 136.436","-26.568, 27.988","-26.561, 27.986","-34.222, 150.817","31.466, -110.728",,,,,,,,,,,
13,,3. Ownership,"JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","Owned,Operated","Owned,Operated","Owned,Operated","Owned, Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","JV,Operated","Owned,Operated","Owned,Operated",,,,,,,,,,,
14,,4. Status,Closed,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive,Active,Inactive,Active,Active,Closed,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,,,,,,,,,,,
15,,5. Date of initial operation,1983,1987,1994,2002,1997,2017,2020,1984,1997,2002,2014,2008,1973,2002,1984-1985,1976,1972,1999,1999,2007,2010,2008,2018,2022,2012,2016,1998,1998,1975,2018,,,,,,,,,,,
16,,6. Is the dam currently operated or closed as per currently approved design?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
