Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
17,,7. Raising method,Upstream,Upstream,"Upstream, Modified Centreline","Upstream, Downstream","Upstream, Downstream",Downstream,Downstream,Downstream,Modified Centreline,Upstream,Upstream,Upstream,Upstream,Other,Upstream,Upstream,Downstream,"Centreline, upstream",Downstream,"Centreline, Upstream","Downstream, other",Downstream,Single,Single,"Centreline, Upstream","Centreline, Downstream",Downstream,Downstream,Other,Other,,,,,,,,,,,
18,,8. Current maximum height (lowest downstream toe to crest),20,55.5,59,51,55,7,12,8,18.6,17,10,34,7.017,0,10,1,12,10,13,8,12,15,15,15,12,13,5,4,75,27,,,,,,,,,,,
19,,9. Current tailings storage impoundment volume (Mm3),10,13,35,20,85,0.22,0.19,0.18,6.3,7,3,11,0.424,1.47,0.362,0.006,5,1,10.5,6,4,9.415,9.958,0.774,5.475,6.175,0.07,0.1,23.44,1,,,,,,,,,,,
20,,10. Planned tailings storage impoundment volume in 5 years time (Mm3),10,13,48,38,105,0.22,0.39,0.18,6.3,7,5,11,0.013,1.36,0.362,0,5,1,10.5,6,4,12,14,12.5,7,10.7,0.07,0.1,27.37,2.1,,,,,,,,,,,
21,,11. Most recent independent expert review,June 2022,June 2022,June 2022,June 2022,June 2022,June 2022,June 2022,June 2022,November 2021,November 2021,November 2021,June 2022,September 2022,September 2022,-,-,February 2022,February 2022,February 2022,"February, 2022",February 2022,February 2022,February 2022,February 2022,February 2022,February 2022,February 2022,February 2022,April 2021,November 2021,,,,,,,,,,,
22,,"12. Do you have full and complete relevant engineering records including design, construction, operation, maintenance, and/or closure?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,Partial,No,Yes,Partial,Yes,Partial,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,,,,,,,,,,,
23,,"13. What is your hazard categorisation of this facility, based on the consequence of failure?",Low / Low,High B / Very High,High B / Very High,High B / Very High,High B / Very High,Low / High,Low / High,Low / High,High B / High,High C / High,High C / High,High / High,Low / Low,Low / Low,Not Applicable,Not Applicable,Significant / Significant,Significant / Significant,Significant / Significant,Low / Significant,Significant / Significant,High C / High,High C / High,High C / High,Significant / Significant,High C / High,Small Category 1 / Low,Small Category 1 / Low,Significant / Significant,Significant,,,,,,,,,,,
24,,14. What guideline do you follow for the classification system?,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,ANCOLD / GISTM,GNR / GISTM,GNR / GISTM,ANCOLD / GISTM,GISTM - ANNEX 2 - Table 1: Consequence Classification Matrix,,,,,,,,,,,
25,,"15. Has this facility, at any point in its history, failed to be confirmed or certified as stable, or experienced notable stability concerns, as identified by an independent engineer?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,
26,,16. Do you have internal/in house engineering specialist oversight of this facility? Or do you have external engineering support for this purpose?,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,External,Both,,,,,,,,,,,
27,,"17. Has a formal analysis of the downstream impact on communities, ecosystems and critical infrastructure in the event of catastrophic failure been undertaken and to reflect final conditions? If so, when did this assessment take place?","Yes, 2012","Yes, 2018","Yes, 2018","Yes, 2018","Yes, 2018",No,"Yes, 2020",No,"Yes, 2020","Yes, 2020","Yes, 2020","Yes, 2023",No,Not Applicable - No downstream receptors,Not applicable,Not Applicable,"Yes, 2023","Yes, 2023","Yes, 2023","Yes, 2023","Yes, 2023","Yes, 2023","Yes, 2023","Yes, 2021","Yes, 2018","Yes, 2023",No,No,"Yes, 2022","Yes, 2022",,,,,,,,,,,
