Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,Sustainability Databook 2023,,,,
3,,TAILINGS,,,,,,,
5,,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,
7,,The safe management of tailings storage facilities (TSFs) is essential to protect the environment and surrounding communities.\nWe are committed to implementing the Global Industry Standard on Tailings Management (GISTM) at all South32 operated TSFs.\n\nThe metrics we use to measure our performance are shown in the tables below.,,,,,,,
9,,Tailings waste,,,,,,,
11,,Tailings waste generated and recycled / reused (kilotonnes)(1),FY23,FY22,FY21,,,,
12,,Total tailings produced,18884,20042,18399,,,,
13,,Total tailings waste,16347,18421,17269,,,,
14,,Total tailings recycled / reused(2),2537,1621,1130,,,,
15,,Percentage of tailings recycled / reused(2),0.13434653675068842,0.08088015168146892,0.06141638132507202,,,,
17,,"(1) To convert from kilotonnes to tonnes multiply by 1,000.\n(2) In FY23, our calculation was revised to include tailings reused as well as tailings recycled. Numbers for prior financial years reflect tailings recycled only.",,,,,,,
