Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,,,,Sustainability Databook 2023,
4,,UNITED NATIONS GLOBAL COMPACT (UNGC) PRINCIPLES,,,,
6,,"As a UNGC member, we continued support for the UNGC and issued our 2022 Communication on Progress (CoP). In FY23, we plan to partake in the new CoP Questionnaire designed to help participating companies monitor performance across the Ten Principles. The CoP questionnaire is expected to be submitted later this calendar year.",,,,
8,,UNGC aspect,Principle,Reference location,,
9,,Human rights,Principle 1. Businesses should support and respect the protection of internationally proclaimed human rights.,2023 Sustainable Development Report - People and culture (page 28-33)\n2023 Sustainable Development Report - Delivering value to society (page 34-47)\n2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Sustainable Development Report - Responsible value chain (page 57-61)\n2023 Sustainable Development Report - Water (page 63-67)\n2023 Sustainable Development Report - Tailings (page 74-77)\n2023 Sustainable Development Report - Closure (page 83-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117),,
10,,,Principle 2. Make sure that they are not complicit in human rights abuses.,2023 Sustainable Development Report - Partnering with communities (page 35-40)\n2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Sustainable Development Report - Responsible value chain (page 57-61),,
11,,Labour,Principle 3. Business should uphold the freedom of association and the effective recognition of the right to collective bargaining.,2023 Sustainable Development Report - People and culture (page 28-33),,
12,,,Principle 4. The elimination of all forms of forced and compulsory labour.,2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Sustainable Development Report - Responsible value chain (page 57-61),,
13,,,Principle 5. The effective abolition of child labour.,2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Sustainable Development Report - Responsible value chain (page 57-61),,
14,,,Principle 6. The elimination of discrimination in respect of employment and occupation.,2023 Sustainable Development Report - Protecting and respecting our people (page 19-33)\n2023 Sustainable Development Report - Delivering value to society (page 34-47)\n2023 Sustainable Development Report - Human rights (page 52-56),,
15,,Environment,Principle 7. Business should support a precautionary approach to environmental challenges.,2023 Sustainable Development Report - Managing our environmental impact (page 62-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117),,
16,,,Principle 8. Undertake initiatives to promote greater environmental responsibility.,2023 Sustainable Development Report - Managing our environmental impact (page 62-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117),,
17,,,Principle 9. Encourage the development and diffusion of environmentally friendly technologies.,2023 Sustainable Development Report - Managing our environmental impact (page 62-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117),,
18,,Anti-corruption,"Principle 10. Business should work against corruption in all its forms, including extortion and bribery.",2023 Sustainable Development Report - Ethics and business integrity (page 49-51),,
