H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,ASSET RATINGS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Commercial Property,,,,,,,,,,,,,Communities,,,,
,,"Our average portfolio NABERS and Green Star Performance ratings are normalised by floor area in order to accurately reflect overall portfolio performance.
Assets that were divested in FY23 include: Stockland Bull Creek, Stockland Gladstone and Stockland Riverton",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Asset,State,Floor Area (sqm),NABERS Energy,Multiplier,NABERS Water,Multiplier,Floor Area (sqm),Green Star Performance,"Green Star 
As Built1",Green Star Buildings,Other2,,Asset,State,Green Star Communities,EnviroDevelopment,
,,Town Centres,,,,,,,,,,,,,Land Lease Communities,,,,
,,Stockland Baldivis,WA,30807.2,3.5,107825.2,1.5,46210.8,29898,3,4,,WELL Health-Safety,,Stockland Halcyon Glades,Qld,,Yes,
,,Stockland Balgowlah,NSW,12771,2,25542,2.5,31927.5,12802,3,,,WELL Health-Safety,,Stockland Halcyon Lakeside,Qld,,Yes,
,,Stockland Baringa,QLD,5881,6,35286,4,23524,6547,1,5,,WELL Health-Safety,,Stockland Halcyon Landing,Qld,,Yes,
,,Stockland Birtinya,QLD,10697,6,64182,4,42788,10029,4,5,,WELL Health-Safety,,Stockland Halcyon Parks ,Qld,,,
,,Stockland Burleigh Complex,QLD,28152.5,6,168915,5,140762.5,27553,4,,,,,Stockland Halcyon Waters,Qld,,,
,,Stockland Forster,NSW,27857.3,6,167143.8,5.5,153215.15,36100,4,,,WELL Health-Safety,,Stockland Vision by Halcyon,Qld,,,
,,Stockland Glendale,NSW,50462.5,6,302775,5,252312.5,55374,4,,,,,Stockland B by Halcyon,Qld,,,
,,Stockland Green Hills,NSW,71658.2,No rating 8,0,3.5,250803.69999999998,73659,3,5,,,,Stockland Halcyon Berwick,Vic,,,
,,Stockland Harrisdale,WA,10160,0,0,1.5,15240,10029,3,4,,,,Stockland Halcyon Greens,Qld,,Yes,
,,Stockland Hervey Bay,QLD,31805.6,5.5,174930.8,No rating,0,37871,4,4,,WELL Health-Safety,,Stockland Halcyon Nirimba,Qld,,,
,,Stockland Merrylands,NSW,56780.1,4.5,255510.44999999998,3,170340.3,56490,4,4,,,,Stockland Halcyon Promenade,Qld,,In progress,
,,Stockland Nowra,NSW,16074.3,5,80371.5,4.5,72334.34999999999,15903,4,,,WELL Health-Safety,,Stockland Halcyon Rise,Qld,,In progress,
,,Stockland Point Cook,VIC,38106.3,5,190531.5,3.5,133372.05000000002,38857,4,,,,,Stockland Halcyon Evergreen,Vic,,,
,,Stockland Piccadilly3,NSW,,,,,,,,,,,,Stockland Halcyon Horizon,Vic,,,
,,Stockland Rockhampton,QLD,55994.8,4,223979.2,3,167984.40000000002,55981,3,,,,,Masterplanned Communities1,,,,
