H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,CLIMATE RESILIENCE,,,,,,,,,,,
,,,,,,,,,,,,
,"Our climate resilience assessment methodology assesses the resilience of individual properties and their communities. It focuses on the vulnerability of our assets to climate change, particularly their ability to endure severe weather impacts and operate without disruption. Key resilience criteria includes location and design, structure, operation and maintenance, utilities and services, and stakeholders. The assessment of each of these components are combined to provide an overall climate resilience score on a scale of 1 to 25, from outstanding resilience to high vulnerability (see table below).",,,,,,,,,,,
,,,,,,,,,,,,
,Classification,Score,Description,,,,,,,,,
,Outstanding resilience,0 to 4,Asset has inherent adaptive capacity and very low sensitivity to climate hazards.  It is likely to have implemented a number of adaptation strategies to greatly improve tolerance to climate hazards. Asset is not likely to be located in a region which is exposed to climate hazards and to date has responded well to the changing climate.,,,,,,,,,
,High resilience,4 to 9,"Asset has good adaptive capacity and low sensitivity to climate hazards. It is likely to have implemented some adaptation strategies to improve tolerance to climate hazards. Asset is not likely to be located in a region which is exposed to climate hazards, however it may have a limited number of potential impacts to address to maintain resilience.",,,,,,,,,
,Moderate resilience,9 to 16,Asset has moderate adaptive capacity and sensitivity to climate hazards. It is likely to have implemented a limited number of adaptation strategies to reduce vulnerability to climate hazards. Asset is likely to be located in a region which is exposed to climate hazards and has nominal potential impacts to address to improve resilience.,,,,,,,,,
,High vulnerability,16 to 25,Asset has a low level of  adaptive capacity and high sensitivity to climate hazards. It is very unlikely to have implemented adaptation strategies to improve tolerance to climate hazards. Asset is very likely to be located in a region which is highly exposed to multiple climate hazards and has a number of potential impacts to address to reduce vulnerability.,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Asset climate resilience scores (Commercial Property),,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Location,Year Assessed,Resilience Rating,,,,,,,,,
,Workplace1,,,,,,,,,,,
,"16 Giffnock Ave, Macquarie Park (NSW)",2022,7.1,,,,,,,,,
,"601 Pacific Highway, St Leonards (NSW)",2022,5.17,,,,,,,,,
,"60-66 Waterloo Rd, Macquarie Park (NSW)",2022,6.54,,,,,,,,,
,Durack Centre (WA),2011,8.24,,,,,,,,,
,"Macquarie Technology Park, Macquarie Park (NSW)",2023,6.84,,,,,,,,,
,Mulgrave Corporate Park (Vic),2022,5.75,,,,,,,,,
,"Optus Centre, Macquarie Park (NSW)",2022,7.34,,,,,,,,,
,"Piccadilly Complex, Sydney (NSW)",2023,5.63,,,,,,,,,
,"Triniti Business Park, North Ryde (NSW)",2018,7.91,,,,,,,,,
,"Walker Street Complex, North Sydney (NSW)",2023,7,,,,,,,,,
,Total assets (Workplace),,10,,,,,,,,,
,Portfolio coverage (Workplace),,1,,,,,,,,,
,Logistics1,,,,,,,,,,,
,"182-202 Bowhill Road, Willawong (Qld)",2023,5.09,,,,,,,,,
,"20-42 Amherst Drive, Truganina (Vic)",2023,5.3,,,,,,,,,
,23 Wonderland Drive (NSW),2022,6.98,,,,,,,,,
,"72-76 Cherry Lane, Laverton North (Vic)",2023,5.21,,,,,,,,,
,"787 Boundary Road, Richlands (Qld)",2023,4.93,,,,,,,,,
,"96-112 Gow Street, Padstow (NSW)",2023,4.94,,,,,,,,,
,Altona Distribution Centre (Vic),2023,6.39,,,,,,,,,
,Altona Industrial Estate (Vic),2023,7.64,,,,,,,,,
,"Baker St, Botany (Previously Smeg Distribution Centre) (NSW)",2023,4.69,,,,,,,,,
,Brooklyn Distribution Centre (Vic),2021,7.37,,,,,,,,,
,Carole Park Distribution Centre (Qld),2023,4.8,,,,,,,,,
,"Coopers Paddock, Warwick Farm (NSW)",2023,5.14,,,,,,,,,
,Cranbourne West Distribution Centre (VIC),2023,6.14,,,,,,,,,
,Forrester Distribution Centre (NSW),2021,6.73,,,,,,,,,
,Granville Industrial Estate (NSW),2012,5.37,,,,,,,,,
,Hendra Industrial Estate (Qld),2022,7.73,,,,,,,,,
,Ingleburn Logistics Park (NSW),2023,5.11,,,,,,,,,
,Kemps Creek Land (NSW),2023,5.44,,,,,,,,,
,"KeyWest Distribution Centre, Truganina (Vic)",2023,6.2,,,,,,,,,
,Leppington Business Park (NSW),2023,4.72,,,,,,,,,
,Melbourne Business Park (Vic),2023,5.57,,,,,,,,,
,Oakleigh Industrial Estate (Vic),2023,4.56,,,,,,,,,
,Quarry Road (NSW),2021,6.31,,,,,,,,,
,Somerton Distribution Centre (Vic),2021,6.37,,,,,,,,,
,Wetherill Park Distribution Centre (Qld),2022,6.64,,,,,,,,,
,Willawong Distribution Centre (Qld),2023,4.94,,,,,,,,,
,Yatala Distribution Centre (Qld),2023,5.66,,,,,,,,,
,Yatala Distribution Centre South (Qld),2023,5.59,,,,,,,,,
,Yennora Distribution Centre (NSW),2018,6.95,,,,,,,,,
,Total assets (Logistics),,29,,,,,,,,,
,Portfolio coverage (Logistics),,1,,,,,,,,,
,Town Centres1,,,,,,,,,,,
,Stockland Baldivis (WA),2022,5.52,,,,,,,,,
,Stockland Balgowlah (NSW),2022,5.53,,,,,,,,,
,Stockland Baringa (Qld),2022,5.84,,,,,,,,,
,Stockland Birtinya (Qld),2021,8.52,,,,,,,,,
,Stockland Burleigh Heads (Qld),2019,8.13,,,,,,,,,
,Stockland Forster (NSW),2022,6.54,,,,,,,,,
,Stockland Glendale (NSW),2022,7.53,,,,,,,,,
,Stockland Green Hills (NSW),2012,7.81,,,,,,,,,
,Stockland Harrisdale (WA),2023,5.98,,,,,,,,,
,Stockland Hervey Bay (Qld),2022,7.15,,,,,,,,,
,Stockland Merrylands (NSW),2023,5.74,,,,,,,,,
,Stockland Nowra (NSW),2016,6.32,,,,,,,,,
,Stockland Piccadilly (NSW),2023,5.63,,,,,,,,,
,Stockland Point Cook (Vic),2022,6.58,,,,,,,,,
,Stockland Rockhampton (Qld),2013,9.16,,,,,,,,,
,Stockland Shellharbour (NSW),2019,7.24,,,,,,,,,
,Stockland Shellharbour Retail Park (NSW),2019,7.51,,,,,,,,,
,Stockland Townsville (Qld),2018,8.52,,,,,,,,,
,Stockland Wendouree (Vic),2022,7.69,,,,,,,,,
,Stockland Wetherill Park (NSW),2012,8.22,,,,,,,,,
,Total assets (Town Centre),,20,,,,,,,,,
,Portfolio coverage (Town Centre),,1,,,,,,,,,
,,,,,,,,,,,,
,Portfolio coverage (CP totall),,1,,,,,,,,,
,,,,,,,,,,,,
,1. Asset list excludes FY23 divestments. ,,,,,,,,,,,
,,,,,,,,,,,,
,Climate resilience scores by asset (Communities),,,,,,,,,,,
,,,,,,,,,,,,
,Location,Year Assessed,Resilience Rating,,,,,,,,,
,Masterplanned Communities (Active),,,,,,,,,,,
,Altona North (Vic),2023,4.22,,,,,,,,,
,Altrove (NSW),2016,11.13,,,,,,,,,
,Amberton Beach (WA),2023,5.09,,,,,,,,,
,Aura (Qld),2016,8.55,,,,,,,,,
,Banksia (Vic),2023,4.96,,,,,,,,,
,Birtinya (Qld),2023,7.54,,,,,,,,,
,Bokarina Beach (Oceanside) (Qld),2017,8.28,,,,,,,,,
,Canopy (WA),2018,5.45,,,,,,,,,
,Cloverton (Vic),2016,9.9,,,,,,,,,
,Delta (Qld),2019,5.56,,,,,,,,,
,Elara / Clydesdale (NSW),2022,7.8,,,,,,,,,
,Eucalypt (Vic),2023,N/A*,,,,,,,,,
,Evergreen (Vic),2021,7.13,,,,,,,,,
,Foreshore (Qld),2017,10.93,,,,,,,,,
,Forest Reach (NSW),2019,6.83,,,,,,,,,
,Grand Central (Vic),2022,7.24,,,,,,,,,
,Grandview (Vic),2018,9.14,,,,,,,,,
,Haven (Vic),2018,9.77,,,,,,,,,
,Highlands (Vic),2022,7.23,,,,,,,,,
,Illyarrie (Sinagra) (WA),2021,6.21,,,,,,,,,
,Kalina (Qld),2018,6.74,,,,,,,,,
,Katalia (Vic),2021,7.79,,,,,,,,,
,Lakeside (NSW),2022,7.84,,,,,,,,,
,Lyra (Vic),2022,7.69,,,,,,,,,
,Minta (Vic),2019,6.04,,,,,,,,,
,Mt Atkinson (Vic),2018,9.14,,,,,,,,,
,Newport (Qld),2022,7.91,,,,,,,,,
,North Shore (Qld),2017,7.93,,,,,,,,,
,Orion (Vic),2018,9.55,,,,,,,,,
,Providence (Qld),2021,6.72,,,,,,,,,
,Red Hill (ACT),2018,5.35,,,,,,,,,
,Sienna Wood (WA),2017,6.6,,,,,,,,,
,The Gables (NSW),2021,7.29,,,,,,,,,
,Wattle Park (Vic),2022,7.18,,,,,,,,,
,Whiteman Edge (WA),2023,5.2,,,,,,,,,
,Wildflower (WA) ,2023,5.85,,,,,,,,,
,Willowdale (NSW),2022,7.76,,,,,,,,,
,Masterplanned Communities (In Planning),,,,,,,,,,,
,"Albert Street, Brunswick (Vic)",2023,4.36,,,,,,,,,
,Beaconsfield (WA),2023,4.88,,,,,,,,,
,Botanica (Qld),2023,6.61,,,,,,,,,
,Caboolture (Qld),2023,6.06,,,,,,,,,
,"Church St, Parramatta (NSW) ",2023,5.19,,,,,,,,,
,"Dunning Ave, Rosebery (NSW) ",2023,6.05,,,,,,,,,
,Ellenbrook North (WA),2023,6.12,,,,,,,,,
,Illawarra (NSW),2019,7.09,,,,,,,,,
,Mariginiup (WA),2023,N/A*,,,,,,,,,
,Merrifield North (Vic) ,2023,N/A*,,,,,,,,,
,Oak Place (Wantirna) (WA),2022,6.27,,,,,,,,,
