Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
99,,Canopy (WA),2018,5.45,,,,,,,,,
100,,Cloverton (Vic),2016,9.9,,,,,,,,,
101,,Delta (Qld),2019,5.56,,,,,,,,,
102,,Elara / Clydesdale (NSW),2022,7.8,,,,,,,,,
103,,Eucalypt (Vic),2023,N/A*,,,,,,,,,
104,,Evergreen (Vic),2021,7.13,,,,,,,,,
105,,Foreshore (Qld),2017,10.93,,,,,,,,,
106,,Forest Reach (NSW),2019,6.83,,,,,,,,,
107,,Grand Central (Vic),2022,7.24,,,,,,,,,
108,,Grandview (Vic),2018,9.14,,,,,,,,,
109,,Haven (Vic),2018,9.77,,,,,,,,,
110,,Highlands (Vic),2022,7.23,,,,,,,,,
111,,Illyarrie (Sinagra) (WA),2021,6.21,,,,,,,,,
112,,Kalina (Qld),2018,6.74,,,,,,,,,
113,,Katalia (Vic),2021,7.79,,,,,,,,,
114,,Lakeside (NSW),2022,7.84,,,,,,,,,
115,,Lyra (Vic),2022,7.69,,,,,,,,,
116,,Minta (Vic),2019,6.04,,,,,,,,,
117,,Mt Atkinson (Vic),2018,9.14,,,,,,,,,
118,,Newport (Qld),2022,7.91,,,,,,,,,
119,,North Shore (Qld),2017,7.93,,,,,,,,,
120,,Orion (Vic),2018,9.55,,,,,,,,,
121,,Providence (Qld),2021,6.72,,,,,,,,,
122,,Red Hill (ACT),2018,5.35,,,,,,,,,
123,,Sienna Wood (WA),2017,6.6,,,,,,,,,
124,,The Gables (NSW),2021,7.29,,,,,,,,,
125,,Wattle Park (Vic),2022,7.18,,,,,,,,,
126,,Whiteman Edge (WA),2023,5.2,,,,,,,,,
127,,Wildflower (WA),2023,5.85,,,,,,,,,
128,,Willowdale (NSW),2022,7.76,,,,,,,,,
129,,Masterplanned Communities (In Planning),,,,,,,,,,,
130,,"Albert Street, Brunswick (Vic)",2023,4.36,,,,,,,,,
131,,Beaconsfield (WA),2023,4.88,,,,,,,,,
132,,Botanica (Qld),2023,6.61,,,,,,,,,
133,,Caboolture (Qld),2023,6.06,,,,,,,,,
134,,"Church St, Parramatta (NSW)",2023,5.19,,,,,,,,,
135,,"Dunning Ave, Rosebery (NSW)",2023,6.05,,,,,,,,,
136,,Ellenbrook North (WA),2023,6.12,,,,,,,,,
137,,Illawarra (NSW),2019,7.09,,,,,,,,,
138,,Mariginiup (WA),2023,N/A*,,,,,,,,,
139,,Merrifield North (Vic),2023,N/A*,,,,,,,,,
140,,Oak Place (Wantirna) (WA),2022,6.27,,,,,,,,,
141,,Twin Waters West (Qld),2023,6.11,,,,,,,,,
