Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,,FY23 ESG Data Pack,,,,,,,,,,
1,,"\nThis data pack contains comprehensive performance data sets on People, Environment, Community and Customer metrics.\n\n\n\n\n",,,,,,,,,,
2,,People,,Environment,,Community,,Customer,,,,
3,,Our Workforce,,Energy Consumption,,Community Investment,,Customer Engagement,,,,
4,,Remuneration,,Emissions,,Giving & Volunteering,,,,,,
5,,Employee Engagement,,Water,,,,,,,,
6,,Diversity and Inclusion,,Waste,,,,,,,,
7,,Health and Safety,,Climate Resilience,,,,,,,,
8,,Human Capital Development,,Asset Ratings,,,,Indexes,,,,
9,,,,Biodiversity,,,,GRI Index,,,,
10,,,,,,,,SASB Index,,,,
12,,Stockland ESG Reporting Suite,,,,,,,,,,
13,,"Our ESG Data Pack should be read in conjunction with the FY23 Annual Integrated Report and ESG Management Approaches. These documents are prepared in adherence to the International Integrated Reporting Framework principles of materiality, stakeholder responsiveness, and reliability and completeness. They are also prepared in accordance with the GRI Standards (Core) and the SASB Real Estate Standards, and are third party assured.\n\nESG Management Approaches - how we respond to, manage and evaluate our material ESG matters. \nIntegrated Annual Report - information about Stockland, our strategy, our integrated financial and non-financial performance, risk management, corporate governance, remuneration and our financial statements.\nESG Data Pack - comprehensive ESG data sets supporting our ESG Review, progress against year end targets, GRI and SASB references.\nClimate Transition Action Plan - information on our strategy and commitments towards achieving climate resilience and low-carbon practices, providing transparency on environmental risks and opportunities to assess long-term sustainability. To access these documents, visit www.stockland.com.au/sustainability/downloads",,,,,,,,,,
14,,Acknowledgement of Country,,,,,,,,,,
15,,"Stockland acknowledges the Traditional Owners and Custodians of the lands on which we work and live within Australia. We would also like to pay our respects to their Elders, past, present and emerging, and acknowledge the ongoing connection that Aboriginal and Torres Strait Islander peoples have with AustraliaÃ¢ÂÂs land and waters.",,,,,,,,,,
16,,Important notice,,,,,,,,,,
17,,"While every effort is made to provide accurate and complete information, Stockland does not warrant or represent that the information in this report is free from errors or omissions or is suitable for your intended use. The information provided in this document may not be suitable for your specific needs and should not be relied upon by you in substitution of you obtaining independent advice. Subject to any terms implied by law and which cannot be excluded, Stockland accepts no responsibility for any loss, damage, cost or expense (whether direct or indirect) incurred by you as a result of any error, omission or misrepresentation in this document. All information in this document is subject to change without notice. This document is not an offer or an invitation to acquire Stockland stapled securities or any other financial products in any jurisdictions, and is not a prospectus, product disclosure statements or other offering document under Australian law or any other law. It is for information purposes only.",,,,,,,,,,
18,,Material Boundary Changes,,,,,,,,,,
19,,"Stockland divested its Retirement Living portfolio on 29 July 2022 (Stockland did not have operational control for July 2023 period). Stockland retained one Retirement Living assets, Affinity Village, WA.",,,,,,,,,,
