Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,,DIVERSITY AND INCLUSION,,,,,,,,,,,,,,,
2,,Women in management,,,,,,,,,,,,,,,
4,,,FY234,,FY225,,FY21,,FY20,,FY19,,,,,,
5,,Job band1,TOTAL,% WOMEN,TOTAL,% WOMEN,TOTAL,% WOMEN,TOTAL,% WOMEN,TOTAL,% WOMEN,,,,,
6,,Management2,653,0.45788667687595713,664,0.46536144578313254,561,0.474,538,0.46654275092936803,557,0.458,,,,,
7,,Stockland Leadership Team,8,0.625,8,0.625,7,0.571,8,0.5,8,0.5,,,,,
8,,Senior Management3,180,0.4388888888888889,169,0.38461538461538464,138,0.399,133,0.39849624060150374,136,0.412,,,,,
9,,Manager,465,0.46236559139784944,487,0.49075975359342916,416,0.498,397,0.48866498740554154,413,0.472,,,,,
10,,Employee,963,0.6002076843198338,1193,0.6093880972338642,1050,0.635,1029,0.640427599611273,1034,0.657,,,,,
11,,Stockland,1616,0.5426980198019802,1857,0.5578890683898762,1611,0.579,1567,0.5807275047862157,1591,0.587,,,,,
13,,"1. Workforce by gender includes permanent employees, fixed term employees, and employees on extended leave. It excludes casual employees, Board members, special contractors, temps and vendors.",,,,,,,,,,,,,,,
14,,"2. Includes Stockland Leadership Team (SLT), Executive General Manager, General Manager, Senior Manager and Manager job bands.",,,,,,,,,,,,,,,
15,,"3. Includes Executive General Manager, General Manager and Senior Manager job bands.",,,,,,,,,,,,,,,
16,,4. There was one Senior Manager and one employee in FY23 who did not identify as a male or a female.,,,,,,,,,,,,,,,
17,,5. There was one Senior Manager in FY22 who did not identify as a male or a female.,,,,,,,,,,,,,,,
19,,Women in management by business1,,,,,,,,,,,,,,,
21,,Business1,FY23,FY222,FY21,FY20,FY19,,,,,,,,,,
22,,Stockland,0.45788667687595713,0.46606334841629,0.474,0.46654275092936803,0.458,,,,,,,,,,
