H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,ENVIRONMENT,,,,,,,,,,,,,
,Background Notes & Reporting Boundary,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"As a real estate owner and developer, acquisitions, divestments and development activity within a given year can significantly impact our environmental performance. The table below provides an overview of the data types collected for each of our facility groups.",,,,,,,,,,,,,
,"Stockland divested its Retirement Living portfolio on 29 July 2022 (Stockland did not have operational control for July 2023 period). Stockland retained one Retirement Living assets, Affinity Village, WA.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Asset Type,Activity Profile,Electricity ,Gas,Emissions,Water,Waste,Notes,,,,,,
,Group Operations,,,,,,,,,,,,,
,Corporate offices,Internal corporate operations.,ü,,ü,,,"Energy & Emissions
Unless there are significant changes to the tenancies that we operate from, minor fluctuations generally reflect external factors beyond our control.
- Scope 1: vehicle fleet fuel.
- Scope 2: purchased electricity.
- Scope 3: hire car, airline and rental car travel.

Other
Water and waste are typically managed by the base building that we are tenanting. Where we are a tenant within our own building, these resources are reported under the base building.",,,,,,
,Commercial Property,,,,,,,,,,,,,
,"Town Centres, Logistics and Workplace",Operating our assets.,ü,ü,ü,ü,ü,"Energy & Emissions
Unless there are significant changes to our portfolio, or key infrastructure upgrades/installations, changes in our energy and emissions data generally reflect energy efficiency programs and initiatives. 
- Scope 1: gas consumption, refrigerants.
- Scope 2: purchased electricity.
- Scope 3: transmission losses, operational waste.

Other
Unless there are significant changes to our portfolio, changes reflect water efficiency programs and initiatives, tenancy mix, water leakages, or changes to asset management arrangements.
- Water: potable water consumption.
- Waste: operational waste",,,,,,
,,Development of our projects.,,,,,ü,Waste is collected when there is a Green Star contractor reporting requirement.,,,,,,
,Communities,,,,,,,,,,,,,
,Masterplanned Communities & Land Lease Communities,Operating our Masterplanned Communities site offices and Land Lease Communities centres,ü,ü,ü,ü,,"Energy & Emissions
Unless there are significant changes to our portfolio, annual changes generally reflect energy efficiency programs and initiatives and climatic conditions (e.g. milder temperatures reduce energy demand).
- Scope 1: our direct gas consumption.
- Scope 2: our direct consumption of purchased electricity.
- Scope 3: transmission losses.

Other
Unless there are significant changes to our portfolio, annual changes generally reflect water efficiency programs and initiatives. Waste is collected by local council and not reported.",,,,,,
, Land Lease Communities,Development of our Land Lease Communities projects using Halcyon Constructions Queensland Pty Ltd,ü,ü,ü,ü,ü,"Energy & Emissions
Increased civil works activity has a direct correlation with increased energy and emissions. In periods where we are actively developing our assets, our emissions profile is higher.
- Scope 1: emissions from gas and fuel consumption by Halcyon Constructions Queensland (HCQ), and our direct gas consumption.
- Scope 2: emissions from purchased electricity consumption reported by HCQ, and our purchased electricity.
- Scope 3: transmission losses.

Other
Increased civil work activity has a direct correlation with increased water consumption. In periods where we are actively developing our assets, our water consumption is higher. Increased finishing works (e.g. landscaping upgrades) also contribute to increased water consumption.
- Water: potable and non-potable water consumption by HCQ, and our direct water consumption.
- Waste: waste generation reported by HCQ.",,,,,,
,Masterplanned Communities & Land Lease Communities,Contractor reporting: Development of our Masterplanned Communities and Land Lease projects using Principal Contractors1,,,ü,ü,ü,"Energy & Emissions
As noted in the ‘Boundary change’ above, the Scope 1 emissions generated by our Residential Subdivision Construction Principal Contractors have been re-categorised as Scope 3 emissions.
- Scope 1: n/a
- Scope 2: n/a
- Scope 3: transmission losses, emissions from gas and fuel consumption reported by our principal contractors

Other
Increased civil work activity has a direct correlation with increased water consumption. In periods where we are actively developing our assets, our water consumption is higher. Increased finishing works (e.g. landscaping upgrades) also contribute to increased water consumption.
- Water: potable and non-potable water consumption by our contractors, and our direct water consumption.
- Waste: waste generation reported by our contractors.",,,,,,
,"Retirement Living Community
(Affinity Village, WA only)",Operating our Retirement Living communities.,ü,ü,ü,ü,,"Energy & Emissions
IStockland divested its Retirement Living portfolio on 22 July 2022 (Stockland did not have operational control for July 2022 period). Stockland retained one Retirement Living assets, Affinity Village, WA. All figures reported in FY23 for Retirement Living reflect this change.
- Scope 1: our direct gas consumption (can include residents' consumption where a village is not sub-metered).
- Scope 2: our direct consumption of purchased electricity (can include residents' consumption where a village is not sub-metered).
- Scope 3: transmission losses.

Other
Unless there are significant changes to our portfolio, annual changes generally reflect water efficiency programs and initiatives and development villages opening to residents. Waste is collected by local council and not reported.
",,,,,,
,,Contractor reporting: Development of our projects and communities usuing Prinicpal Contractors,,,ü,ü,ü,Same conditions as the 'Development of our Masterplanned Communities and Land Lease projects using Principal Contractors'.,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,l,Not achieved,,,
,,,,,,,,,,l,On track,,,
,Targets (FY22-24),,,,,,,,,l,Achieved,,,
,,,,,,,,,,,,,,
,Objective,Business Unit,FY22-24 Target,,,,,FY23 Progress,,Status,,,,
,Biodiversity,,,,,,,,,,,,,
,Conservation and creation of natural assets across our portfolio.,Group,Provide opportunities for employees to undertake one day per year volunteering on sites where we are protecting and restoring biodiversity.,,,,,"Several employees in Sydney (NSW) volunteered at Indigrow an Indigenous owned and operated social enterprise. The team assisted with mulching, weeding, and propagating native plant species. This target will change to align with refreshed ESG Strategy and CARE Foundation Strategy.",,l,,,,
,,Communities,"For new Masterplanned Communities, make an aggregated net positive contribution to the biodiversity value by FY24 as determined by th biodiversity calculator.",,,,,"There were no new Masterplanned Communities that reached Stage 3 of D-Life and were over 500 lots in FY23, and therefore no biodiversity calculators performed. In FY23, Stockland completed a review of how we measure positive and negative impacts on biodiversity associated with our developments. We found that there have been advances in relation to the quantification of biodiversity outcomes since we first deployed our  proprietary biodiversity calculator in 2015. Following this review, Stockland has started work on the development of  an updated calculator and approach to tracking biodiversity  outcomes associated with our developments. We aim to revise our biodiversity target in line with emerging definitions for biodiversity impacts.",,l,,,,
,"Invest in on- and off-site
habitat restoration.",Communities,All projects with significant biodiversity develop a biodiversity management plan.,,,,,"The majority of our projects with significant biodiversity on site have already implemented biodiversity management plans. Cloverton (Vic), Banksia (Vic), Minta (Vic), Evergreen (Vic) and Katalia (Vic) are still in the process of developing biodiversity management plans.",,l,,,,
,,Group,Explore landbank opportunities to support habitat restoration including collection and propagation of provenance seed banks.,,,,,"This year, we continue to review our existing landbank and offsets to better understand opportunities to restore and regenerate nature.",,l,,,,
,Carbon and Energy,,,,,,,,,,,,,
,Achieve Net Zero Carbon across our portfolio by 2028.,Group,Achieve Net Zero Carbon across our portfolio by 2028,,,,,"We are accelerating and expanding our carbon commitment to reduce and align our business carbon emissions with a science based 1.5°C trajectory and pathway. We have set new decarbonisation targets for our business, and we have developed a disciplined, detailed Climate Transition Action Plan to drive our actions to meet them. As part of this plan, we are bringing forward our net zero scope 1 and 2 target to 2025. We are moving towards electrification of central plant assets through end-of-life capital replacement programs.

https://www.stockland.com.au/sustainability/downloads",,l,,,,
,,Commercial Property,4 Star Green Star Performance Portfolio Rating for Town Centres and Workplace.,,,,,4 Star Green Star Performance rating achieved in Retail and Workplace in FY23,,l,,,,
,,,Achieve a first time Green Star Performance portfolio rating in Logistics.,,,,,We have registered a Green Star Performance rating for the logistics portfolio for several pilot sites. On track to receive GBCA certification by FY24.,,l,,,,
,,,5 Star NABERS energy Commercial Property portfolio average by asset class.,,,,,"We achieved 4.7 stars in Retail and 5.0 stars in workplace for NABERS Energy, on our way to achieving 5 Star in FY24.
We continued to invest in energy efficieny initatives of close to $950,000 in FY23.",,l,,,,
,,,10 per cent improvement in FY20 carbon intensity and 5 per cent improvement in FY20 energy intensity for Commercial Property.,,,,,"Since FY20, we have acheived a 12.7 per cent reduction in emissions intensity, however, there is a 0.14% increase in energy intensity due to a return to pre-COVID activity.",,l,,,,
,,,All Town Centres to offer electric vehicle charging stations.,,,,,We continue to investigate opportunites to scale our investment in electric vehicle charnging stations across our Town Centre.,,l,,,,
,,Communities,Medium Density developments to exceed minimum National Construction Code (NCC) energy related compliance standards by 25 per cent.,,,,,In FY23 our Medium Density developments have exceeded NCC (2022) by 52% improvement for Energy. The NCC was updated in 2022 to lift the performance standards. This target has been superceeded by the new standard.  ,,l,,,,
,,,All new Apartments to exceed minimum NCC energy related compliance standards by 10 per cent.,,,,,There were no new Apartments projects delivered in FY23. The NCC was updated in 2022 to lift the performance standards. This target has been superceeded by the new standard.  ,,,,,,
