Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,,EMISSIONS,,,,,,,,,,,,,,,,,,
2,,Total greenhouse gas emissions (tCO2-e),,,,,,,,,,,Total greenhouse gas emissions (tCO2-e) prior to restatement,,,,,,,
4,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,FY22,FY21,FY20,FY19,,,
5,,Stockland group total Scope 1,3041,"3,902 1",22402,21028,24230,25453,26884,35036,,,Stockland group total Scope 1,"3,902 1",22402,21028,24230,,,
6,,Stockland group total Scope 22,36225,"45,990 3","49,172 3","54,466 3","70,648 3",82592,87858,89880,,,Stockland group total Scope 22,44707,46195.136190000005,53750.54872,70545,,,
7,,Stockland group total Scope 1+2 emissions,39266,49892,71574,75494,94878,108045,114742,124916,,,Stockland group total Scope 1+2 emissions,48609,68597.13619,74778.54871999999,94775,,,
9,,"1. The Scope 1 emissions generated by our Residential Subdivision Construction Principal Contractors from FY22 onwards, have been re-categorised as Scope 3 emissions due to third party advice regarding our reporting obligations under the National Greenhouse and Energy Reporting Act 2007. This also applies to the Scope 1 emissions generated by our LLC contractors.",,,,,,,,,,,,,,,,,,
10,,2. Figure reported is Stockland's location-based Scope 2 emissions.,,,,,,,,,,,,,,,,,,
11,,"3. In FY23, a system error was identified where solar energy had been incorrectly recorded historically. In instances where solar generation was greater than StocklandÃ¢ÂÂs common area consumption, the system was inaccurately attributing excess solar energy as negative consumption and not offsetting the tenant consumption. This resulted in reduced scope 2 emissions for certain periods. Where required, Stockland has recalculated and restated its energy consumption and emissions from FY19-FY22. For comparison to prior year statements please see the table to the right.",,,,,,,,,,,,,,,,,,
13,,Scope 1 emissions (tCO2-e),,,,,,,,,,,,,,,,,,
15,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,No restatement for Scope 1 emissions,,,,,,,
16,,Workplace and Business Parks (base building) gas,1043.18,760.1128500000001,1028,1178.82,1231,1160,1010,1080,,,,,,,,,,
