Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
70,,"3. In FY23, a system error was identified where solar energy had been incorrectly recorded historically. In instances where solar generation was greater than StocklandÃ¢ÂÂs common area consumption, the system was inaccurately attributing excess solar energy as negative consumption and not offsetting the tenant consumption. This resulted in reduced scope 2 emissions for certain periods. Where required, Stockland has recalculated and restated its energy consumption and emissions from FY19-FY22. For comparison to prior year statements please see the table to the right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Renewables Consumption3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,,,,,,,,,,,,,,,,,,
75,,Town Centres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,Solar consumption (kWh),13636402.070502345,16431631,19550962,21464954,12880957,3274463,2387168,1940689,,,,,,,,,,,,,,,,,,,,,
77,,Percentage of portfolio electricity usage,0.29551966410546016,0.31309598326103116,0.3474473790623619,0.3531440408119234,0.19813424628287468,0.0511111529432802,0.035488642129442215,0.02732250915454256,,,,,,,,,,,,,,,,,,,,,
78,,Solar capacity installed (at 30 June) (kW),12236,13921,16893,16781,16400,4360,2260,1360,,,,,,,,,,,,,,,,,,,,,
79,,Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Solar consumption (kWh),700540.7297760918,801567,872280,46361,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
81,,Percentage of portfolio electricity usage,0.6758879012201567,0.705029434607499,0.6371583677619546,0.02972642151233434,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
82,,Solar capacity installed (at 30 June) (kW),869,770,770,770,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
83,,Workplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Solar consumption (kWh),541349.84,484217.96658,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Percentage of portfolio electricity usage,0.03916405190204146,0.039127747669787424,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,Solar capacity installed (at 30 June) (kW),504,503,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,Percentage of portfolio electricity usage (CP total),0.2438948351672297,0.2684726821716043,0.286114029274009,0.27701574113199734,0.1489431924304368,0.036022835556477305,0.025220877393598684,0.020063661935253357,,,,,,,,,,,,,,,,,,,,,
88,,Retirement Living1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,Solar consumption (kWh),42505,162279,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Per cent of portfolio electricity usage,0.2334528837651246,0.023483168001338265,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,Land Lease Communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,Solar consumption (kWh),186019.61,39764,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Per cent ofÃÂ Workplace portfolio electricity usage,0.08072970273973933,0.031651373225759206,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,"1. As of 29 June 2022, Stockland divested its Retirement Living portfolio, with the exception of Affinity Village, WA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,"2. Previous years this section reported solar generation, in FY23 this section reports solar consumption by Stockland Assets from FY19 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Gas and fuel consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,,,,,,,,,,,,,,,,,,
101,,Gas consumption (MJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Workplace (base buildings),20244250.37318007,14788188,19955777,22876338.43,23893430,22503346,19605661,20949926,,,,,,,,,,,,,,,,,,,,,
103,,Logistics,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
104,,Town Centres,10856077,9967404,11576937,24620332,28656262,28850605,28164870,7726710,,,,,,,,,,,,,,,,,,,,,
105,,Residential sites,309338.43,250149,174434.96,170631.44,194936,184905,231633,196216,,,,,,,,,,,,,,,,,,,,,
106,,Residential (contractors),-,-,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
107,,"Retirement Living1,3",124350,13054376,12663790,12001401.64,13291200,15137631,14448049,9451522,,,,,,,,,,,,,,,,,,,,,
108,,Retirement Living (contractors),0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
109,,Land Lease Communities,141176,742635,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,Land Lease Communities (Contractors),0,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Total,31675191.80318007,38802995,44370938.96,59668707.51,66035828,66676487,62450213,38324374,,,,,,,,,,,,,,,,,,,,,
112,,Fuel consumption2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Diesel (L),38670.95,34319,6396070.56,5524236.44,7119975,6770937,7356552,10344491,,,,,,,,,,,,,,,,,,,,,
114,,Bio diesel (L),0,0,0,0,0,2395,2070,525463,,,,,,,,,,,,,,,,,,,,,
115,,Petrol (L),6953.16,5199,60216.88,90492,102157,133092,129554,169636,,,,,,,,,,,,,,,,,,,,,
116,,Ethanol (L),1015.67,611,3371.55,2198,7789,8636,8451,4689,,,,,,,,,,,,,,,,,,,,,
117,,LPG (L),0,0,118,297,642,1375,246,556,,,,,,,,,,,,,,,,,,,,,
118,,Oil (L),0,74,12462.6,17470.41,25938,37291,42802,71973,,,,,,,,,,,,,,,,,,,,,
119,,Grease (kg),0,20,12147.29,13057.24,16350,17386,32592,66070,,,,,,,,,,,,,,,,,,,,,
121,,"1. FY19 onwards includes fuel (LPG), whereas previous years only consumed gas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,"2. From FY22 Fuel consumption: includes corporate travel, MPC and LLC (within Stockland NGERS reporting boundary).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,"3. As of 29 June 2022, Stockland divested its Retirement Living portfolio, with the exception of Affinity Village, WA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,Data coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Property type,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,Energy consumption data coverage (% NLA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,Workplace (base buildings),1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Logistics,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,Town Centres,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Residential sites,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
