Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,GRI INDEX,,,,,
2,,StocklandÃ¢ÂÂs ESG reporting has been prepared in accordance with the Global Reporting Initiative (GRI) Standards (Core). This index relates to our FY23 sustainability reporting and provides a guide on where information can be found as it relates to GRI reporting requirements.,,,,,
4,,Section,Code,Disclosure,Location,Comment,UN Global Compact
5,,GRI 2: General Disclosures,,,,,
6,,The Organisation and its reporting practices,2-1,Organisational Details,Annual Report,,
7,,,2-2,Entities included in the organizationÃ¢ÂÂs sustainability reporting,Annual Report,,
8,,,2-3,"Reporting period, frequency and contact point",Annual Report,,
9,,,2-4,Restatements of information,"Annual Report, ESG Data Pack",,
10,,,2-5,External assurance,Annual Report,,
11,,Activities and Workers,2-6,"Activities, value chain and other business relationships",Social Management Approach (Supply Chain Engagement)\nAnnual Report,,Principle 6
12,,,2-7,Employees,ESG Data Pack (Our Workforce),,
13,,,2-8,Workers who are not employees,ESG Data Pack (Our Workforce),,
14,,Governance,2-9,Governance structure and composition,Annual Report,,
15,,"Strategy, policies and practices",2-22,Statement on sustainable development\nstrategy,Annual Report,,
16,,,2-27,Compliance with laws and regulations,Annual Report,"Cultural and environmental breaches, if any during the year",
17,,,2-28,Membership associations,Governance Management Approach (Stakeholder Engagement),,
18,,Stakeholder engagement,2-29,Approach to stakeholder engagement,Governance Management Approach (Stakeholder Engagement),,
19,,,2-30,Collective bargaining agreements,Annual Report,,Principle 3
20,,GRI 3: Material Topics,,,,,
21,,Disclosures on material topics,3-1,Process to determine material topics,Annual Report,Refer to notes below (for each material topic),
22,,,,,Environmental Management Approach,Refer to notes below (for each material topic),
23,,,,,Social Management Approach,Refer to notes below (for each material topic),
24,,,,,Governance Management Approach,Refer to notes below (for each material topic),
25,,,3-2,List of material topics,Annual Report,,
26,,,3-3,Management of material topics,Annual Report,,
27,,MATERIAL TOPIC,CODE,DISCLOSURE,,,
28,,GRI 200: Economic,,,,,
29,,201 Economic Performance,201-1,Direct economic value generated and distributed,Annual Report,,
30,,,,,Community Investment,,
31,,202 Market Presence,202-2,Proportion of senior management hired from the local community,Annual Report,,
32,,203 Indirect Economic Impacts,203-1,Infrastructure investments and services supported,Giving & Volunteering,,
33,,,,,Community Investment,,
34,,,,,Community Investment,,
35,,204 Procurement Practices,204-1,Proportion of spending on local suppliers,Social Management Approach (Supply Chain Engagement),.,
36,,205 Anti-corruption,205-1,Operations assessed for risks related to corruption,Social Management Approach (Human Rights),,Principle 10
37,,206 Anti-competitive behavior,206-1,"Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices",,"No legal actions for anti-competitive behaviour, anti-trust, or monopoly practices in FY22.",
38,,GRI 300: Environment,,,,,
39,,302 Energy,302-1,Energy consumption within the organisation,Energy Consumption,,Principle 7\nPrinciple 8
40,,303 Water and Effluents,303-3,Water withdrawal by source,Environmental Management Approach (Water Management and Quality),,Principle 7\nPrinciple 8
41,,304 Biodiversity,304-1,"Operational sites owned, leased, managed in, or adjacent to protected areas and areas of high biodiversity value outside protected areas",Biodiversity,,Principle 7\nPrinciple 8
42,,305 Emissions,305-1,Direct (Scope 1) GHG emissions,Emissions,,Principle 7\nPrinciple 8
43,,,305-2,Energy indirect (Scope 2) GHG emissions,,,
44,,,305-3,Other indirect (Scope 3) GHG emissions,,,
45,,306 Effluents and Waste,306-2,Waste by type and disposal method,Waste,,Principle 7\nPrinciple 8
46,,308 Supplier Environmental Assessment,308-1,New suppliers that were screened using environmental criteria,Social Management Approach (Supply Chain Engagement),,Principle 7\nPrinciple 8
47,,GRI 400: Social,,,,,
48,,401 Employment,401-1,New employee hires and employee turnover,Our Workforce,,Principle 6
49,,,,,Employee Engagement,,
50,,402 Labor/Management Relations,402-1,Minimum notice periods regarding operational changes,Social Management Approach (People & Culture),,Principle 3
51,,403 Occupational Health and Safety,403-2,"Types of injury and rates of injury, occupational diseases, lost days, absenteeism, and number of work-related fatalities",Health and Safety,,
52,,404 Training and Education,404-1,Average hours of training per year per employee,Human Capital Development,,
53,,405 Diversity and Equal Opportunity,405-1,Diversity of governance bodies and employees,Diversity and Inclusion,,Principle 6
54,,406 Non-discrimination,406-1,Incidents of discrimination and corrective actions taken,,"There were no incidents of discrimination reported in our code of conduct breaches, grievances or through our whistleblower channels in FY22.",
55,,407 Freedom of Association and Collective Bargaining,407-1,Operations and suppliers in which the right to freedom of association and collective bargaining may be a risk,Annual Report,,Principle 3
56,,408 Child Labor,408-1,Operations and suppliers at significant risk for incidents of child labour,Social Management Approach (Supply Chain Engagement),,Principle 1\nPrinciple 2\nPrinciple 5
57,,409 Forced or Compulsory Labor,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labour,Social Management Approach (Supply Chain Engagement),,Principle 1\nPrinciple 2\nPrinciple 4
58,,410 Security Practices,410-1,Security personnel trained in human rights policies or procedures,Social Management Approach (Human Rights),,Principle 1\nPrinciple 2\nPrinciple 4
59,,411 Rights of Indigenous Peoples,411-1,Incidents of violations involving rights of indigenous peoples,,"There were no incidents of violations involving rights of indigenous peoples reported in our code of conduct breaches, grievances or through our whistleblower channels in FY22.",Principle 1\nPrinciple 2
60,,412 Human Rights Assessment,412-1,Operations that have been subject to human rights reviews or impact assessments,Social Management Approach (Supply Chain Engagement),,Principle 1\nPrinciple 2
61,,,412-2,Employee training on human rights policies or procedures,Social Management Approach (Human Rights),,Principle 1\nPrinciple 2
62,,413 Local Communities,413-1,"Operations with local community engagement, impact assessment, and development programs",Social Management Approach (Community),,
64,,414 Supplier Social Assessment,414-1,New suppliers that were screened using social criteria,Social Management Approach (Supply Chain Engagement),,
66,,415 Public Policy,415-1,Political contributions,Governance Management Approach (Stakeholder Engagement),,
67,,416 Customer Health and Safety,416-1,Assessment of the health and safety impacts of product and service categories,"Social Management Approach (Health, Safety and Wellbeing)",,
69,,417 Marketing and Labeling,417-2,Incidents of non-compliance concerning product and service information and labelling,,No incidents of non-compliance with regulations and voluntary codes concerning product and service information and labelling in FY22.,
70,,,417-3,Incidents of non-compliance concerning marketing communications,,No incidents of non-compliance concerning marketing communications in FY22.,
71,,418 Customer Privacy,418-1,Substantiated complaints concerning breaches of customer privacy and losses of customer data,Annual Report,,
