H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,HEALTH AND SAFETY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Health and Safety,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,FY2314,FY22,FY21,FY20,FY19,,,,,,,,,,,,
,Total average workforce1,1635,1838,1616,1619,1680,,,,,,,,,,,,
,Total hours worked (million),3.09,3.43,2.97,2.96,3.08,,,,,,,,,,,,
,"Number of lost time injuries (LTI)2,3",5,9,11 13,10,12 4,,,,,,,,,,,,
,Lost time injury frequency rate (LTIFR)5,1.6,2.6,3.7 13,3.4,3.9,,,,,,,,,,,,
,Number of injuries requiring medical treatment (MTI)6,11,11,10,14,17,,,,,,,,,,,,
,Medical treatment injury frequency rate (MTIFR)7,3.6,3.2,3.4,4.7,5.5,,,,,,,,,,,,
,Frequency rate (LTI and MTI)8,5.2,5.8,6.7,8.1,9.4,,,,,,,,,,,,
,Occupational diseases instances,0,0,0,0,0,,,,,,,,,,,,
,Fatalities,0,0,0,0,0,,,,,,,,,,,,
,Lost days9,252,357,297 13,289,157 10,,,,,,,,,,,,
,Average lost day rate 11,50.2,8.1,19.4 13,20.9,5.3,,,,,,,,,,,,
,Development contractor LTIFR 12,6.2,9.9,4.5,2.2,6.7,,,,,,,,,,,,
,Development contractor fatalities,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1. Total average workforce uses monthly employee totals rather than the end of financial year figure used in other People metrics.,,,,,,,,,,,,,,,,,
,2. Includes injuries incurred as a result of a work related incident. Does not include commuting/recess injuries.,,,,,,,,,,,,,,,,,
,3. An injury resulting in the loss of one or more shifts. Not including injuries requiring first aid treatment only.,,,,,,,,,,,,,,,,,
,4. FY19 figure adjusted from 10 to 12.,,,,,,,,,,,,,,,,,
,"5. Number of LTIs / total hours worked in the Financial Year x 1,000,000.",,,,,,,,,,,,,,,,,
,"6. An injury resulting in the injured person receiving further treatment from a medical practitioner i.e. GP, physio, hospitalisation etc. Not including lost time injuries. ",,,,,,,,,,,,,,,,,
,"7. Number of MTIs / total hours worked in the Financial Year x 1,000,000.",,,,,,,,,,,,,,,,,
,"8. Number of LTIs + MTIs / total hours worked in the Financial Year x 1,000,000.",,,,,,,,,,,,,,,,,
,9. Lost days recorded in the year irrespective of the year the injury occurred.,,,,,,,,,,,,,,,,,
,10. Adjusted to include lost days attributed to a longstanding injury from a previous financial year.,,,,,,,,,,,,,,,,,
,"11. Number of Lost Days / number of respective LTIs reported in the Financial Year. Does not include lost days accruing from LTIs of previous years. For calulation and reporting purposes, lost days are capped at 12 months, in line with Australian Standard - Workplace injury and disease recording (AS 1885.1).",,,,,,,,,,,,,,,,,
,12. Development is defined as greenfield/brownfield construction of new buildings and substantial structural works in existing buildings. Mainly where we have engaged a head/main contractor to manage the project and other contractors/sub-contractors. Stockland relies on information provided by contractors on development sites in order to report Development Contractor LTIFR performance.,,,,,,,,,,,,,,,,,
,"13. FY21 figures adjusted to include a psychological injury accepted as compensable in FY22, but related to circumstances beginning FY21.",,,,,,,,,,,,,,,,,
,14. FY23 data includes Retirement Living data up to its divestment at 29 July 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Breakdown by region and gender,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,FY231,,FY22,,FY21,,FY20,,FY19,,,,,,,,
,Region,LTIs,Lost Days2,LTIs,Lost days3,LTIs,Lost days5,LTIs,Lost days,LTIs,Lost days7,,,,,,,
,New South Wales,2,124,5,38,1,5,6,106,5,24,,,,,,,
,ACT,0,0,0,0,0,3 6,1,54,0,0,,,,,,,
,Queensland,1,118,3,135,4 4,115 4,1,2,1,1,,,,,,,
,Victoria,0,0,0,158,4,92,0,0,1,19,,,,,,,
,Western Australia,1,8,1,26,0,8 6,1,54,1,94,,,,,,,
,South Australia,1,2,0,0,2,74,1,73,4,19,,,,,,,
,,,,,,,,,,,,,,,,,,
,Gender,LTIs,Lost days2,LTIs,Lost days,LTIs,Lost days5,LTIs,Lost days,LTIs,Lost days7,,,,,,,
,Male,4,150,7,182,9 4,143 4,8,214,9,41,,,,,,,
,Female,1,102,2,175,2,154,2,75,3,116,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1. FY23 data includes Retirement Living data up to its divestment at 29 July 2023,,,,,,,,,,,,,,,,,
,2. FY23 metrics include 1 lost day related to a lost time injury reported in prior years but continued to lose time in FY23,,,,,,,,,,,,,,,,,
,3. FY22 metrics include 285 lost days related to two lost time injuries reported in prior years but continued to lose time in FY22.,,,,,,,,,,,,,,,,,
,"4. FY21 figures adjusted to include a psychological injury accepted as compensable in FY22, but related to circumstances beginning FY21.",,,,,,,,,,,,,,,,,
,5. FY21 metrics include 84 lost days related to four lost time injuries reported in prior years but continued to lose time in FY21.,,,,,,,,,,,,,,,,,
,"6. Related to footnote (5), lost time injuries occurring in previous Financial Years were the sole source of lost days in ACT and WA in FY21.",,,,,,,,,,,,,,,,,
,7. FY19 metrics include 15 lost days related to one lost time injury (longstanding) reported in prior years but continued to lose time in FY19.,,,,,,,,,,,,,,,,,
