Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,,HEALTH AND SAFETY,,,,,,,,,,,,,,,,,,,,,,,
2,,Health and Safety,,,,,,,,,,,,,,,,,,,,,,,
4,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,
5,,Total average workforce1,1635,1838,1616,1619,1680,,,,,,,,,,,,,,,,,,
6,,Total hours worked (million),3.09,3.43,2.97,2.96,3.08,,,,,,,,,,,,,,,,,,
7,,"Number of lost time injuries (LTI) 2,3",5,9,11 13,10,12 4,,,,,,,,,,,,,,,,,,
8,,Lost time injury frequency rate (LTIFR)5,1.6 14,2.6,3.7 13,3.4,3.9,,,,,,,,,,,,,,,,,,
9,,Number of injuries requiring medical treatment (MTI)6,11,11,10,14,17,,,,,,,,,,,,,,,,,,
10,,Medical treatment injury frequency rate (MTIFR)7,3.6 14,3.2,3.4,4.7,5.5,,,,,,,,,,,,,,,,,,
11,,Frequency rate (LTI and MTI)8,5.2 14,5.8,6.7,8.1,9.4,,,,,,,,,,,,,,,,,,
12,,Occupational diseases instances,0,0,0,0,0,,,,,,,,,,,,,,,,,,
13,,Fatalities,0,0,0,0,0,,,,,,,,,,,,,,,,,,
14,,Lost days9,252 14,357,297 13,289,157 10,,,,,,,,,,,,,,,,,,
15,,Average lost day rate 11,50.2,8.1,19.4 13,20.9,5.3,,,,,,,,,,,,,,,,,,
16,,Development contractor LTIFR 12,6.2 14,9.9,4.5,2.2,6.7,,,,,,,,,,,,,,,,,,
17,,Development contractor fatalities,0,0,0,0,0,,,,,,,,,,,,,,,,,,
19,,1. Total average workforce uses monthly employee totals rather than the end of financial year figure used in other People metrics.,,,,,,,,,,,,,,,,,,,,,,,
20,,2. Includes injuries incurred as a result of a work related incident. Does not include commuting/recess injuries.,,,,,,,,,,,,,,,,,,,,,,,
