H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operational waste (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Town Centres,,,,,,,,Workplace,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,FY18,FY171,FY16,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,,,,,,,,
,Total waste,13240,10895.57,12977.67,14367,17265,17577,17351,17895,347.44,307,341.6,531,1007,1043,1193,1182,,,,,,,,,,,
,Total waste to landfill,7994,6560.59,8130.1,9212,10768,11730,11969,10858,74.11,91,69,339,712,661,739,680,,,,,,,,,,,
,Total waste recycled,5246,4334.98,4847.57,5155,6497,5846,5382,7038,273.33,216,273,192,295,383,454,502,,,,,,,,,,,
,Diversion from landfill (%),0.3962235649546828,0.39786628877608055,0.3735316123772603,0.35880838031600193,0.38,0.33,0.31,0.39,0.7866969836518535,0.7035830618892508,0.7991803278688524,0.3615819209039548,0.29,0.37,0.38,0.42,,,,,,,,,,,
,% portfolio reporting1,0.83,0.92,0.87,0.97,0.97,0.97,0.95,0.95,0.63,0.71,0.59,0.7,0.85,0.85,0.85,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. In FY22 % portfolio reporting has decreased due the divestment of assets and subsequent increase in the significance of assets we do have operational control over but have Council waste managmenet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Communities development waste (tonnes) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY222,FY21,FY20,FY19,FY18,FY17,FY16,,,,,,,,,,,,,,,,,,,
,Total waste,25702,15976.58,40036.54,49566.74,41093,19625,41237,35424,,,,,,,,,,,,,,,,,,,
,Waste diverted from landfill,24219,14085.82,39072.67,48632.88,40430,18441,39923,33881,,,,,,,,,,,,,,,,,,,
,Waste sent to landfill,1483,1890.7599999999998,963.87,933.86,663,1184,1314,1542,,,,,,,,,,,,,,,,,,,
,Diversion from landfill (%),0.9423002101003813,0.88165427143982,0.98,0.98,0.98,0.94,0.97,0.96,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Communities development waste includes contractor and operational control waste generated from LLC and MPC activities,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Diversion rate fell in FY22 due to integration of Halcyon Constructions Queensland Pty Ltd, which achieved a diversion rate of 27%. Our Residential masterplanned communities civil contracts achieved a diversion rate of 96%.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commercial properties development waste (tonnes) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,,,,
,Total waste (tonnes),3572.76,124787.591,5406.49,,,,,,,,,,,,,,,,,,,,,,,,
,Waste diverted from landfill,3310.83,124356.655,4773.48,,,,,,,,,,,,,,,,,,,,,,,,
,Waste sent to landfill,261.93,430.936,633.02,,,,,,,,,,,,,,,,,,,,,,,,
,Diversion from landfill (%),0.9266869311120813,0.9965466438085178,0.882916642775627,,,,,,,,,,,,,,,,,,,,,,,,
