Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3
86,Climate change response,,,
87,GRI 3: Material Topics 2021,3-3 Management of material topics,FY23 Climate-related Disclosure Report,
88,,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
89,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,"FY23 Climate-related Disclosure Report, pages 23-25, 29-30",
90,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
91,,305-2 Energy indirect (Scope 2) GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
92,,305-3 Other indirect (Scope 3) GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
93,,305-4 GHG emissions intensity,"FY23 Climate-related Disclosure Report, page 34",
94,,305-5 Reduction of GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
95,Natural hazard resilience,,,
96,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Natural Hazard Resilience",
97,,,"Natural hazard resilience and insurance affordability, Annual Report 2022-23, page 25",
98,,,"Our operating environment, Annual Report 2022-23, pages 18-19",
99,,,"FY23 Climate-related Disclosure Report, pages 23-24",
100,,,"Group financial performance, Annual Report 2022-23, page 38",
101,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,"Our customers, Annual Report 2022-23, pages 24-25",
102,,,"Our community, Annual Report 2022-23, page 30",
103,,,"FY23 Climate-related Disclosure Report, pages 26-27",
104,Customer experience,,,
105,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Customer Experience",
106,,,"Our customers, Annual Report 2022-23, pages 24-26",
107,,,"Customer remediation and complaints, Annual Report 2022-23, page 167",
108,,,"Customer, FY23 Sustainability Data Pack",
109,,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
110,Trust and transparency,,,
111,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Trust and Transparency",
112,,,Suncorp's Code of Conduct,
113,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,"Consolidated statement of comprehensive income, Annual Report 2022-23, page 98",
114,,201-3 Defined benefit plan obligations and other retirement plans,"Remuneration Report, Annual Report 2022-23, pages 73, 159-163",
115,GRI 205: Anti-Corruption 2016,205-1 Operations assessed for risks related to corruption,"Anti-Bribery & Corruption Policy, page 1",
116,,205-2 Communication and training about anti-corruption policies and procedures,Anti-Bribery & Corruption Policy,
117,,205-3 Confirmed incidents of corruption and actions taken,Anti-Bribery & Corruption Policy,
118,,,"People, Code of Conduct, FY23 Sustainability Data Pack",
119,GRI 206: Anti-competitive Behaviour 2016,"206-1 Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices","People, Code of Conduct, FY23 Sustainability Data Pack",
120,GRI 207: Tax 2019,207-1 Approach to tax,"2022 Tax Transparency Report, pages 4-6",
121,,"207-2 Tax governance, control, and risk management","2022 Tax Transparency Report, page 6",
122,,207-3 Stakeholder engagement and management of concerns related to tax,"2022 Tax Transparency Report, pages 7-9",
123,,207-4 Country-by-country reporting,"2022 Tax Transparency Report, page 12",
124,GRI 415: Public Policy 2016,415-1 Political contributions,"Political engagement, Annual Report 2022-23, page 51",
125,,,Suncorp Group Political Engagement Policy,
126,Data privacy and security,,,
127,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Data Privacy and Security",
128,,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
129,,,Suncorp Group Privacy Policy,
130,,,Suncorp Privacy Management Policy,
131,Workforce planning and retention,,,
132,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our operating environment, Annual Report 2022-23, pages 18-19",
133,,,"Our people, Annual Report 2022-23, pages 27-29",
134,,,"People, Learning and Development, FY23 Sustainability Data Pack",
135,,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
136,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,"People, Safety and wellbeing, FY23 Sustainability Data Pack",
137,,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Notes to the consolidated financial statements, Annual Report 2022-23, page 159",
138,,401-3 Parental leave,"Creating an environment for people to thrive, Annual Report 2022-23, page 28",
139,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,"People, Learning and Development, FY23 Sustainability Data Pack",
140,,404-2 Programs for upgrading employee skills and transition assistance programs,"Our people, Annual Report 2022-23, page 27",
141,Purposeful and responsible business,,,
142,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Purposeful and Responsible Business",
143,,,Sustainable Insurance Policy,
144,,,Responsible Investment Policy,
145,,,"Value Chain, Responsible Investment, FY23 Sustainability Data Pack",
146,GRI G4 Sector Supplement,FS11 Percentage of assets subject to positive and negative environmental or social screening,"Value Chain, Responsible Investment, FY23 Sustainability Data Pack",
147,Workforce wellbeing,,,
148,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Workforce wellbeing",
149,,,"Our people, Annual Report 2022-23, pages 27-28",
150,,,Safety and Wellbeing Policy,
151,,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
152,GRI 403: Occupational Health and Safety 2016,403-1 Occupational health and safety management system,"Safety and Wellbeing Policy, page 1",
153,,"403-2 Hazard identification, risk assessment, and incident investigation",Safety and Wellbeing Policy,
154,,"403-4 Worker participation, consultation, and communication on occupational health and safety","Safety and Wellbeing Policy, pages 2-3",
155,,403-5 Worker training on occupational health and safety,Safety and Wellbeing Policy,
156,,,Suncorp's Code of Conduct,
157,,403-6 Promotion of worker health,Safety and Wellbeing Policy,
158,,,"Supporting our peopleÃ¢ÂÂs wellbeing, Annual Report 2022-23, page 28",
159,,403-9 Work-related injuries,"People, Safety and Wellbeing, 2022-23 Sustainability Data Pack",
160,Sustainable supply chain,,,
161,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Supply Chain",
162,,,"Our operating environment, Annual Report 2022-23, pages 18-19",
163,,,"Working towards a sustainable supply chain, Annual Report 2022-23, page 31",
164,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,"Value Chain, Suppliers, FY23 Sustainability Data Pack",
