Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Employees,Measurement,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,Full-time equivalent (FTE) employees1,(#),13377,14149,13505,13562,13040,,,,,,,,,
,Total employee headcount2,(#),13624,14589,14125,14069,13440,,,,,,,,,
,Full-time headcount2,(#),10585,10772,10662,10518,10375,,,,,,,,,
,Part-time headcount2,(#),2280,2508,2806,2522,2440,,,,,,,,,
,Casual headcount2,(#),38,63,48,43,29,,,,,,,,,
,Maximum-term contractor headcount2,(#),721,1246,608,986,596,,,,,,,,,
,Employees covered by collective bargaining agreements3,(%),99.6,99.6,99.6,99.6,99.6,,,,,,,,,
,,,,,,,,,,,,,,,,
,Safety and wellbeing,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,"Employee engagement4,5",(#),8.3,8.3,8,*,*,,,,,,,,,
,Employee-initiated turnover,(%),18.5,21.2,15.5,12.6,14.2,,,,,,,,,
,Absenteeism rate6,(#),8.97,8.2,7,7.2,7.5,,,,,,,,,
,Lost-time injury frequency rate,(#),1.1,0.7,1,1.2,1.3,,,,,,,,,
,Fatalities7,(#),0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,
,Code of Conduct,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,Code of Conduct breaches8,(#),232,209,216,239,–,,,,,,,,,
,,,,,,,,,,,,,,,,
,Whistleblower reporting,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,Total number of reports to the Suncorp Whistleblower Service9,(#),40,22,–,–,–,,,,,,,,,
,Total number of disclosures under the Whistleblower Policy10,(#),22,13,–,–,–,,,,,,,,,
,,,,,,,,,,,,,,,,
,Diversity and inclusion,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,Women on the Board5,(%),30,30,33,40,50,,,,,,,,,
,"Women in senior leadership roles5,11",(%),47.7,46.1,43.3,44.2,46.5,,,,,,,,,
,Women in leadership roles11,(%),53.8,53.7,52.1,50.8,50.8,,,,,,,,,
,Employees with Disability12,(%),6.4,1.6,–,2.8,2.7,,,,,,,,,
,Employees aged 55 years or over5,(%),13.7,12.5,12.5,11.9,11.4,,,,,,,,,
,First Nations employees (Australia)13,(%),1.7,1.8,1.3,1.2,1.1,,,,,,,,,
,Indigenous employees (New Zealand)14,(%),3.5,Commenced disclosure in current reporting period,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Learning and development,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,Code of Conduct training completion rate5,(%),99,99,99,99,99,,,,,,,,,
,Formal learning and development,($/FTE),1644,1588,1681,1616,1663,,,,,,,,,
,,,,,,,,,,,,,,,,
,Talent attraction and retention,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,
,High performer retention15,(%),93,90,92,93,92,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1. Includes external contractors,,,,,,,,,,,,,,,
,2. Headcount figures exclude external contractors,,,,,,,,,,,,,,,
,3. Excludes New Zealand,,,,,,,,,,,,,,,
,"4. Employee engagement is measured by Workday Peakon Employee Voice, a product of Workday, an independent company and a separate entity to Suncorp, and is scored out of 10.0",,,,,,,,,,,,,,,
,5. FY23 figure subject to limited independent assurance by KPMG. Please refer to the limited assurance opinion included on the Suncorp Group website,,,,,,,,,,,,,,,
,6. Unplanned absence days for permanent employees/average headcount,,,,,,,,,,,,,,,
,7. Work-related fatalities exclude external contractors,,,,,,,,,,,,,,,
,8. That resulted in formal consequences,,,,,,,,,,,,,,,
,"9. The total number of reports to the Suncorp Whistleblower Service includes reports which were either: (a) assessed as Disclosures under the Whistleblower Policy and investigated; (b) assessed as not meeting the criteria of Reportable Conduct within the Whistleblower Policy and redirected to other channels if appropriate, including Personal Work-Related Grievances; (c) not able to be progressed due to insufficient information provided; or (d) in triage at the time of the data extract",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"10. A Disclosure is a report to the Suncorp Whistleblower Service which the Whistleblower Protection Officer determines will be managed under the Whistleblower Policy on the basis that, amongst other things, the allegations contained in the report are considered by the Whistleblower Protection Officer to constitute Reportable Conduct ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,11. Historical data restated to one decimal place,,,,,,,,,,,,,,,
,12. Data is provided annually on a voluntary basis and disclosure response rates vary across diversity groups; it includes employees across Australia and Aotearoa (New Zealand),,,,,,,,,,,,,,,
,"13. Data is provided annually on a voluntary basis and disclosure response rates vary across diversity groups. First Nations data refers to employees who are Aboriginal, Torres Strait Islander or Aboriginal & Torres Strait Islander",,,,,,,,,,,,,,,
,14. Data is provided annually on a voluntary basis and disclosure response rates vary across diversity groups. Indigenous data refers to Māori and Pasifika employees,,,,,,,,,,,,,,,
,15. High performer retention rate has been updated to align to new performance rating categories launched through FY22,,,,,,,,,,,,,,,
,* Results using previous methodology can be viewed in previous reports,,,,,,,,,,,,,,,
,̶  Previous data not publicly disclosed,,,,,,,,,,,,,,,
