Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
7,,"Suppliers1,2",Measurement,FY23,FY22,FY21,FY20,FY19,,,,,,
8,,Total spend with suppliers (includes claims)3,($m),3913,3629,3428,3690,3537,,,,,,
9,,"Spend with suppliers >$500K (includes claims) 3,4",($m),3370,3128,2951,3149,2975,,,,,,
10,,Number of suppliers with spend >$500K4,(#),737,682,652,734,745,,,,,,
11,,Number of contracted suppliers5,(#),1276,1273,1407,1387,1348,,,,,,
12,,"Payments to small business suppliers within 30 days1,6,7",(%),94.7,Commenced disclosure in current reporting period,,,,,,,,,
13,,Acceptance of Supplier Code of Practice,,,,,,,,,,,,
14,,New suppliers onboarded,(%),98,99,100,98,100,,,,,,
15,,Acceptance of Supplier Code of Practice for suppliers with spend >$500K4,(%),100,100,100,100,100,,,,,,
17,,Responsible investment,,FY23,FY22,FY21,FY20,FY19,,,,,,
18,,Responsible Investment Policy coverage8,(% total AUM),97,98,98,91,90,,,,,,
19,,Compliance with Responsible Investment Policy exclusions9,(# excluded positions held),0,0,0,0,0,,,,,,
20,,,($m excluded positions held),0,0,0,0,0,,,,,,
21,,Assets managed by UNPRI signatories,(% total AUM),99,99,99,99,97,,,,,,
22,,Social impact investment7,($m),3,3,3,2,1,,,,,,
23,,"Low carbon investment7,10",($m),484,378,321,236,310,,,,,,
24,,Social and low carbon impact investments7,(% of total shareholders' funds),5.6,6,6.6,6.7,-,,,,,,
25,,Proxies voted,(%),99.7,99.3,99.5,99.4,99,,,,,,
27,,1. Excludes New Zealand,,,,,,,,,,,,
28,,2. Excludes Joint Ventures,,,,,,,,,,,,
29,,"3. Excludes taxes, fees, levies, reinsurance, debt recovery and government regulated services",,,,,,,,,,,,
30,,4. Suppliers with spend >$500K referred to as material suppliers in previous reports,,,,,,,,,,,,
31,,"5. Where Suncorp holds a current, duly executed contract",,,,,,,,,,,,
32,,6. Calculated with 12 months of reporting ending December 2022. Only includes those entities that are eligible to be included in Payment Times Reporting and have been reported to the regulator. Excludes non-trade credit arrangements and calculated as per the regulator's guidelines. Small business defined by Payment Times Reporting Scheme as a business that has an annual turnover of <$10M,,,,,,,,,,,,
34,,7. FY23 figure subject to limited independent assurance by KPMG. Please refer to the assurance opinion included on the Suncorp Group website,,,,,,,,,,,,
35,,"8. Investments not covered under SuncorpÃ¢ÂÂs Responsible Investment Policy includes unlisted infrastructure (Morrison, TIF Gardior, Palisade Renewable Funds, JP Morgan Infrastructure) and unlisted property (Dexus, Synergis, Barwon, Charter Hall)",,,,,,,,,,,,
36,,"9. Compliance on the Exclusion List is monitored by NAS (Custodian) on a daily basis. NAS has confirmed there were no reportable breaches relating to environment, social and governane (ESG) restrictions for FY23",,,,,,,,,,,,
37,,10. Based on Global Investor Coalition definition,,,,,,,,,,,,
38,,ÃÂ¶ Previous data not publicly disclosed,,,,,,,,,,,,
