Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sustainability Report 2023,,,,,,,,,,,,
,Customer Wellbeing,,,,,,,,,,,,
,,,,,,,,,,,,,
,For further details on the sustainability metrics reported within this Data Pack please refer to our 2023 Sustainability Report. Independent assurance has been provided over selected sustainability metrics (in grey) for the 2023 reporting period. For sustainability metrics definitions please refer to the Metric Definitions tab.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Customer subscriptions (000's),,,,,,,,,,,,
,,,,,,,,,,,,,
,CATEGORY,2021,2022,2023,,,,,,,,,
,Total mobile,"4,981","5,281","5,456",,,,,,,,,
,Total fixed broadband,"2,222","2,218","2,1275",,,,,,,,,
,Total subscriptions,"7,203","7,499","7,583",,,,,,,,,
,Notes: ,,,,,,,,,,,,
,"5 - Due to the expected closure of the ADSL service in early 2024, approximately 8,000 ADSL subscribers were removed from 2023 base",,,,,,,,,,,,
,,,,,,,,,,,,,
,Telecommunication Industry Ombudsman complaints6,,,,,,,,,,,,
,,,,,,,,,,,,,
,CATEGORY,2021,,,,2022,,,,20236,,,
,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
,Vodafone,3,2.8,2.3,2.4,2.7,2.5,2.4,2.5,2.7,2.2,2,2.2
,TPG,4,3.6,3.1,2.9,4.3,3.4,2.6,2.8,2.5,2,1.7,2.4
,iiNet,5.8,4.9,4.4,3.8,5.1,3.9,3.3,3.9,3.9,3.3,3,3.3
,All participants,6.9,5.3,4.8,4.1,4.8,3.9,3.6,3.8,3.7,3,2.6,3.1
,Notes: ,,,,,,,,,,,,
,"6 - Complaints handled by the Telecommunications Industry Ombudsman per 10,000 services in operation.",,,,,,,,,,,,
