Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2,,Sustainability Report 2023,,,,,
3,,Environmental Responsibility,,,,,
5,,For further details on the sustainability metrics reported within this Data Pack please refer to our 2023 Sustainability Report. Independent assurance has been provided over selected sustainability metrics (in grey) for the 2023 reporting period. For sustainability metrics definitions please refer to the Metric Definitions tab.,,,,,
9,,Energy consumption (TJ) and greenhouse gas emissions (ktCO2e),,,,,
11,,CATEGORY,2021.0,2022.0,2023.0,Percentage of total emissions (2023),
12,,Total energy consumed,1237.0,1290.5,1342.0,,
13,,Scope 1 emissions,4.8,2.8,2.8,0.002,
14,,Scope 2 emissions - location based,254.8,265.7,234.1,,
15,,Scope 2 emissions - market based,224.4,224.8,226.0,0.154,
16,,Scope 1+2 emissions - location based,259.6,268.5,236.9,,
17,,Scope 1+2 emissions - market based,229.2,227.6,228.8,0.155,
18,,Purchased goods and services and capital goods,1059.7,1037.7,938.2,0.641,
19,,Use of sold products,209.2,373.1,248.5,0.17,
20,,Fuel- and energy-related activities,25.1,30.8,28.8,0.02,
21,,Upstream transportation and distribution,11.2,11.6,3.2,0.002,
22,,Upstream leased assets,9.1,4.6,4.0,0.003,
23,,Downstream transportation and distribution,6.0,7.1,7.2,0.005,
24,,Waste generated in operations,4.7,4.8,2.4,0.002,
25,,Employee commuting,1.4,1.5,1.5,0.001,
26,,End-of-life treatment of sold products,1.1,1.8,0.4,0,
27,,Business travel,0.4,0.8,1.0,0.001,
28,,Scope 3 emissions1,1327.9,1473.8,1235.2,0.844,
29,,Total emissions,1557.1,1701.4,1464.0,1,
30,,Notes:,,,,,
31,,"1 - These GHG Protocol categories are not applicable to TPG Telecom Limited: 10: Processing of sold products, 13: Downstream leased assets, 14: Franchises and 15: Investments.",,,,,
33,,Electricity consumption - Australia (GWh),,,,,
35,,CATEGORY,2021.0,2022.0,2023.0,,
36,,Total electricity consumed,322.6,345.7,360.2,,
37,,Renewable electricity2,,,,,
38,,National renewable energy target,56.6,61.3,64.7,,
39,,Jurisdictional renewable energy target,17.3,16.8,17.8,,
40,,Total renewable electricity,73.9,78.1,82.5,,
41,,Total renewable electricity (as a percentage of total electricity consumed),0.229076,0.225918,0.2290394,,
42,,Notes:,,,,,
43,,2 - Reported based on the methodologies and guidance set out within the Corporate Emissions Reduction Transparency (CERT) report Guidelines FY2022-23 and CY2023,,,,,
45,,Greenhouse gas (GHG) emissions reduction targets3,,,,,
47,,NEAR-TERM TARGET,,,,,
48,,"We commit to reduce absolute scope 1 and 2 GHG emissions 95% by 2030, from a 2021 base year",,,,,
49,,"We commit to reduce scope 3 GHG emissions 30% by 20230, from a 2021 base year",,,,,
50,,LONG-TERM TARGET,,,,,
51,,"We commit to maintaining at least 95% absolute scope 1 and 2 GHG emissions reductions from 2030 through 2050, from a 2021 base year",,,,,
52,,"We commit to reduce scope 3 GHG emissions 90% by 2050, from a 2021 base year",,,,,
53,,OVERALL NET-ZERO TARGET,,,,,
54,,We commit to reach net-zero GHG emissions across our value chain by 2050,,,,,
55,,Notes:,,,,,
56,,"3 - Our targets have been set in-line with the Science Based Target Initiative requirements. This includes the following coverage and temperature scenarios:\n - Near-term targets: 100% of Scope 1 & 2 emissions sources, aligned with the 1.5ÃÂ°C scenario and 67% of Scope 3 sources, aligned with the well-below 2ÃÂ°C scenario. \n Scope 3 sources include the categories of purchased goods and services, use of sold products, fuel and energy related activities and upstream leased assets.\n - Long-term targets: 90% of total Scope 1, 2 & 3 emissions, aligned with the 1.5ÃÂ°C scenario.",,,,,
60,,Trees donated,,,,,
62,,CATEGORY,2021.0,2022.0,2023.0,,
63,,Number of trees donated since launch (cumulative),188079.0,656599.0,1476453.0,,
65,,Corporate offices waste (tonnes),,,,,
67,,CATEGORY,2021.0,2022.0,2023.0,,
68,,General waste,5.6,10.6,16.7,,
69,,Co-mingled,0.9,0.9,2.3,,
70,,Organic,0.2,0.04,0.5,,
71,,Paper,4.7,2.0,2.5,,
72,,Batteries,0.01,0.3,0.0,,
73,,Total,11.7,13.8,22.0,,
74,,Percentage recycled (%),0.496,0.213,0.241,,
76,,e-waste collection by MobileMuster4 (kg),,,,,
78,,CATEGORY,2021.0,2022.0,2023.0,,
79,,TPG Telecom - all brands,13055.0,17329.1,7581.0,,
80,,Notes:,,,,,
81,,4 - Source: MobileMuster,,,,,
