Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sustainability Report 2023,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Environmental responsibility,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
,Operational control,"TPG Telecom Limited is deemed to have operational control over operations or facilities where TPG Telecom Limited has the authority to introduce and implement any or all of the following in relation to the operation or facility:
   • operating policies;
   • health and safety policies; and
   • environmental policies.
Where both TPG Telecom Limited and another party or parties (together, the relevant parties) have the ability to introduce and implement any or all of the policies above in relation to the operation or facility, TPG Telecom Limited is deemed to have operational control where this has been formally agreed by the relevant parties.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Total energy consumed,"Total energy consumed by operations and facilities (across Australia, Philippines and Guam) considered to be under the operational control of TPG Telecom Limited. Energy sources include purchased electricity, transport fuel (petrol and diesel) and stationary fuel (diesel) or any other energy commodity, consistent with the definition of energy within Section 7 of the National Greenhouse and Energy Reporting Act 2007 (NGER Act)). Reported energy is based on measured consumption data, sourced from metering records or third-party invoices, wherever possible. Where metered or invoiced data is not available, estimates are used based on prior actual consumption or similar facility type.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Australian electricity consumption: Total electricity consumed,"Total electricity consumed by Australian operations and facilities considered to be under the operational control of TPG Telecom Limited with energy source consisting of purchased electricity, heating, cooling or steam. Reported electricity is based on measured consumption data, sourced from metering records or third-party invoices, wherever possible. Where metered or invoiced data is not available, estimates are used based on prior actual consumption or similar facility type. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Australian electricity consumption: Total renewable electricity,"Total renewable electricity consumed by operations and facilities across Australia considered to be under the operational control of TPG Telecom Limited. 
Total renewable electricity is calculated using the approaches set out within the most recently published Corporate Emissions Reduction Transparency (CERT) report Guidelines published by the Clean Energy Regulator as at the end of the reporting period. 
Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
