Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
179,,Telecommunication Industry Ombudsman complaints,Number of complaints handled by the Telecommunications Industry Ombudsman (TIO) during the relevant quarter of the reporting period for each of the Selected TPG Telecom retail service providers. Complaints include those as referenced in the latest TIO Terms of Reference.,,,,,,,,,,,,,,,,
181,,Selected TPG Telecom retail service providers,"Ã¢ÂÂ¢ Vodafone: Vodafone Australia Limited, felix, Lebara, Lebara Mobile, Kogan Mobile and Kogan Internet.\nÃ¢ÂÂ¢ TPG: TPG Internet Pty Ltd.\nÃ¢ÂÂ¢ iiNet: iiNet Pty Ltd. \n",,,,,,,,,,,,,,,,
184,,Services in operation,The total number of the following services provided by the Selected TPG Telecom retail service providers:\n Ã¢ÂÂ¢ mobile (including mobile broadband);\n Ã¢ÂÂ¢ internet/broadband and fixed voice (over broadband); and \n Ã¢ÂÂ¢ fixed voice (traditional telephone service - non-internet-based landlines).,,,,,,,,,,,,,,,,
189,,Inclusion and belonging,,,,,,,,,,,,,,,,,
191,,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
192,,Women percentage of employees (Australia),"Number of Australian female employees (full-time, part-time, or casual) as a percentage of total number of Australian employees as at the end of the reporting period.",,,,,,,,,,,,,,,,
194,,Strategic Leadership Team (Australia),"The Australian Strategic Leadership Team are those Australian employees within the hierarchy levels of grades 2 to 4 comprising Group Executive, Executive General Manager, General Manager and Department Heads positions.",,,,,,,,,,,,,,,,
196,,Women percentage in Strategic Leadership Team (Australia),Number of females in the Australian Strategic Leadership Team as a percentage of the total number of the Australian Strategic Leadership Team as at the end of the reporting period.,,,,,,,,,,,,,,,,
198,,STEM positions (Australia),"STEM positions of Australian employees (full-time, part-time, or casual) consist of technical roles in the areas of strategic technology, technology operations, technology engineering, field engineering, data science and analytics, architecture and system design, information security and program management.",,,,,,,,,,,,,,,,
201,,Women percentage in STEM positions (Australia),Number of Australian female employees in STEM positions as a percentage of total number of all Australian employees in STEM positions as at the end of the reporting period.,,,,,,,,,,,,,,,,
203,,Gender pay equity (Australia),"The gender pay equity, expressed as a percentage for the reporting period, represents the difference between how women and men are paid relative to the market reference for their roles and is calculated as the difference between the average position in range (PIR) for males and the average PIR for females at an organisation level. The PIR is the ratio of an individualÃ¢ÂÂs full-time equivalent base salary over the midpoint of an external benchmark salary for the individualÃ¢ÂÂs role. A negative figure notes that the average PIR for females is higher than that of males. Excludes casual employees.",,,,,,,,,,,,,,,,
208,,Digital economy,,,,,,,,,,,,,,,,,
210,,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
211,,5G-enabled sites,Number of network sites enabled with 5G technology (achieving in service notification milestone) as at the end of the reporting period.,,,,,,,,,,,,,,,,
213,,Acronyms,,,,,,,,,,,,,,,,,
215,,ACRONYM,DEFINITION,,,,,,,,,,,,,,,,
216,,BEIS,"Department for Business, Energy & Industrial Strategy (United Kingdom)",,,,,,,,,,,,,,,,
217,,CEDA,Comprehensive Environmental Data Archive (International),,,,,,,,,,,,,,,,
218,,CER,Clean Energy Regulator (Australia),,,,,,,,,,,,,,,,
219,,CERT,Corporate Emissions Reduction Transparency,,,,,,,,,,,,,,,,
220,,CHSBI,Cornell Hotel Sustainability Benchmarking Index (International),,,,,,,,,,,,,,,,
221,,DCCEEW,"Department of Climate Change, Energy, the Environment and Water (Australia)",,,,,,,,,,,,,,,,
222,,IEA,International Energy Agency,,,,,,,,,,,,,,,,
223,,IELab,Industrial Ecology Virtual Laboratory,,,,,,,,,,,,,,,,
224,,JRPP,Jurisdictional Renewable Power Percentage,,,,,,,,,,,,,,,,
225,,LCA,Life Cycle Assessment,,,,,,,,,,,,,,,,
226,,NABERS,National Australian Built Environment Rating System,,,,,,,,,,,,,,,,
227,,NGA,National Greenhouse Accounts (Australia),,,,,,,,,,,,,,,,
228,,NGER,National Greenhouse and Energy Reporting (Australia),,,,,,,,,,,,,,,,
229,,OEM,Original Equipment Manufacturer,,,,,,,,,,,,,,,,
230,,RPP,Renewable Power Percentage,,,,,,,,,,,,,,,,
