Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2,,Sustainability Report 2023,,,,,
3,,Responsible Business Practices,,,,,
5,,For further details on the sustainability metrics reported within this Data Pack please refer to our 2023 Sustainability Report. Independent assurance has been provided over selected sustainability metrics (in grey) for the 2023 reporting period. For sustainability metrics definitions please refer to the Metric Definitions tab.,,,,,
9,,Work health and safety metrics,,,,,
11,,CATEGORY,2021.0,2022.0,2023.0,,
12,,Total recordable injury frequency rate (TRIFR),2.72,3.39,1.86,,
13,,Lost time injury frequency rate (LTIFR),1.27,2.75,1.44,,
14,,Fatalities,0.0,0.0,0.0,,
16,,Employee training hours16 - Australia,,,,,
18,,CATEGORY,2021.0,2022.0,2023.0,,
19,,Office (Corporate),5.5,8.3,11.0,,
20,,Contact Centre (Hobart),7.6,8.5,39.0,,
21,,Vodafone Retail,54.9,34.1,32.0,,
22,,Notes:,,,,,
23,,16 - Average number of hours by headcount,,,,,
25,,Employee engagement,,,,,
27,,CATEGORY,20211.0,2022.0,2023.0,,
28,,Spirit Survey - First survey of the year,,,,,
29,,Engagement score,0.68,0.71,0.73,,
30,,Values Alignment Index,0.72,0.78,0.78,,
31,,Spirit Survey - Second survey of the year,,,,,
32,,Engagement score,0.71,0.72,0.74,,
33,,Values Alignment Index,0.76,0.79,0.77,,
