Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Count and Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FY23,FY23 TARGET,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Executive management (Bands A, B and C)",,0.385,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,People management (excluding Executive Management): ,,0.34,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telstra Group Total ,,0.352,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GENERAL WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Workforce profile1,,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,GRI Standards 2-8,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,% change FY22 - FY23,,,,,,,,,,,,,,,,,,,,,,,
,Telstra Group - Direct Headcount 2,30779,29143,27393,not reported,not reported,0.056136979720687645,,,,,,,,,,,,,,,,,,,,,,,
,Telstra Group - Indirect Headcount 3,21347,26126,29722,37294,46135,-0.18292122789558293,,,,,,,,,,,,,,,,,,,,,,,
,Telstra Group - Full time equivalent (FTE) 4,31761,28889,27015,28959,29769,0.09941500224999135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. The Telstra Group (Telstra) refers to Telstra Group and its owned and controlled entities. This includes, but is not limited to, Telstra Limited, Telstra InfraCo, Amplitel and Telstra International. Information regarding the controlled entities in the Telstra Group can be found on our website at telstra.com.au/aboutus/investors/financial-information/financial-results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
