Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
143,,Female,0.23,0.2,0.3,0.9123379144343505,0.7795794725588026,,,,,,,,,,,,,,,,,,,,,,,,
144,,Another option,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
145,,Not self-disclosed 2,0,<0.1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
146,,Fixed term part time,0.08,0.1,0.1,<0.1,0.11136849607982895,,,,,,,,,,,,,,,,,,,,,,,,
147,,Male,0.03,<0.1,<0.1,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,
148,,Female,0.05,<0.1,<0.1,0.06211662396148769,0.06682109764789737,,,,,,,,,,,,,,,,,,,,,,,,
149,,Another option,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
150,,Not self-disclosed 2,0,<0.1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
151,,Casual,3.23,3.4,2.2,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
152,,Male,1.85,1.9,1.1,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
153,,Female,1.37,1.5,1.1,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
154,,Another option,0.01,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
155,,Not self-disclosed 2,0,<0.1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
156,,Contingent Worker 3,6.4,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
157,,Male,3.5,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
158,,Female,2.87,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
159,,Another option,0.03,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
160,,Not self-disclosed 2,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
162,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,"2. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
