Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Targets1,,,,,,,,,,,,,,
,,,FY23,,,,,,,,,,,,
,Climate Change,,,,,,,,,,,,,,
,Reduce our absolute emissions by at least 50% by 2030:,,,,,,,,,,,,,,
,● Scope 1 & 2,,-0.30301510901088546,,,,,,,,,,,,
,● Scope 3,,-0.28287849036381224,,,,,,,,,,,,
,Enable renewable energy generation equivalent to 100% of our consumption by 2025,,0.3008,,,,,,,,,,,,
,Carbon neutral in our operations from 2020,,achieved,,,,,,,,,,,,
,Circular Economy,,,,,,,,,,,,,,
,"Reuse or recycle 500,000 mobile phones, modems and other devices each year to 2025",,632919.3886902432,,,,,,,,,,,,
,Ensure 100% of Telstra branded packaging is made of renewable or recycled material and is fully recyclable by 2022,,achieved,,,,,,,,,,,,
,Increase our network waste recycling rate to 85% by 2025,,0.7931477278846655,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Notes: ,,,,,,,,,,,,,,
,"1 - The Digicel Pacific acquisition (which closed in FY23) has been excluded from Telstra’s targets, climate change and circular economy data in FY23 given the challenges in compiling timely and quality environment data that aligns to the GHG Protocol. A detailed program of work has been launched to align environment data processes and controls with the aim to quantitatively disclose the Digicel Pacific impact in our FY24 reporting.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CLIMATE CHANGE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 1,,,,,,,,,,,,,,
,Telstra Group scope 1 and 2 greenhouse gas emissions reduced1,,,,,,,,,,,,,,
,Tonnes of carbon dioxide equivalent (tCO2e),,,,,,,GRI Standards: 305-1 & 305-2,,,,,,,
,,FY23 ,FY22,FY21,FY20,FY19,"% change 
FY19-23","% change 
FY22-23",,,,,,,
,Total emissions (scope 1 & 2) tCO2e2,910607.4523350167,1123879.4883793946,1163669.2822619507,1247050.0392518968,1306495.2542123878,-0.30301510901088546,-0.18976415020431658,,,,,,,
,Australia,887190.1774774804,1077235.7859339844,1110879.22445229,1180531.1972992774,1237451.7424092996,-0.2830506862836245,-0.17641969468339824,,,,,,,
,International,23417.274857536315,46643.70244541021,52790.05780965826,66518.8419526193,69043.51180308832,-0.6608330856008274,-0.49795420110693633,,,,,,,
,Scope 1 emissions (tCO2e),30737.55182522649,31868.913534025276,33085.43798146156,36904.75535944833,47203.559411676804,-0.34882978723797464,-0.035500479412041264,,,,,,,
,Australia,30466.69969118598,31555.389448172456,32554.441937741616,36380.976833988025,46665.15110085545,-0.34712094630660106,-0.034500913347134454,,,,,,,
,International2,270.8521340405092,313.5240858528191,530.9960437199469,523.7785254603057,538.4083108213496,-0.4969391656913311,-0.1361042220926587,,,,,,,
,Scope 2 emissions (tCO2e),879869.9005097902,1092010.5748453694,1130583.844280489,1210145.2838924485,1259291.694800711,-0.30129778180659417,-0.1942661355322669,,,,,,,
