Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,GRI Index,,,,,,
,"Statement of use
",Transurban Limited has reported the information cited in this GRI content index for the period 1 July 2022 - 30 June 2023 with reference to the GRI Standards.,,,,,
,GRI 1 used,GRI 1: Foundation 2021,,,,,
,,,,,,,
,GRI STANDARD ,,DISCLOSURE ,LOCATION  OR RESPONSE,,,
,"GRI 2: General Disclosures 2021





























































",,2-1 Organizational details,"Transurban Holdings Limited (ACN 098 143 429) (""THL""), Transurban International Limited (ACN 121 746 825) (""TIL"") and Transurban Infrastructure Management Limited (ACN 098 147 678; AFSL 246 585) as the responsible entity of Transurban Holding Trust (""THT"") (together, ""Transurban""). Transurban operates under a stapled structure and our triple-stapled securities trade on the Australian Securities Exchange (ASX) under the code ""TCL"". Each of our stapled securities comprise a share in THL, a unit in THT and a share in TIL and trade as a single security on the ASX and cannot be traded separately. THL, THT and TIL are governed by boards that have common membership and are managed by the same senior management team.

Headquarters located at: Tower Five, Collins Square, 727 Collins Street, Docklands, Victoria 3008 Australia

We have operations in Australia, Canada and the United States of America.",,,
,,,2-2 Entities included in the organization’s sustainability reporting,FY23 Corporate Report/Financial Statements and see FY23 Corporate Report/Directors Report,,,
,,,"2-3 Reporting period, frequency and contact point","FY23 (1 July 2022 to 30 June 2023), Transurban reports annually with a financial year ending 30 June, Publication date 16 August 2023, for questions contact corporate@transurban.com
FY23 Corporate Report/Key contacts (back inside cover)",,,
,,,2-4 Restatements of information,FY23 Sustainability Data Pack - restatements will be called out in the footnotes and any required clarifications made in the body of the relevant sections of the body of the FY23 Corporate Report. ,,,
,,,2-5 External assurance,FY23 Corporate Report/Assurance statement ,,,
,,,"2-6 Activities, value chain and other business relationships", FY23 Corporate Report/Business Strategy and referenced throughout the report. Any material changes will be released in ASX release in accordance with ongoing disclosure requirements.,,,
,,,2-7 Employees,People section in this FY23 Sustainability data pack,,,
,,,2-8 Workers who are not employees,People section in this FY23 Sustainability data pack,,,
,,,2-9 Governance structure and composition,FY23 Corporate Governance Statement ,,,
,,,2-10 Nomination and selection of the highest governance body,FY23 Corporate Governance Statement,,,
,,,2-11 Chair of the highest governance body,FY23 Corporate Governance Statement,,,
,,,2-12 Role of the highest governance body in overseeing the management of impacts,Not reported in FY23,,,
,,,2-13 Delegation of responsibility for managing impacts,Not reported in FY23,,,
,,,2-14 Role of the highest governance body in sustainability reporting,"The Transurban Board (the highest governance body) reviews this reporting information, including our material issues outlined on page 9 of the FY23 Corporate Report. This review is completed as part of our annual corporate reporting review process",,,
,,,2-15 Conflicts of interest,FY23 Corporate Governance Statement,,,
,,,2-16 Communication of critical concerns,"FY23 Corporate Governance Statement
Whistleblower Policy and Whistleblower Service",,,
,,,2-17 Collective knowledge of the highest governance body,"FY23 Corporate Governance Statement
FY23 Corporate Report/Governance and Risk",,,
,,,2-18 Evaluation of the performance of the highest governance body,Not reported in FY23,,,
,,,2-19 Remuneration policies,FY23 Remuneration Report,,,
,,,2-20 Process to determine remuneration,FY23 Remuneration Report,,,
