Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Health & safety ,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Table 32 Unplanned absenteeism, FY19 - FY23",,,,,,,,,,,,
,,FY19,,FY20,,FY21,,FY22,,FY23,,,
,Absentee Rate,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,
,VIC,0.017,0.02,0.016,0.02,0.015,0.022,0.023,0.029,0.022,0.025,,
,NSW,0.015,0.027,0.017,0.018,0.017,0.02,0.029,0.025,0.028,0.033,,
,QLD,0.024,0.024,0.027,0.03,0.028,0.028,0.028,0.034,0.032,0.032,,
,,0.009,0.012,0.011,0.016,0.011,0.019,0.014,0.023,0.017,0.018,,
,"Notes:
Based on total hours scheduled to work and unplanned hours worked. Excludes casual workers as they are not entitled to personal leave.
Unplanned absenteeism includes sick leave (paid and unpaid), carer’s leave (paid and unpaid) and bereavement/compassionate leave.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"Table 33 HSE Performance measures, FY19 - FY23",,,,,,,,,,,,
,,,,,,,,,,,,,
,,FY19,,FY20,,FY21,,FY22,,FY23,,,
,,,,,,,,,,,,,
,Employee Recordable injuries,2,,2,,2,,0,,0,,,
,Contractor Recordable Injury Frequency Rate (RIFR),3.66,,3.6,,3.75,,3.09,,2.77,,,
,HSE Action plan completion (employees),0.97,,0.97,,0.98,,0.99,,0.99,,,
,Total HSE observations recorded,20025,,18484,,25434,,25522,,26918,,,
,"Notes:
One employee injury reported in FY21 end of year reports was adjusted to two, as a previously reported employee first aid injury (which occurred in March 2021) was upgraded to a recordable injury (in November 2021).",,,,,,,,,,,,
,,,,,,,,,,,,,
,Table 34 Road Injury Crash Index (RICI) FY19 - FY23,,,,,,,,,,,,
,,,,,,,,,,,,,
,,FY19,,FY20,,FY21,,FY22,,FY23,,,
,,Actual,Target,Actual,Target,Actual,Target,Actual,Target,Actual,Target,,
,RICI,4.67,3.92,3.7,4.25,4.29,4.5,3.78,4.25,4.3,4.15,,
,"Notes:
Adjustments can be made year on year following assurance on Vehicle Kilometres Travelled (VKT) and updated crash statistics. ",,,,,,,,,,,,
