Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Remuneration, leave & training",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 25 Utilisation of formal flexible working arrangements ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,,,,,,,,,,,,,,,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,
,,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,,,,,,,,,,,,,,,,
,Manager,1,23,24,2,20,22,5,22,27,3,30,33,4,40,44,,,,,,,,,,,,,,,,
,Non-manager,8,81,89,10,83,93,11,87,98,18,91,109,22,91,113,,,,,,,,,,,,,,,,
,Total,9,104,113,12,103,115,16,109,125,21,121,142,26,131,157,,,,,,,,,,,,,,,,
,"Notes:
Formal flexible working arrangement is defined as full-time employee working compressed hours or a part-time employee.
Manager: includes seniority levels: Senior Executive, Senior Management / Specialist Leader, Middle Management / Specialist Partner and Manager / Specialist with direct reports.
Non Manager: includes seniority levels: Manager / Specialist with no direct reports, Team Leader/Advisor and Entry Level /Support.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 26 Return to work and retention rates after parental leave by gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,,,,,,,,,,,
,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,,,,,,,,,,
,Number of employees entitled to parental leave,695,492,794,453,896,592,1027,805,1058,885,,,,,,,,,,,,,,,,,,,,,
,Number of employees that took parental leave,48,52,49,43,75,48,76,51,81,55,,,,,,,,,,,,,,,,,,,,,
,Number of employees who returned to work after parental leave,47,49,51,27,69,42,69,44,73,38,,,,,,,,,,,,,,,,,,,,,
,Number of employees who returned to work after parental leave and were still employed 12 months after their return to work,32,19,46,41,45,22,52,33,33,36,,,,,,,,,,,,,,,,,,,,,
,Return to work rate,0.98,0.94,1,0.87,0.99,0.98,0.95,0.83,0.973,0.844,,,,,,,,,,,,,,,,,,,,,
