Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
43,,,Male,Female,Average,Male,Female,Average,Male,Female,Average,Male,Female,Average,Male,Female,Average,,,,,,,,,,,,,,,,
44,,CEO,43,,43,26,0,26,18,0,18,72,0,72,1.583333,0,1.583333,,,,,,,,,,,,,,,,
45,,Executive Management (exc. CEO),40,43,41,23,22,23,20,20,20,73,66,69,1.383333,1.3166664000000001,1.3499997000000001,,,,,,,,,,,,,,,,
46,,Senior management / Specialist Leader,34,29,32,10,11,10,17,15,16,53,83,68,5.268363888888889,6.560732900000002,5.818308148936172,,,,,,,,,,,,,,,,
47,,Middle Management / Specialist Partner,6,11,8,6,9,7,7,9,8,27,14,20,12.17444845038169,10.960403420382162,11.719543749403346,,,,,,,,,,,,,,,,
48,,Manager / Specialist,7,8,7,5,6,5,4,6,5,9,9,9,5.2609268605263075,6.791996046692623,5.878642372056516,,,,,,,,,,,,,,,,
49,,Team leader / Advisor,7,9,8,6,5,6,4,4,4,9,9,9,6,6.189925187500018,5.6022610805970325,,,,,,,,,,,,,,,,
50,,Entry Level / support,7,6,6,7,7,7,3,4,4,8,10,9,4.982306374429238,4.925511122270756,4.942243080178188,,,,,,,,,,,,,,,,
51,,"Notes:\nAll training hours exclude any independent/individual/MSA contractors and casuals as not all are required to complete training.\nTraining data only includes mandatory compliance learning, centrally delivered leadership programs and LinkedIn learning data. It does not include any learning that is undertaking at the individual, team, or business unit levels.\nSignificant decrease between FY22 and FY23 training hours can be attributed to some courses only running bi-annually and the senior leadership program not being run in FY23.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,"Table 29 Ratio of the basic salary of women to men for each employee category, by significant locations of operation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,BASIC SALARY,FY19,,,,,FY20,,,,,FY21,,,,,FY22,,,,,FY23,,,,,,,,,,
56,,,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,,,,,,
57,,CEO,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,,,,,,
58,,Executive Management (exc. CEO),44:56,45:55,100:0,100:0,,43:57,45:55,100:0,100:0,,57:43,42:58,100:0,100:0,0:0,57:43,45:55,100:0,100:0,0:0,55:45,45:55,100:0,52:48,0:0,,,,,,
59,,Senior management / Specialist Leader,47:53,46:54,0:100,42:58,,47:53,40:60,0:100,41:59,,49:51,44:56,46:54,43:57,0:100,49:51,51:49,46:54,51:49,0:100,50:50,50:50,49:51,49:51,0:100,,,,,,
60,,Middle Management / Specialist Partner,49:51,45:55,48:52,51:49,,49:51,49:51,47:53,48:52,,50:50,49:51,49:51,48:52,41:59,51:49,49:51,50:50,49:51,46:54,52:48,50:50,49:51,49:51,46:54,,,,,,
61,,Manager / Specialist,49:51,48:52,46:54,48:52,,48:52,47:53,47:53,48:52,,50:50,49:51,49:51,47:53,41:59,49:51,50:50,50:50,48:52,42:58,50:50,50:50,50:50,48:52,46:54,,,,,,
62,,Team leader / Advisor,49:51,45:55,47:53,46:54,,48:52,46:54,48:52,47:53,,49:51,47:53,48:52,46:54,46:54,49:51,48:52,49:51,48:52,46:54,49:51,47:53,49:51,50:50,46:54,,,,,,
63,,Entry Level / support,47:53,40:60,43:57,52:48,,48:52,42:58,44:56,51:49,,49:51,44:56,44:56,53:47,100:0,50:50,44:56,45:55,53:47,100:0,50:50,45:55,44:56,49:51,100:0,,,,,,
65,,"Table 30 Ratio of the remuneration of women to men for each employee category, by significant locations of operation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,REMUNERATION,FY19,,,,,FY20,,,,,FY21,,,,,FY22,,,,,FY23,,,,,,,,,,
68,,,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,,,,,,
69,,CEO,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,,,,,,
70,,Executive Management (exc. CEO),44:56,46:54,100:0,100:0,,43:57,45:55,100:0,100:0,,57:43,43:57,100:0,100:0,0:0,56:44,46:54,100:0,100:0,0:0,55:45,46:54,100:0,62:38,0:0,,,,,,
71,,Senior management / Specialist Leader,46:54,46:54,0:100,42:58,,46:54,36:64,0:100,43:57,,48:52,43:57,48:52,46:54,0:100,47:53,53:47,45:55,51:49,0:100,50:50,51:49,48:52,49:51,0:100,,,,,,
72,,Middle Management / Specialist Partner,49:51,44:56,47:53,53::47,,49:51,48:52,46:54,48:52,,49:51,49:51,48:52,48:52,40:60,51:49,48:52,50:50,49:51,45:55,51:49,50:50,49:51,49:51,45:55,,,,,,
73,,Manager / Specialist,49:51,48:52,46:54,48:52,,48:52,47:53,47:53,48:52,,50:50,49:51,49:51,47:53,41:59,49:51,50:50,50:50,48:52,43:57,50:50,50:50,50:50,48:52,46:54,,,,,,
74,,Team leader / Advisor,49:51,45:55,46:54,46:54,,47:53,45:55,47:53,47:53,,49:51,47:53,48:52,46:54,46:54,49:51,47:53,49:51,48:52,46:54,49:51,47:53,49:51,50:50,46:54,,,,,,
