Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Acknowledgment of country,,,,,,,,
,"Transurban acknowledges the Traditional Owners of the lands across Australia and we pay respect to Elders past, present and emerging. 

As caretakers and custodians of transportation in urban communities we have a deep respect for First Nations communities and culture and seek to celebrate pride in Country through engagement with, and providing opportunities for, Aboriginal and Torres Strait Islander peoples. We also celebrate connection to Country through artwork and design elements in our infrastructure. 

To achieve our purpose – to strengthen communities through transport – we will continue to foster positive and sustainable relationships with all communities, while progressing our efforts to contribute to Australia’s reconciliation journey. ",,,,,,,,
,,,,,,,,,
,Summary,,,,,,,,
,"This Sustainability Data Pack should be read in conjunction with our FY23 Corporate Reporting suite. These documents are guided by the International Integrated Reporting Framework (IIRF) . They are prepared with reference to the GRI and SASB standards. 

Selected data within this data pack has been assured by KPMG. For the full selection of metrics that have been assured please see the KPMG limited assurance opinion located within the FY23 Corporate Report, pages 223-225.

Our approach to environmental reporting includes assets and projects under our operational control where we can directly manage environmental performance ie. operational control as defined by the NGER Act (2007). This scope is the best reflection of our annual performance and ability to set scope 1 and 2 group-wide targets. Transurban scope 1 and 2 group totals exclude major projects which are under the control of construction contractors, and assets in which Transurban has an equity interest but not direct management control ('non-controlled'). Emissions related to these activities are included in relevant scope 3 categories and targets.

Table 1 shows the assets and projects included our reporting boundary, with footnotes describing changes in reporting scope for FY23.",,,,,,,,
,,,,,,,,,
,Table 1: Transurban (assets and projects) reporting scope for FY23,,,,,,,,
,,,,,,,,,
,Assets                                                  ,Operational Control,Ownership ,,,,,,
,Victoria                  ,,,,,,,,
,Citylink                                        ,Yes,1,,,,,,
,New South Wales                   ,,,,,,,,
,M2                                                       ,Yes,1,,,,,,
,Lane Cove Tunnel          ,Yes,1,,,,,,
,Eastern Distributor                                ,Yes,0.751,,,,,,
,Cross City Tunnel                                                      ,Yes,1,,,,,,
,M5 West                                                                                                           ,Yes,1,,,,,,
,M4                                                       ,Yes,0.5,,,,,,
,M5 East                                                                                    ,Yes,0.5,,,,,,
,M4-M8 link                                                                                                                  ,Yes,0.5,,,,,,
,NorthConnex                                       ,Yes,0.5,,,,,,
,M8                                     ,Yes,0.5,,,,,,
,M7                                                        ,No,0.5,,,,,,
,Queensland               ,,,,,,,,
,Gateway Motorway              ,Yes,0.625,,,,,,
,Logan Motorway                                                                                                         ,Yes,0.625,,,,,,
,Go Between Bridge                              ,Yes,0.625,,,,,,
,Legacy Way                                             ,Yes,0.625,,,,,,
,AirportlinkM7                                       ,Yes,0.625,,,,,,
,Clem 7                                                     ,Yes,0.625,,,,,,
,USA            ,,,,,,,,
,95 Express Lanes                                                                                                          Yes,Yes,0.5,,,,,,
,495 Express Lanes                                                                                                     Yes,Yes,0.5,,,,,,
,395 Express Lanes                                                                                        ,Yes,0.5,,,,,,
,Canada         ,,,,,,,,
,A25                                                                                                                       ,Yes,0.5,,,,,,
,,,,,,,,,
,Projects                                                      ,,,,,,,,
