Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
3,,Waste and recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Table 7 Waste total (assets and offices),,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Unit,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,
8,,Total waste generated,tonnes,20869,3309.616612121212,3813.3436207783484,3752.890274646985,13343.90268,,,,,,,,,,,,,,,,,,,,,
9,,Landfill,tonnes,1550,1867.4976121212117,1728.818102755616,1984.7059795112375,6801.9024,,,,,,,,,,,,,,,,,,,,,
10,,General and inert,tonnes,,1867.4976121212117,1727.9389921502639,1979.6899967009292,1230.648,,,,,,,,,,,,,,,,,,,,,
11,,Spoil,tonnes,,-,0.8791106053521823,5.015982810308315,3849.39192,,,,,,,,,,,,,,,,,,,,,
12,,Prescribed and liquid,tonnes,,,,,1721.86248,,,,,,,,,,,,,,,,,,,,,
13,,Recycled (waste diverted from landfill),tonnes,19319,1442.119,2084.5255180227323,1768.184295135747,6542.000279999998,,,,,,,,,,,,,,,,,,,,,
14,,General and inert,tonnes,,1433.8917999999999,2059.6771526736075,1389.0308843482749,5352.759119999999,,,,,,,,,,,,,,,,,,,,,
15,,Spoil,tonnes,,8.2272,24.848365349124716,379.1534107874721,11.172120000000003,,,,,,,,,,,,,,,,,,,,,
16,,Prescribed and liquid,tonnes,,,,,1178.0690399999999,,,,,,,,,,,,,,,,,,,,,
17,,Notes:\nTransurban waste data total includes operational and maintenance asset waste and corporate/office waste\nWaste category breakdowns not available for FY19.,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Table 8 Waste data by asset,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,Controlled assets,,,,,,,,,,,,,,,,,,,,,,Non-controlled assets,,,
21,,FY23 WASTE,Unit,CityLink,M2,Lane Cove Tunnel,Eastern Distributor,Cross City Tunnel,M5 West,NorthConnex,M4,M5 East,M8,M4-M8 Link2,AirportlinkM7,Gateway Motorway,Logan Motorway,Go Between Bridge,Clem7,Legacy Way,395 Express Lanes,495 Express Lanes,95 Express Lanes,A25,Total,M7,,,
22,,Total waste,tonnes,240.15576000000001,114.81216,15.885360000000002,994.917,16.713600000000003,117.74028,206.06472000000002,202.66212,675.3102,810.162,,133.73796000000002,2655.1389600000007,6300.617879999999,1.7484,69.27192000000001,308.49168,46.200239999999994,49.08024,162.36960000000005,4.1975999999999996,13125.277679999997,300.948,,,
23,,Landfill - general and inert,tonnes,8.290799999999999,27.8964,2.797440000000001,9.4128,15.438000000000002,56.35392000000001,39.324,19.284599999999998,9.57036,8.678040000000001,,109.31316,276.05292,187.20660000000004,1.7484,35.791920000000005,47.26248000000001,46.200239999999994,49.08024,162.36960000000005,4.1975999999999996,1116.2695199999998,35.7924,,,
24,,Landfill - spoil,tonnes,0,0,0,0,0,0,0,0,0.7465200000000001,1.4447999999999999,,0,2316.00036,1531.2002400000001,0,0,0,0,0,0,0,3849.39192,0,,,
25,,Landfill - prescribed and liquid,tonnes,20.520000000000003,0.028800000000000003,0,0,0,0.0228,127.87200000000003,17.7816,556.0401600000001,676.2528,,0.1068,28.707960000000003,17.340719999999997,0,23.304000000000002,249.11999999999998,0,0,0,0,1717.09764,0,,,
26,,Recycled - general and inert,tonnes,211.34496000000001,86.19576,13.087920000000002,12.009,1.2755999999999998,61.01795999999999,38.868719999999996,119.14152000000001,39.377399999999994,38.76948,,24,33.58655999999999,4564.474679999999,0,1.2720000000000002,12,0,0,0,0,5256.421559999999,265.1556,,,
27,,Recycled - spoil,tonnes,0,0,0,0,0,0,0,0,3.4021200000000005,6.5832000000000015,,0,0.7911600000000001,0.39564,0,0,0,0,0,0,0,11.172120000000003,0,,,
28,,Recycled - prescribed and liquid,tonnes,0,0.6912,0,973.4952000000001,0,0.3456,0,46.45439999999999,66.17364,78.43368000000001,,0.31800000000000006,0,0,0,8.904,0.1092,0,0,0,0,1174.92492,0,,,
29,,Asset general and inert recycled (waste diverted from landfill)1,%,,,,,,,,,,,,,,,,,,,,,,0.8248354571111581,,,,
30,,"Notes:\n1 General inert and recycled % excludes spoil, prescribed and liquid wastes due to the nature of these waste streams, noting prescribed waste has specific disposal requirements based on local regulations.\n2 Separate asset-level waste data unavailable for M4-M8 Link with operational waste allocated to either M4, M8, or M5 East.\nWaste sources on assets may include a wide variety of activities throughout the year from Transurban, operations and maintenance contractors, and subcontractors. In some cases full data from all sources is not available and is estimated or extrapolated based on the amount of hours worked on the asset. \nFY23 figures based on 10 months of waste data as at the time of reporting and extrapolated to provide full year total. \n",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Table 9 Office waste data summary,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,FY23 WASTE,Unit,Corporate and asset offices,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Total waste,tonnes,218.625,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Landfill - general and inert,tonnes,114.37848,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Landfill - prescribed and liquid,tonnes,4.76484,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Recycled - general and inert,tonnes,96.33756,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Recycled - prescribed and liquid,tonnes,3.1441199999999996,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Office general and inert recycled (waste diverted from landfill)3,%,0.4571913936879224,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"Notes:\n3 Office recycled % excludes prescribed and liquid wastes due to the nature of these waste streams, noting prescribed waste has specific disposal requirements based on local regulations.\nOffice waste totals include some actual data and some estimation based on waste audits. Recycled waste for corporate offices include recycled paper, organic waste and co-mingled recyclables. Chifley NSW office waste data has been estimated from the total building waste data, using the NLA (Net Lettable Area) of the Transurban office.",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Table 10 Waste data by Major Project,,,,,,,,,,,,,,,,,,,,,,,,,,,
