PLANET,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
FY23 Sustainability Performance Pack,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Asset level environmental performance, as at 30 June 2023",,,,,,,,,,,,,,,
,,Benchmarking,,,Energy,,GHG Emissions,,,,Water,,Waste,,
Centre name,State,"Green Star
Performance
Star","NABERS Energy Rating
Star","NABERS Water Rating
Star",Absolute consumption (GJ),"Intensity
(MJ/sqm GLA)","Scope 1
(tonnes CO2-e)","Scope 2
(tonnes CO2-e)","Scope 3
(tonnes CO2-e)","Emissions intensity (Scope 1+2)
kg CO2-e/sqm GLA","Absolute consumption
(kilolitres (kL))","Water intensity
(kL/sqm GLA)",Total landfill,Total recycling,Recycling rate
Altona Gate,VIC,4,4.5,4.5,6473,239,56,1413,4490,54,15681,0.58,234,248,0.52
Armidale Central,NSW,3,0,6,4945,338,-,1003,2204,68,4475,0.31,63,79,0.56
Bankstown Central,NSW,4,4.5,4.5,19879,221,-,4031,6741,45,95868,1.07,1079,933,0.46
Bayside ,VIC,4,5,4.5,20281,186,177,4440,12913,42,37330,0.34,692,824,0.54
Box Hill Central (North Precinct),VIC,3,1.5,3.5,7552,469,30,1646,1718,104,11882,0.74,324,140,0.3
Box Hill Central (South Precinct),VIC,3,Exempt,Exempt,14414,540,89,3172,4272,122,62120,2.33,1057,1056,0.5
Broadmeadows Central,VIC,4,4,5,14975,175,-,3536,9055,41,39149,0.46,703,762,0.52
Buranda Village,QLD,3,3,5,3477,298,-,705,1667,60,11285,0.97,161,82,0.34
Carlingford Court,NSW,4,3.5,3,7629,224,-,1547,6041,45,60223,1.76,483,471,0.49
Castle Plaza ,SA,4,5.5,2.5,3147,136,-,219,1572,9,20760,0.9,119,172,0.59
Chadstone,VIC,4,5.5,2.5,84328,311,1740,12439,40296,52,239090,0.88,2471,2480,0.5
Chatswood Chase Sydney,NSW,4,4,3,18983,243,-,3849,8431,49,58229,0.74,511,563,0.52
Colonnades,SA,4,6,4,12968,147,167,676,2963,10,51751,0.59,356,431,0.55
Cranbourne Park,VIC,3,3,4.5,10240,215,-,2418,7716,51,27630,0.58,432,302,0.41
DFO Brisbane,QLD,4,4,5,8969,339,-,1819,2532,69,13713,0.52,261,428,0.62
DFO Essendon,VIC,4,5,5.5,6259,116,-,1478,546,27,11667,0.22,235,332,0.59
DFO Homebush,NSW,4,4.5,4,9895,308,-,2007,3170,63,23740,0.74,383,553,0.59
DFO Moorabbin,VIC,4,4.5,4.5,6529,258,198,633,2517,33,15439,0.61,184,313,0.63
DFO South Wharf,VIC,4,5,3.5,22960,399,103,4948,6597,88,42458,0.74,454,882,0.66
DFO Perth,WA,3,3,3.5,4064,168,12,543,1289,23,19719,0.82,16,483,0.97
DFO Uni Hill,VIC,1,0,5,8631,404,-,2038,1975,95,7559,0.35,217,192,0.47
Dianella Plaza,WA,4,5.5,2.5,806,47,-,114,2573,7,27256,1.57,113,153,0.58
Eastlands,TAS,4,5.5,3.5,4067,119,-,192,1325,6,22420,0.65,246,177,0.42
Elizabeth City Centre,SA,4,5.5,4.5,16082,194,80,1009,3623,13,36777,0.44,507,394,0.44
Ellenbrook Central,WA,4,5.5,4,5955,125,24,776,5602,17,41741,0.87,195,167,0.46
Emporium Melbourne,VIC,3,0,3,33683,728,672,4878,7456,120,63599,1.37,615,607,0.5
Galleria,WA,4,4.5,5.5,16958,166,-,2402,6235,23,69220,0.68,413,368,0.47
Grand Plaza ,QLD,4,4.5,4,11990,218,-,2431,8958,44,69167,1.26,494,292,0.37
Gympie Central,QLD,4,3.5,4.5,4962,342,-,1006,2559,69,10587,0.73,120,133,0.52
Halls Head Central,WA,4,6,4.5,1940,100,3,267,2473,14,8746,0.45,111,83,0.43
Karratha City,QLD,4,4.5,3,5636,235,-,908,5012,38,31809,1.33,159,111,0.41
Kurralta Central,SA,4,6,4,666,61,-,46,653,4,8148,0.75,67,93,0.58
Lake Haven Centre,NSW,4,4,3,7235,165,-,1467,6119,33,32128,0.73,211,347,0.62
Livingston Marketplace,WA,4,6,3,652,42,-,92,2016,6,11750,0.75,87,117,0.57
Maddington Central,WA,4,5,3.5,5127,167,-,726,2998,24,25694,0.84,102,207,0.67
Mandurah Forum,WA,4,4.5,3.5,14903,222,46,1984,6542,30,58331,0.87,466,498,0.52
Midland Gate ,WA,4,4.5,4,19260,272,62,2557,6742,37,50885,0.72,532,593,0.53
Mornington Central,VIC,4,3.5,5,1523,130,-,360,2477,31,7046,0.6,161,70,0.3
Nepean Village,NSW,3,5,2.5,2864,122,-,581,3268,25,25356,1.08,330,366,0.53
Northgate ,TAS,4,5,4.5,1873,92,-,88,536,4,12537,0.62,167,81,0.33
Northland,VIC,4,3.5,4,42485,424,810,6322,15409,71,78333,0.78,1017,643,0.39
