Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Vicinity Sustainability Report 2023,,,,,,,,,,,,,,,,
FY23 Sustainability Performance Pack,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reporting period,,,,,,,,,Base year,,,,,,,
"Vicinity's Sustainability Report has been prepared based on the Australian financial reporting year (1 July 2022 to 30 June 2023), unless otherwise stated. ",,,,,,,,,"For environmental performance data, the financial year 2015-16 (1 July 2015 to 30 June 2016) is considered as our baseline.",,,,,,,
,,,,,,,,,,,,,,,,
Organisational boundary,,,,,,,,,External assurance,,,,,,,
"Performance data and metrics are reported at a Vicinity Group level, unless otherwise stated. Environmental performance data and building sustainability ratings are also presented at an asset level. Vicinity has used an operational control-based approach to report our environmental performance data, which includes all assets under our management control. Our social data covers all retail assets under our operational control as well as the corporate offices we occupy to run our business. ",,,,,,,,,Vicinity has obtained independent limited assurance by EY over some of the indicators reported within this data pack. Access our assurance statement on pages 60 to 61 of the 2023 Sustainability Report on the Vicinity website - vicinity.com.au/sustainability/reporting,,,,,,,
,,,,,,,,,,,,,,,,
Prior year statements,,,,,,,,,Further information,,,,,,,
"Where relevant, prior period figures have been restated when more accurate data becomes available or when there have been material changes to the methodologies for data calculation and estimation.

Historical data in the FY23 pack has been restated to reflect asset ownership as at 30 June 2023. ",,,,,,,,,"Further information about definitions, methodologies and approaches used by Vicinity to prepare its environmental; and social performance data can be found in our FY23 Sustainability Reporting Criteria, available on the Vicinity website - vicinity.com.au/sustainability/reporting",,,,,,,
