Unnamed: 0,PEOPLE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,FY23 Sustainability Performance Pack,,,,,,,,,,,,,,,,,,,,,,
3,GRI 102-7 - Our workforce statistics,,,,,,,,,,,,,,,,,,,,,,
4,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
5,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Total,,,,,
6,Total workforce,519,766,519,788,531,781,557,798,515,777,482,753,504,762,507,799,1306,,,,,
7,By employment type,,,,,,,,,,,,,,,,,,,,,,
8,Full-time,459,516,472,516,506,551,525,563,481,528,443,523,454,523,452,550,1002,,,,,
9,Part-time,15,146,15,173,25,230,32,235,34,249,39,230,50,239,55,249,304,,,,,
10,Permanent,474,662,487,689,499,699,525,720,485,698,445,650,451,654,447,689,1136,,,,,
11,Fixed-term contractors,36,61,20,56,23,38,24,38,16,22,18,42,23,41,24,37,61,,,,,
12,Casual,9,43,12,43,9,44,8,40,14,57,19,61,30,67,36,73,109,,,,,
13,By state,,,,,,,,,,,,,,,,,,,,,,
14,ACT,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,,,,
15,NSW,67,113,74,115,70,119,74,109,60,111,55,111,50,111,47,126,173,,,,,
16,QLD,57,101,58,91,60,83,58,85,49,68,45,62,40,55,48,60,108,,,,,
17,SA,23,24,24,27,21,27,26,30,26,30,20,26,19,29,17,30,47,,,,,
18,TAS,7,12,6,12,6,11,6,12,6,11,6,10,4,10,4,9,13,,,,,
19,VIC,298,428,295,456,316,456,333,475,318,481,307,476,343,491,346,507,853,,,,,
20,WA,56,77,62,87,58,85,60,87,56,76,49,68,48,66,45,67,112,,,,,
21,Employees by age,,,,,,,,,,,,,,,,,,,,,,
22,Under 30,-,-,-,-,59,114,66,137,57,124,59,116,62,117,64,119,183,,,,,
23,30-50,-,-,-,-,322,497,351,484,323,476,292,444,298,447,309,484,793,,,,,
24,Over 50,-,-,-,-,150,170,140,177,135,177,131,193,144,198,134,196,330,,,,,
27,Employees by region (FY23),,,,,,,,,,,,,,,,,,,,,,
28,,ACT,NSW,QLD,SA,TAS,VIC,WA,Total,,,,,,,,,,,,,,
29,Total workforce,-,173,108,47,13,853,112,1306,,,,,,,,,,,,,,
30,Employees by employment type,,,,,,,,,,,,,,,,,,,,,,
31,Full-time,-,126,73,37,8,661,97,1002,,,,,,,,,,,,,,
32,Part-time,-,47,35,10,5,192,15,304,,,,,,,,,,,,,,
33,Employees by contract type,,,,,,,,,,,,,,,,,,,,,,
34,Permanent,-,144,93,42,12,737,108,1136,,,,,,,,,,,,,,
35,Temporary employees (fixed-term),-,5,5,-,-,47,4,61,,,,,,,,,,,,,,
36,Non-guaranteed hours employees (casual),-,24,10,5,1,69,-,109,,,,,,,,,,,,,,
37,Total,-,173,108,47,13,853,112,1306,,,,,,,,,,,,,,
40,GRI 401-1 - New hires1,,,,,,,,,,,,,,,,,,,,,,
41,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
