PLACE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
FY23 Sustainability Performance Pack,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Non-GRI - Vicinity's portfolio sustainability performance ratings,,,,,,,,,
,,"FY16
(baseline)",FY17,FY18,FY19,FY20,FY21,FY22,FY23
Green Star Performance¹,Rating,2 Star,3 Star,3 Star,4 Star,4 Star,4 Star,4 Star,4 Star
,Assessment,Average Practice,Good Practice,Good Practice,Australian Best Practice,Australian Best Practice,Australian Best Practice,Australian Best Practice,Australian Best Practice
,Coverage,1,1,1,1,1,1,1,1
"NABERS Energy2,3",Rating,3.4 Star,3.7 Star,3.6 Star,3.8 Star,3.9 Star,4.4 Star,4.6 Star,4.6 Star
,Coverage,0.56,0.44,0.85,0.76,0.86,0.91,1,0.99
"NABERS Water2,3",Rating,2.9 Star,3.2 Star,3.1 Star,3.3 Star,3.4 Star,3.4 Star,4 Star,3.9 Star
,Coverage,0.5,0.44,0.82,0.76,0.86,0.91,1,0.99
"1. Managed Portfolio.
2. NABERS Sustainable Portfolio Index 2022, based on Vicinity’s ownership interest and 2021 rating as at December 2021
with 100% portfolio coverage",,,,,,,,,
"2. NABERS Sustainable Portfolio Index 2023, based on Vicinity's ownership interest and rating as at 31 December 2022 with 99% portfolio coverage.",,,,,,,,,
"3.  For asset level Green Star and NABERS ratings, go to 'Asset environmental data' tab.
",,,,,,,,,
