Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,CUSTOMERS,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,NUMBER OF CUSTOMERS AND ACCOUNTS,,2023.0,2022.0,2021,,,,,,
,Total customers (millions)1,,12.99,12.7,13.9,,,,,,
,Digitally active customers (millions)2,,5.8,5.48,5.24,,,,,,
,Number of debit card accounts (millions)3,,6273.0,5678.0,5398,,,,,,
,Number of credit card accounts (millions)4,,1812.0,1835.712,1929.292,,,,,,
,Number of ATMs,,1412.0,1637.0,1868,,,,,,
,Australia5,,879.0,1071.0,1270,,,,,,
,New Zealand,,413.0,439.0,464,,,,,,
,Pacific,,120.0,127.0,134,,,,,,
,Number of branches,,786.0,877.0,997,,,,,,
,Australia6,,644.0,732.0,851,,,,,,
,New Zealand,,112.0,115.0,116,,,,,,
,Pacific,,30.0,30.0,30,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of total customers. The variance over the last two years has been due to business exits.,,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of digitally active customers ,,,,,,,,,,
,"3. Refer to this link in the 'Glossary' for the definition of number of debit card accounts. In FY23, we aligned our approach for debit or pre-paid account identification across our brands. Prior periods have not been restated as this change did not result in a material difference.",,,,,,,,,,
,4. Refer to this link in the 'Glossary' for the definition of number of credit card accounts,,,,,,,,,,
,5. Refer to this link in the 'Glossary' for the definition of number of ATMs. ,,,,,,,,,,
,"6. Relates to all points of presence including multibrand co-located branches (FY23: 82), as well as Staff Branches, Advisory, Community Banking Centres and Kiosks (FY23: 10). Refer to this link in the 'Glossary' for the definition of number of branches. ",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,HELPING IN MOMENTS THAT MATTER - Australia,,2023.0,2022.0,2021,,,,,,
,Number of customers provided with natural disaster relief packages1,,0.0,1633.0,709,,,,,,
,Number of cases escalated through our specialist customer care teams2,,71182.0,42346.0,33429,,,,,,
,Number of approved applications for financial assistance from customers experiencing financial hardship3,,32097.0,36139.0,81062,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of customers provided with natural disaster relief packages.,,,,,,,,,,
,"2. Refer to this link in the 'Glossary' for the definition of customers who received assistance through specialist customer care teams. The number of cases escalated through our specialist teams have increased due to cost of living, ongoing monitoring, education and training awareness campaigns being rolled out. ",,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of customers experiencing financial hardship who accessed a financial assistance package.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,CUSTOMER COMPLAINTS,,2023.0,2022.0,2021,,,,,,
,Australia1,,,,,,,,,,
,Number of complaints2,,438633.0,252256.0,215931,,,,,,
,Change in customer complaints from prior year (%),,73.9,16.8,31.8,,,,,,
,Complaints resolved within 5 days (%)3,,79.0,73.0,73,,,,,,
