Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ECONOMIC AND SOCIAL IMPACT,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ECONOMIC IMPACT,,,,,,,,,,,
,,,,,,,,,,,,
,VALUE GENERATION AND DISTRIBUTION ($m),2023.0,2022.0,2021,,,,,,,,
,Direct economic value generated,,,,,,,,,,,
,Net interest income,18317.0,17161.0,16858,,,,,,,,
,Non-interest income,3328.0,2445.0,4364,,,,,,,,
,Net operating income,21645.0,19606.0,21222,,,,,,,,
,Supplier and non-salary input costs excluding community investment,-4801.0,-4661.0,-5531,,,,,,,,
,"Community (community investment including commercial sponsorships and foregone fee revenue)1,2",170.57986255,146.0,156,,,,,,,,
,Depreciation and impairment charges,-1885.0,-1916.0,-2464,,,,,,,,
,Direct economic value generated,15129.57986255,13175.0,13383,,,,,,,,
,,,,,,,,,,,,
,Direct economic value distributed,,,,,,,,,,,
,Shareholders (dividends and comprehensive income attributable to non-controlling interests),4704.0,5943.0,3251,,,,,,,,
,Governments (income tax expense),3104.0,2770.0,3038,,,,,,,,
,Employees (salaries and bonuses),4654.0,4560.0,4726,,,,,,,,
,"Community (community investment including commercial sponsorships and foregone fee revenue)1,2",170.57986255,146.0,156,,,,,,,,
,Direct economic value distributed,12632.57986255,13419.0,11171,,,,,,,,
,Economic value retained for future growth,2497.0,-244.0,2212,,,,,,,,
,Total economic value distributed and retained,15129.57986255,13175.0,13383,,,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of community investment.,,,,,,,,,,,
,"2. Community investment increased due to several factors, including refining the definition of 'charitable gifts' to include donations to for-profit organisations if the intent was to fund charitable causes (aligned with the Business for Societal Impact (B4SI) Community Investment Framework); improving the methodology for ‘volunteer time’ and ‘management costs’; growth of commercial partnerships through new multi-year sponsorships in Australia; and enhancing our data collection process through automation.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,COMMUNITY INVESTMENT,,,,,,,,,,,
,,,,,,,,,,,,
,COMMUNITY INVESTMENT SUMMARY,2023.0,2022.0,2021,,,,,,,,
,Australia ($)1,155750722.32,138089900.0,149070545,,,,,,,,
,Westpac New Zealand ($)2,14173262.51,7685881.0,6842549,,,,,,,,
,International offices ($)3,655877.72,281024.0,23601,,,,,,,,
,"Group Community investment (including commercial sponsorships and foregone fee revenue) ($)1,4,5",170579862.54999998,146056805.0,155936695,,,,,,,,
,Community investment (including commercial sponsorships and foregone fee revenue) as a % of profit before income tax expense (%),1.6553116210577388,1.7246050891486597,1.834333548994236,,,,,,,,
,Westpac profit before income tax expense ($m),10305.0,8469.0,8501,,,,,,,,
,1. Community investment was restated due to: duplication error in charitable gifts (impacts FY22) and omission of donation to St George Foundation in charitable gifts (impacts FY22 and FY21). ,,,,,,,,,,,
