Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
3,,ECONOMIC AND SOCIAL IMPACT,,,,,,,,,,,
11,,ECONOMIC IMPACT,,,,,,,,,,,
13,,VALUE GENERATION AND DISTRIBUTION ($m),2023.0,2022.0,2021,,,,,,,,
14,,Direct economic value generated,,,,,,,,,,,
15,,Net interest income,18317.0,17161.0,16858,,,,,,,,
16,,Non-interest income,3328.0,2445.0,4364,,,,,,,,
17,,Net operating income,21645.0,19606.0,21222,,,,,,,,
18,,Supplier and non-salary input costs excluding community investment,-4801.0,-4661.0,-5531,,,,,,,,
19,,"Community (community investment including commercial sponsorships and foregone fee revenue)1,2",170.5799,146.0,156,,,,,,,,
20,,Depreciation and impairment charges,-1885.0,-1916.0,-2464,,,,,,,,
21,,Direct economic value generated,15129.58,13175.0,13383,,,,,,,,
23,,Direct economic value distributed,,,,,,,,,,,
24,,Shareholders (dividends and comprehensive income attributable to non-controlling interests),4704.0,5943.0,3251,,,,,,,,
25,,Governments (income tax expense),3104.0,2770.0,3038,,,,,,,,
26,,Employees (salaries and bonuses),4654.0,4560.0,4726,,,,,,,,
27,,"Community (community investment including commercial sponsorships and foregone fee revenue)1,2",170.5799,146.0,156,,,,,,,,
28,,Direct economic value distributed,12632.58,13419.0,11171,,,,,,,,
29,,Economic value retained for future growth,2497.0,-244.0,2212,,,,,,,,
30,,Total economic value distributed and retained,15129.58,13175.0,13383,,,,,,,,
31,,1. Refer to this link in the 'Glossary' for the definition of community investment.,,,,,,,,,,,
32,,"2. Community investment increased due to several factors, including refining the definition of 'charitable gifts' to include donations to for-profit organisations if the intent was to fund charitable causes (aligned with the Business for Societal Impact (B4SI) Community Investment Framework); improving the methodology for Ã¢ÂÂvolunteer timeÃ¢ÂÂ and Ã¢ÂÂmanagement costsÃ¢ÂÂ; growth of commercial partnerships through new multi-year sponsorships in Australia; and enhancing our data collection process through automation.",,,,,,,,,,,
35,,COMMUNITY INVESTMENT,,,,,,,,,,,
37,,COMMUNITY INVESTMENT SUMMARY,2023.0,2022.0,2021,,,,,,,,
38,,Australia ($)1,155750700.0,138089900.0,149070545,,,,,,,,
39,,Westpac New Zealand ($)2,14173260.0,7685881.0,6842549,,,,,,,,
40,,International offices ($)3,655877.7,281024.0,23601,,,,,,,,
41,,"Group Community investment (including commercial sponsorships and foregone fee revenue) ($)1,4,5",170579900.0,146056800.0,155936695,,,,,,,,
42,,Community investment (including commercial sponsorships and foregone fee revenue) as a % of profit before income tax expense (%),1.655312,1.724605,1.834333548994236,,,,,,,,
43,,Westpac profit before income tax expense ($m),10305.0,8469.0,8501,,,,,,,,
44,,1. Community investment was restated due to: duplication error in charitable gifts (impacts FY22) and omission of donation to St George Foundation in charitable gifts (impacts FY22 and FY21).,,,,,,,,,,,
45,,2. The exchange rate for NZD: 1.082307 based on the monthly average rate for the year ended 30 September 2023.,,,,,,,,,,,
46,,"3. Offices in the United States, United Kingdom, and key Asian centres along with our banks in Papua New Guinea and Fiji. The exchange rate for SGD: 0.897297, GBP: 0.540349, USD: 0.664453 based on the monthly average rate for the year ended 30 September 2023.",,,,,,,,,,,
47,,4. Refer to this link in the 'Glossary' for the definition of community investment.,,,,,,,,,,,
48,,"5. Community investment increased due to several factors, including refining the definition of 'charitable gifts' to include donations to for-profit organisations if the intent was to fund charitable causes (aligned with the Business for Societal Impact (B4SI) Community Investment Framework); improving the methodology for Ã¢ÂÂvolunteer timeÃ¢ÂÂ and Ã¢ÂÂmanagement costsÃ¢ÂÂ; growth of commercial partnerships through new multi-year sponsorships in Australia; and enhancing our data collection process through automation.",,,,,,,,,,,
51,,COMMUNITY INVESTMENT BY TYPE ($),2023.0,2022.0,2021,,,,,,,,
52,,Monetary contributions,,,,,,,,,,,
53,,Charitable gifts1,7400592.0,6381346.0,6552251,,,,,,,,
54,,Matched giving2,2067082.0,2272820.0,2108308,,,,,,,,
55,,Community partnerships3,36508220.0,28030250.0,31495466,,,,,,,,
56,,Total monetary contributions,45975890.0,36684420.0,40156025,,,,,,,,
57,,Time contributions,,,,,,,,,,,
58,,Volunteer time4,2965072.0,1264331.0,932906,,,,,,,,
59,,Employee secondments5,576394.2,897065.0,913923,,,,,,,,
60,,"Indigenous community secondments/volunteering4,5",454992.2,642269.0,338090,,,,,,,,
61,,Total time contributions,3996458.0,2803665.0,2184919,,,,,,,,
62,,In-kind contributions,,,,,,,,,,,
63,,In-kind gifts or donations6,1189818.0,1204810.0,1351644,,,,,,,,
64,,Indigenous in-kind7,175944.0,292866.0,227128,,,,,,,,
65,,Total in-kind contributions,1365762.0,1497676.0,1578772,,,,,,,,
66,,Management costs8,,,,,,,,,,,
67,,Management costs - General,13478640.0,12337280.0,9542396,,,,,,,,
68,,Management costs - Indigenous,274307.1,1136390.0,934997,,,,,,,,
69,,Total management costs,13752950.0,13473670.0,10477393,,,,,,,,
70,,"Community investment9,10",65091060.0,54459430.0,54397109,,,,,,,,
71,,Commercial sponsorships11,16535620.0,9479385.0,11558575,,,,,,,,
72,,Foregone fee revenue Ã¢ÂÂ not-for-profit organisations12,7228677.0,6874158.0,7688404,,,,,,,,
73,,Foregone fee revenue Ã¢ÂÂ other fee free accounts12,81724510.0,75243830.0,82292607,,,,,,,,
74,,Community investment including commercial sponsorships and foregone fee revenue13,170579900.0,146056800.0,155936695,,,,,,,,
75,,1. Refer to this link in the 'Glossary' for the definition of charitable gifts.,,,,,,,,,,,
76,,2. Refer to this link in the 'Glossary' for the definition of matched giving.,,,,,,,,,,,
77,,3. Refer to this link in the 'Glossary' for the definition of community partnerships.,,,,,,,,,,,
78,,4. Refer to this link in the 'Glossary' for the definition of volunteer time.,,,,,,,,,,,
79,,5. Refer to this link in the 'Glossary' for the definition of Employee secondment and Indigenous Community secondment.,,,,,,,,,,,
80,,6. Refer to this link in the 'Glossary' for the definition of in-kind gifts and donations.,,,,,,,,,,,
81,,7. Refer to this link in the 'Glossary' for the definition of Indigenous in-kind gifts and donations.,,,,,,,,,,,
82,,8. Refer to this link in the 'Glossary' for the definition of management costs.,,,,,,,,,,,
83,,9. Refer to this link in the 'Glossary' for the definition of community investment.,,,,,,,,,,,
84,,10. Community investment was restated due to: decision of removing foregone fee revenue from total in-kind contributions to better reflect evolving global reporting standards (impacts FY22 and FY21); and duplication error (impacts FY22) and omission of donation to St George Foundation in charitable gifts (impacts FY22 and FY21).,,,,,,,,,,,
85,,11. Refer to this link in the 'Glossary' for the definition of commercial sponsorships.,,,,,,,,,,,
86,,12. Refer to this link in the 'Glossary' for the definition of foregone fee revenue.,,,,,,,,,,,
87,,"13. Community investment increased due to several factors, including refining the definition of 'charitable gifts' to include donations to for-profit organisations if the intent was to fund charitable causes (aligned with the Business for Societal Impact (B4SI) Community Investment Framework); improving the methodology for Ã¢ÂÂvolunteer timeÃ¢ÂÂ and Ã¢ÂÂmanagement costsÃ¢ÂÂ; growth of commercial partnerships through new multi-year sponsorships in Australia; and enhancing our data collection process through automation.",,,,,,,,,,,
90,,FINANCIAL EDUCATION,,,,,,,,,,,
92,,FINANCIAL EDUCATION - NUMBER OF PARTICIPANTS1,2023.0,2022.0,2021,,,,,,,,
93,,Group total face to face and live events,,,,,,,,,,,
94,,Australia3,4536.0,2293.0,1330,,,,,,,,
95,,New Zealand4,10241.0,7760.0,14618,,,,,,,,
96,,Pacific5,8843.0,4572.0,3099,,,,,,,,
97,,FINANCIAL EDUCATION - NUMBER OF HOURS2,2023.0,2022.0,2021,,,,,,,,
98,,Group total,,,,,,,,,,,
99,,Australia3,2268.0,1146.5,665,,,,,,,,
100,,New Zealand4,11743.0,7282.7,13995,,,,,,,,
101,,Pacific5,26529.0,13716.0,NR,,,,,,,,
102,,1. Refer to this link in the 'Glossary' for the definition of financial education (participants).,,,,,,,,,,,
103,,2. Refer to this link in the 'Glossary' for the definition of financial education (hours).,,,,,,,,,,,
104,,3. Financial education increased due to more presentations run by Corporate Partners.,,,,,,,,,,,
105,,4. Financial education increased as more facilitators were trained to deliver Ã¢ÂÂManaging Your MoneyÃ¢ÂÂ workshops to the community.,,,,,,,,,,,
106,,"5. Following COVID-19 pandemic, financial education returned closer to 'normal' in FY23.",,,,,,,,,,,
108,,POLITICAL ENGAGEMENT,,,,,,,,,,,
110,,POLITICAL ENGAGEMENT EXPENSES,2023.0,2022.0,2021,,,,,,,,
111,,Total political cash donations ($)1,0.0,0.0,0,,,,,,,,
112,,"Total political related expenditure ($)2,3",1942414.0,194843.0,148153.186,,,,,,,,
113,,1. Westpac has a policy prohibiting cash donations to political parties. Refer to this link in the 'Glossary' for the definition of political cash donations.,,,,,,,,,,,
