Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
3,,ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,TARGETS,TARGET\nBY 2025,TARGET\nBY 2030,BASE YEAR,BASELINE,CHANGE FROM BASE YEAR (%),CHANGE FROM 2022 (%),,,,,,,,,,,,,,,,,,,,
12,,"Direct Operational Scope 1 & 2 Greenhouse Gas Emissions (tCO2-e)1,2,3",64% reduction,76% reduction,2021,62360,-0.6624759461193073,-0.521973155276964,,,,,,,,,,,,,,,,,,,,
13,,"Scope 3 Upstream Greenhouse Gas Emissions (tCO2-e)1,4",-,50% reduction,2021,97891,-0.37640845430121256,-0.03681146157123247,,,,,,,,,,,,,,,,,,,,
14,,"Electricity sourced from Renewables (%)5,6",1,Maintain,,,0.7008506021823213,0.20598725712559351,,,,,,,,,,,,,,,,,,,,
15,,Water consumption in Australian workplaces (kL)7,15% reduction,-,2020,357814,-0.421123824109733,0.026788812547713235,,,,,,,,,,,,,,,,,,,,
16,,"Waste diversion from landfill, Australian commercial sites (%)8",80% diversion rate,85% diversion rate,,0.7,0.78,-0.21098265895953758,,,,,,,,,,,,,,,,,,,,
17,,1. For our scope 1 & 2 direct operational and scope 3 upstream targets we are using a market-based accounting method for emissions calculation. The 2021 baselines for these targets have been adjusted for COVID-19 pandemic and other impacts.,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,3. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (market-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"4. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (market-based). Scope 3 Upstream Emissions reduced 15% since 2021, 38% relative to 2021 baseline which included uplifts for COVID.",,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5. Refer to this link in the 'Glossary' for the definition of renewable electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,"6. Committed to sourcing the equivalent of 100% of our global electricity consumption from renewable sources by 2025. Renewables percentage is supported by the surrender of renewable energy attribute certificates (EACs) directly by, or on behalf of, Westpac for direct electricity consumption. This figure differs from the higher renewables percentage reported under Westpac's Climate Active Public Disclosure Statement due to the Climate Active Standard Electricity Accounting methodology recognising jurisdictional renewable energy targets and the large-scale renewable energy target.",,,,,,,,,,,,,,,,,,,,,,,,,,
23,,7. Refer to this link in the 'Glossary' for the definition of water consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,"8. Refer to this link in the 'Glossary' for the definition of waste diversion from landfill, Australian commercial sites.",,,,,,,,,,,,,,,,,,,,,,,,,,
27,,WESTPAC GROUP OPERATIONAL GHG EMISSIONS1,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,
28,,Location-based GHG emissions (tCOÃ¢ÂÂ-e)2,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Total Scope 1 emissions3,6559,7297,7851,7594,9260,,,,,,,,,,,,,,,,,,,,,
30,,Total Scope 2 emissions4 5,60481,76378,89580,100040,111908,,,,,,,,,,,,,,,,,,,,,
31,,Total Scope 3 supply chain (non-financed) emissions5 6,73112,68880,69008,91616,87262,,,,,,,,,,,,,,,,,,,,,
32,,Total Scope 1 and 2 emissions (tCOÃ¢ÂÂ-e),67040,83675,97431,107634,121168,,,,,,,,,,,,,,,,,,,,,
33,,"Total Scope 1, 2 and 3 upstream emissions (tCOÃ¢ÂÂ-e)",140152,152555,166439,199250,208430,,,,,,,,,,,,,,,,,,,,,
34,,Market-based GHG emissions (tCOÃ¢ÂÂ-e)7,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Total Scope 1 emissions3,6559,7297,7851,NR,NR,,,,,,,,,,,,,,,,,,,,,
36,,Total Scope 2 emissions8,14489,36734,53981,NR,NR,,,,,,,,,,,,,,,,,,,,,
37,,Total Scope 3 upstream emissions9,61044,63377,71738,NR,NR,,,,,,,,,,,,,,,,,,,,,
38,,Total Scope 1 and 2 emissions (tCOÃ¢ÂÂ-e),21048,44031,61832,NR,NR,,,,,,,,,,,,,,,,,,,,,
39,,"Total Scope 1, 2 and 3 upstream emissions (tCOÃ¢ÂÂ-e)",82092,107408,133570,NR,NR,,,,,,,,,,,,,,,,,,,,,
40,,Scope 1 and 2 emissions (tCOÃ¢ÂÂ-e)/employee (FTE)10,0.6,1.2,1.6,3,3.6,,,,,,,,,,,,,,,,,,,,,
41,,"1. Westpac expanded its emissions calculations from 2020 to include employee commute and from 2021 to further include working from home emissions, as well as emissions from Singapore, China, Germany and the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,
42,,2. The location-based method shows a businessÃ¢ÂÂs electricity emissions in the context of its location. It does not consider renewable energy procurement represented by the retirement of eligible renewable energy attribute certificates.,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,3. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,4. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,"5. Due to an update in the Ministry for the EnvironmentÃ¢ÂÂs emission factor for electricity emissions in 2023, Westpac NZ has restated the electricity emissions for the past three environmental years (EY20-EY22) to reflect impacts to our footprint as per the ToitÃÂ« net carbonzero programme requirements. This update has not been applied to our EY19 base year inventory, as the change in emissions was below the default 5% materiality threshold and was deemed not to be material to our stakeholders in this instance. ToitÃÂ« re-verification of the footprints for these years was completed with updated total tCO2e for EY22 and EY21 restated above.",,,,,,,,,,,,,,,,,,,,,,,,,,
46,,6. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,7. The market-based accounting method provides a picture of WestpacÃ¢ÂÂs electricity emissions in the context of its renewable energy procurement represented by the retirement of eligible renewable energy attribute certificates.,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,8. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (market-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,9. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (market-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,10. Refer to this link in the 'Glossary' for the definition of scope 1 and 2 (tCOÃ¢ÂÂ-e)/employee (FTE).,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,LOCATION-BASED GHG EMISSIONS BREAKDOWN,GROUP1,,,AUSTRALIA,,,NEW ZEALAND2,,,,,,,,,,,,,,,,,,,
54,,,2023,2022,2021,2023,2022,2021,2023,2022,2021,,,,,,,,,,,,,,,,,
55,,Scope 1 emissions (tCOÃ¢ÂÂ-e)3,,,,,,,,,,,,,,,,,,,,,,,,,,
