Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
74,,EMISSIONS,,,
75,,GRI 305:\nEmissions 2016,"305-1 Direct (Scope 1) GHG emissions\na. Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.\nb. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.\nc. Biogenic CO2 emissions in metric tons of CO2 equivalent.\nd. Base year for the calculation, if applicable, including:\ni. the rationale for choosing it\nii. emissions in the base year\niii. the context for any significant changes in emissions that triggered recalculations of base year emissions\ne. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source.\nf. Consolidation approach for emissions; whether equity share, financial control, or operational control.\ng. Standards, methodologies, assumptions, and/or calculation tools used.","a. See our 2023 Annual Report: Creating value for the environment, 2023 Climate Report: Strategy; 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environment (Westpac Group GHG Emissions, and Location-based GHG Emissions Breakdown tables) and Glossary \nb. As appropriate, we may consider enhancing our disclosures for this topic in coming years.\nc. We do not consider this requirement to be applicable to our industry. \nd. i), ii), iii) e., f., g. See our 2023 Climate Report: Appendix - Methodology: Scope 1 and 2 direct operational emissions and scope 3 upstream emissions, Website: Climate Change and Environmental Issues.\n\n",
76,,,"305-2 Energy indirect (Scope 2) GHG emissions\na. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.\nb. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.\nc. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.\nd. Base year for the calculation, if applicable, including:\ni. the rationale for choosing it\nii. emissions in the base year\niii. the context for any significant changes in emissions that triggered recalculations of base year emissions\ne. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source.\nf. Consolidation approach for emissions; whether equity share, financial control, or operational control.\ng. Standards, methodologies, assumptions, and/or calculation tools used.","a.,b. See our 2023 Annual Report: Creating value for the environment, 2023 Climate Report: Strategy; 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environment (Westpac Group GHG Emissions, and Location-based GHG Emissions Breakdown tables) and Glossary\nc. Not available\nd. i), ii), iii) e., f., g. See our 2023 Climate Report: Appendix - Methodology: Scope 1 and 2 direct operational emissions and scope 3 upstream emissions, Website: Climate Change and Environmental Issues.",
77,,,"305-3 Other indirect (Scope 3) GHG emissions\na. Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.\nb. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.\nc. Biogenic CO2 emissions in metric tons of CO2 equivalent.\nd. Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.\ne. Base year for the calculation, if applicable, including:\ni. the rationale for choosing it\nii. emissions in the base year\niii. the context for any significant changes in emissions that triggered recalculations of base year emissions\nf. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source.\ng. Standards, methodologies, assumptions, and/or calculation tools used.\na. Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.\nb. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.\nc. Biogenic CO2 emissions in metric tons of CO2 equivalent.\nd. Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.\ne. Base year for the calculation, if applicable, including:\ni. the rationale for choosing it\nii. emissions in the base year\niii. the context for any significant changes in emissions that triggered recalculations of base year emissions\nf. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source.\ng. Standards, methodologies, assumptions, and/or calculation tools used.","a.d. See our 2023 Annual Report: Creating value for the environment, 2023 Climate Report: Strategy; 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environment (Westpac Group GHG Emissions Summary, and Location-based GHG Emissions Breakdown tables) and Glossary \nb. Not available\nc. We do not consider this requirement to be applicable to our industry. \ne. i), ii), iii), f., g. See our 2023 Climate Report: 2023 Climate Report: Appendix - Methodology: Scope 1 and 2 direct operational emissions and scope 3 upstream emissions, Website: Climate Change and Environmental Issues.",
78,,,"305-4 GHG emissions intensity\na. GHG emissions intensity ratio for the organization.\nb. Organization-specific metric (the denominator) chosen to calculate the ratio.\nc. Types of GHG emissions included in the intensity ratio; whether direct (Scope 1), energy indirect (Scope 2), and/or other indirect (Scope 3).\nd. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.","a., d. See our 2023 Sustainability Index and Datasheet: tab Environment (Westpac Group GHG Emissions table) and Glossary\nb. Employee full time equivalent chosen as the denominator to calculate our emissions intensity metric\nc. Scope 1 and Scope 2 emissions chosen as the numerator to calculate our emission intensity metric",
79,,,"305-5 Reduction of GHG emissions\na. GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.\nb. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.\nc. Base year or baseline, including the rationale for choosing it.\nd. Scopes in which reductions took place; whether direct (Scope 1), energy indirect (Scope 2), and/or other indirect (Scope 3).\ne. Standards, methodologies, assumptions, and/or calculation tools used.","a. to b. As appropriate, we may consider enhancing our disclosures for this topic in coming years\nc. to e. See our 2023 Annual Report: Creating value for the environment, 2023 Climate Report: Appendix - Methodology: Scope 1 and 2 direct operational emissions and scope 3 upstream emissions; 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environment (Targets table) and Glossary",
80,,,"305-6 Emissions of ozone-depleting substances (ODS)\na. Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent.\nb. Substances included in the calculation.\nc. Source of the emission factors used.\nd. Standards, methodologies, assumptions, and/or calculation tools used.",a. to d. We do not consider this GRI standard to be applicable to banking.,
81,,,"305-7 Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions\na. Significant air emissions, in kilograms or multiples, for each of the following:\ni. NOX\nii. SOX\niii. Persistent organic pollutants (POP)\niv. Volatile organic compounds (VOC)\nv. Hazardous air pollutants (HAP)\nvi. Particulate matter (PM)\nvii. Other standard categories of air emissions identified in relevant regulations\nb. Source of the emission factors used.\nc. Standards, methodologies, assumptions, and/or calculation tools used.",a. to c. We do not consider this GRI standard to be applicable to banking.,
82,,SUPPLIERS,,,
83,,SUPPLIER ENVIRONMENTAL ASSESSMENT,,,
