Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
36,,,,Total amount of monetary losses as a result of legal proceedings associated with communications to customers or remuneration of loan originators,,Reporting Currency,FN-MF-270a.3,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
37,,,,Description of remuneration structure of loan originators,,Commentary,FN-MF-270a.4,"Our loan originators do not receive commissions or fees for the sale of products or services. As employees they receive a salary and other benefits which may involve a bonus to recognise performance for the year against agreed business objectives. These objectives may relate to business outcomes, customer service, people management, special tasks and managing risk effectively. See our Financial Services guide 2023 for further information. One smaller business at Westpac is RAMS, a wholly owned mortgage originator, that is operated as a franchise business. Each franchise is compensated for home loans written based on a fixed percentage for upfront and trail commissions. Our third-party broker introduced business operates on the same compensation basis at RAMS."
38,,,Discriminatory\nLending,"(1) Number, (2) value, and (3) weighted average Loan-to-Value (LTV) ratio of mortgages issued to (a) minority and (b) all other borrowers, by FICO scores above and below 660",,"Number, Reporting currency, Percentage (%)",FN-MF-270b.1,We disclose details of LVR bands in our 2023 Investor Discussion Pack. The SASB classification of borrower minority and FICO scores are not relevant to Australia and New Zealand.
39,,,,Total amount of monetary losses as a result of legal proceedings associated with discriminatory mortgage lending,,Reporting Currency,FN-MF-270b.2,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
40,,,,Description of policies and procedures for ensuring non-discriminatory mortgage origination,,Commentary,FN-MF-270b.3,"Refer to our Website: Operating principles and policies. Westpac also maintains a Principles for Responsible Lending (available on our website) that has 7 principles we apply, including to mortgages. These include inquiring about a customerÃ¢ÂÂs financial situation, taking steps to verify a customerÃ¢ÂÂs financial position (including checking third party sources), only offering suitable products, and marketing our products responsibly."
41,,,Environmental Risk to Mortgaged Properties,(1) Number and (2) value of mortgage loans in 100-year flood zones,,"Number, Reporting currency",FN-MF-450a.1,Our physical risk analysis in our 2023 Climate Report shows the proportion of property that may be subject to climate risks.
42,,,,"(1) Total expected loss and (2) Loss Given Default (LGD) attributable to mortgage loan default and delinquency because of weather-related natural catastrophes, by geographic region",,"Reporting currency, Percentage (%)",FN-MF-450a.2,"See our 2023 Sustainability Index and Datasheet: tab Lending (Australian locations that may experience higher physical risk by 2050 table). Expected losses for mortgages are determined on a portfolio basis. When major weather-related natural catastrophes occur we assess potential losses and may put in place a weather-related credit provision overlay. This overlay is typically assessed based on losses in prior events. At 31 March 2023, we held overlay provisions of $131 million. See 2023 Annual Report for details."
43,,,,Description of how climate change and other environmental risks are incorporated into mortgage origination and underwriting,,Commentary,FN-MF-450a.3,"See our 2023 Annual Report: Climate Change, Sustainability governance and risk management.; 2023 Climate Report: Risk management"
44,,,,ACTIVITY METRIC,Category,UNIT OF MEASURE,CODE,
45,,,,(1) Number and (2) value of mortgages originated by category: (a) residential and (b) commercial,,"Number, Reporting currency",FN-MF-000.A,"See our 2023 Investor Discussion Pack Ã¢ÂÂ under Australian Mortgage Portfolio for details of the value of mortgages originated, including by the categories owner-occupied and investor loans. This categorisation is similar to the US construct of residential and commercial mortgages. For larger commercial properties these are separately disclosed in our commercial lending portfolio. We do not disclose the number of new mortgages originated."
46,,,,(1) Number and (2) value of mortgages purchased by category: (a) residential and (b) commercial,,"Number, Reporting currency",FN-MF-000.B,"Westpac does not routinely purchase residential or commercial mortgages, unless related to the purchase of a business. Accordingly, this metric is not applicable to us."
47,,SECTOR,TOPIC,ACCOUNTING METRIC,Category,UNIT OF MEASURE,CODE,WESTPAC RESPONSE
48,,CONSUMER FINANCE,Customer Privacy,Number of account holders whose information is used for secondary purposes,,Number,FN-CF-220a.1,"As appropriate, we may consider enhancing our disclosures for this topic in coming years."
49,,,,Total amount of monetary losses as a result of legal proceedings associated with customer privacy,,Reporting Currency,FN-CF-220a.2,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
