Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
3,,SUPPLIERS,,,,,,,,,,,
12,,TOTAL SUPPLIER AND OTHER RELEVANT THIRD PARTY SPEND1,2023.0,2022.0,2021.0,,,,,,,,
13,,Australia ($bn),6.2,6.4,7.3,,,,,,,,
14,,"1. Total spent (excluding GST) with external suppliers and relevant third parties who provided products or services during the reporting period. Includes accounts payable, third party managed facilities maintenance and rent data. Spend excludes corporate issued credit card spending, staff reimbursements and intercompany payments. Given this is Australia only, it excludes WNZL spend. Note: in FY21 total spend included GST.",,,,,,,,,,,
17,,DIVERSE AND INDIGENOUS AUSTRALIAN SUPPLIERS3,2023.0,2022.0,2021.0,,,,,,,,
18,,Spend with diverse suppliers ($m)1,27.9,20.7,11.6,,,,,,,,
19,,Spend with Indigenous Australian suppliers ($m)2,6.3,8.8,1.6,,,,,,,,
20,,Tier 1 ($m),5.2,1.3,1.2,,,,,,,,
21,,Tier 2 ($m),1.1,7.5,0.4,,,,,,,,
22,,Number of Indigenous Australian suppliers (absolute),68.0,38.0,25.0,,,,,,,,
23,,1. Refer to this link in the 'Glossary' for the definition of spend with diverse suppliers.,,,,,,,,,,,
24,,2. Refer to this link in the 'Glossary' for the definition of spend with Indigenous Australian suppliers.,,,,,,,,,,,
