Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,THE UN GUIDING PRINCIPLES REPORTING FRAMEWORK,,,,,,,,,,,,,,,,,,,,,,,,,
,FOR THE YEAR-ENDED 30 SEPTEMBER 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNGP REPORTING FRAMEWORK CRITERIA,WESTPAC RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,
,PART A: GONVERNANCE OF RESPECT FOR HUMAN RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
,POLICY COMMITMENT,,,,,,,,,,,,,,,,,,,,,,,,,
,A1 What does the company say publicly about its commitment to respect human rights?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'),,,,,,,,,,,,,,,,,,,,,,,,
, A1.1 How has the public commitment been developed?,See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'),,,,,,,,,,,,,,,,,,,,,,,,
, A1.2 Whose human rights does the public commitment address?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'),,,,,,,,,,,,,,,,,,,,,,,,
, A1.3 How is the public commitment disseminated? ,"See our Human Rights Position Statement and Action Plan: Section 2 ('Scope and coverage'), Section 5 ('Management of our Position Statement and Action Plan'), and Section B.2 ('Our plan'). Additionally, our Human Rights Position Statement is publicly available online and on our internal intranet and is integrated into Group training.",,,,,,,,,,,,,,,,,,,,,,,,
,EMBEDDING RESPECT FOR HUMAN RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
,A2 How does the company demonstrate the importance it attaches to the implementation of its human rights commitment? ,See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'),,,,,,,,,,,,,,,,,,,,,,,,
," A2.1 How is day-to-day responsibility for human rights performance organized within the company, and why? ",See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'); Modern Slavery Statement FY22: Section 3 ('Governance and oversight'); and 2023 Annual Report: Section 2 ('Group Performance: Sustainability governance and risk management'),,,,,,,,,,,,,,,,,,,,,,,,
