Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,Statement of use\n,,Woolworths Group has reported in accordance with the GRI Standards for the period 1 July 2022 to 30 June 2023.,,,,,,,,,,,,,,,,,,,,,,,
1,GRI 1 used,,GRI 1: Foundation 2021,,,,,,,,,,,,,,,,,,,,,,,
2,Applicable GRI Sector Standard(s),,None applicable,,,,,,,,,,,,,,,,,,,,,,,
4,GRI STANDARD/ \nOTHER SOURCE,DISCLOSURE,LOCATION / DETAILS,OMISSION\n,,,GRI SECTOR STANDARD REF. NO.\n,,,,,,,,,,,,,,,,,,,
5,,,,REQUIREMENT(S) \nOMITTED,REASON\n,EXPLANATION\n,,,,,,,,,,,,,,,,,,,,
6,GENERAL DISCLOSURES,,,,,,,,,,,,,,,,,,,,,,,,,
7,GRI 2: General Disclosures 2021\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,2-1 Organizational details,Woolworths Group Limited is a publicly listed company. \nGroup Headquarters are located at 1 Woolworths Way Bella Vista NSW 2153\nOperations are predominately across Australia and New Zealand with a small presence in Asia,A gray cell indicates that reasons for omission are not permitted for the disclosure or that a GRI Sector Standard reference number is not available.\n\n\n,,,,,,,,,,,,,,,,,,,,,,
8,,2-2 Entities included in the organizationÃ¢ÂÂs sustainability reporting,2023 Sustainability Report incorporates all wholly owned businesses as of the reporting date unless stated otherwise,,,,,,,,,,,,,,,,,,,,,,,
9,,"2-3 Reporting period, frequency and contact point","The reporting period is from 1 July 2022 to 30 June 2023, or 27 June 2022 to 25 June 2023 (F23) if metric is based on weekly sales, and the reporting frequency is annual. Contact point details are in the Sustainability Report under the Company Directory on page 61.",,,,,,,,,,,,,,,,,,,,,,,
10,,2-4 Restatements of information,"Due to material changes to the Group, prior periods have been restated to exclude the demerged Endeavour business and, where stated, to include the majority owned businesses acquired during the period.",,,,,,,,,,,,,,,,,,,,,,,
11,,2-5 External assurance,External assurance statement: Available from Group website\nhttps://www.woolworthsgroup.com.au/au/en/investors/our-performance/reports.html,,,,,,,,,,,,,,,,,,,,,,,
12,,"2-6 Activities, value chain and other business relationships",2023 Woolworths Group Annual Report for business activities.\n,,,,,,,,,,,,,,,,,,,,,,,
13,,2-7 Employees,2023 Sustainablity data pack - Workforce movements,,,,,,,,,,,,,,,,,,,,,,,
14,,2-8 Workers who are not employees,2023 Sustainablity data pack - Workforce movements\nThe significant portion of Woolworths Group activities are performed by workers who are employees,,,,,,,,,,,,,,,,,,,,,,,
15,,2-9 Governance structure and composition,2023 Annual report\nCorporate Governance Statement\nWoolworths Group website: www.woolworthsgroup.com.au,,,,,,,,,,,,,,,,,,,,,,,
16,,2-10 Nomination and selection of the highest governance body,2023 Annual report\nCorporate Governance Statement\nWoolworths Group website: www.woolworthsgroup.com.au,,,,,,,,,,,,,,,,,,,,,,,
17,,2-11 Chair of the highest governance body,2023 Annual report\nCorporate Governance Statement\nWoolworths Group website: www.woolworthsgroup.com.au,,,,,,,,,,,,,,,,,,,,,,,
18,,2-12 Role of the highest governance body in overseeing the management of impacts,Sustainability Committee Charter\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/about-us/updated-policies-/Woolworths%20Group%20Sustainability%20Committee%20Charter%20(August%202022).pdf,,,,,,,,,,,,,,,,,,,,,,,
19,,2-13 Delegation of responsibility for managing impacts,Woolworths Group Board of Directors Charter and delegation to the Sustainability Committee\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/about-us/documents/Woolworths%20Group%20Board%20Charter%20(Approved%2023%20September%202021).pdf,,,,,,,,,,,,,,,,,,,,,,,
20,,2-14 Role of the highest governance body in sustainability reporting,Sustainability Committee Charter\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/about-us/updated-policies-/Woolworths%20Group%20Sustainability%20Committee%20Charter%20(August%202022).pdf,,,,,,,,,,,,,,,,,,,,,,,
21,,2-15 Conflicts of interest,2023 Annual report\nCorporate Governance Statement\nWoolworths Group website: www.woolworthsgroup.com.au,,,,,,,,,,,,,,,,,,,,,,,
22,,2-16 Communication of critical concerns,Critical concerns are communicated formally to the Sustainability Committee on a cadence through both a narrative update and a metric driven scorecard update on the key 2025 Sustainability Plan goals and commitments. Critical concerns are raised within this reporting cadence.,,,,,,,,,,,,,,,,,,,,,,,
23,,2-17 Collective knowledge of the highest governance body,Board skills and experience is located in the Annual Report.\nKnowledge is advanced through the use of detailed updates provided to the Sustainability Committee across a broad range of sustainability topics which have either direct or indirect links back to sustainable development. Both internal and external expertise is sought to provide relevant and timely information to Sustainability Committee,,,,,,,,,,,,,,,,,,,,,,,
24,,2-18 Evaluation of the performance of the highest governance body,Woolworths Group Board of Directors Charter and performance evaluation\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/about-us/documents/Woolworths%20Group%20Board%20Charter%20(Approved%2023%20September%202021).pdf,,,,,,,,,,,,,,,,,,,,,,,
25,,2-19 Remuneration policies,Remuneration report is contained in the Annual Report and the remuneration process is outlined in the Corporate Governance Statement,,,,,,,,,,,,,,,,,,,,,,,
26,,2-20 Process to determine remuneration,Remuneration report is contained in the Annual Report and the remuneration process is outlined in the Corporate Governance Statement,,,,,,,,,,,,,,,,,,,,,,,
27,,2-21 Annual total compensation ratio,"Calculated on total F23 remuneration of CEO from 2023 Annual Report divided by average salaries shown in the diversity & inclusion section of this data pack, at a ratio of managerial and non managerial roles.\n\nTotal compensation ratio for F23 is 123:1 which is a decrease of 2.8% compared with F22 ratio",,,,,,,,,,,,,,,,,,,,,,,
28,,2-22 Statement on sustainable development strategy,Contained within the 2025 Sustainability Plan\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/documents/sustainability-plan/Woolworths_Group_Sustainability_Plan_2025_v2.0_2022.pdf,,,,,,,,,,,,,,,,,,,,,,,
