     TCFD reporting requirements,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
"The following table provides an overview of the Taskforce on Climate-Related Financial Disclosures recommended disclosures, and the report page reference where these have been addressed. These disclosures will continue to be refined in the future as we progress our work in this area.",,,
TCFD RECOMMENDED DISCLOSURE,,OUR APPROACH,
Governance: Disclose the organisation’s governance around climate-related risks and opportunities,,,
a),Describe the board’s oversight of climate-related risks and opportunities,2023 Annual Report pages 44 – 59,
,,2023 Sustainability Report pages 12 – 14,
b),Describe management’s role in assessing and managing climate-related risks and opportunities,2023 Annual Report pages 44 – 45,
,,2023 Sustainability Report pages 12 – 14,
"Strategy: Disclose the actual and potential impacts of climate-related risks and opportunities on the organisation’s businesses, strategy, and financial planning where such information is material",,,
a),"Describe the climate-related risks and opportunities the organisation has identified over the short, medium and long term",2023 Annual Report pages 55 – 59,
,,"2023 Sustainability Report pages 6 – 7, 10 – 12, 30 – 37",
b),"Describe the impact of climate-related risks and opportunities on the organisation’s businesses, strategy, and financial planning",2023 Annual Report pages 55 – 59,
c),"Describe the resilience of the organisation’s strategy, taking into consideration different climate-related scenarios, including a 2°C
or lower scenario",2023 Annual Report pages 45 – 59,
"Risk Management: Disclose how the organisation identifies, assesses, and manages climate-related risks",,,
a),Describe the organisation’s processes for identifying and assessing climate-related risks,2023 Annual Report pages 55 – 59,
,,2023 Sustainability Report pages 30 – 31,
b),Describe the organisation’s processes for managing climate‑related risks,2023 Annual Report pages 55 – 59,
,,2023 Sustainability Report pages 34 – 37,
c),"Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organisation’s overall risk management",2023 Annual Report pages 45 – 59,
Metrics and Targets: Disclose the metrics and targets used to assess and manage relevant climate‑related risks and opportunities where such information is material,,,
a),Disclose the metrics used by the organisation to assess climate‑related risks and opportunities in line with its strategy and risk management process,2023 Annual Report pages 44 – 45,
,,2023 Sustainability Report pages 30 – 37,
b),"Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 greenhouse gas (GHG) emissions and the related risks",2023 Annual Report pages 44 – 52,
,,2023 Sustainability Report pages 32 – 36,
,,2023 Sustainability Report Data Pack,
c),Describe the targets used by the organisation to manage climate-related risks and opportunities and performance against targets,2023 Annual Report pages 45,
,,"2023 Sustainability Report pages 12 – 13, 30 – 37",
